freq,X_1600us_loaded_loosepylon_5,Y_1600us_loaded_loosepylon_5,Z_1600us_loaded_loosepylon_5
0,1.2509e-15,6.547e-16,6.7346e-16
0.97656,0.0046394,0.0026227,0.0022123
1.9531,0.00099539,0.0026964,0.0060621
2.9297,0.0029833,0.0014951,0.0075565
3.9063,0.0012112,0.0038952,0.0037284
4.8828,0.0021699,0.0015443,0.0033529
5.8594,0.0025413,0.0023077,0.0059421
6.8359,0.0040202,0.0087336,0.0046586
7.8125,0.0026351,0.0030941,0.0062223
8.7891,0.0030109,0.005374,0.0056275
9.7656,0.0016157,0.00062645,0.0030257
10.742,0.0010025,0.0055142,0.0078673
11.719,0.0022623,0.0015601,0.007601
12.695,0.002324,0.0071913,0.015767
13.672,0.0020784,0.0024016,0.0026704
14.648,0.00022091,0.0079795,0.0025433
15.625,0.0011972,0.0057215,0.006995
16.602,0.0025788,0.0052763,0.0020944
17.578,0.001829,0.0025339,0.0045502
18.555,0.0029235,0.00083941,0.0080601
19.531,0.00089042,0.00088352,0.0062832
20.508,0.0013929,0.007451,0.0038613
21.484,0.0020058,0.0068332,0.0055512
22.461,0.0021089,0.0055811,0.0027607
23.438,0.00062119,0.011352,0.0047338
24.414,0.0021499,0.0056766,0.0013562
25.391,0.00051772,0.0060595,0.00085219
26.367,0.0008199,0.00093684,0.0032088
27.344,0.0015147,0.0028278,0.0012787
28.32,0.0031211,0.0038424,0.0027406
29.297,0.0013147,0.0046678,0.0020008
30.273,0.0021369,0.0031435,0.00098287
31.25,0.00035855,0.0012666,0.0012439
32.227,0.00087626,0.012177,0.005361
33.203,0.0020139,0.015764,0.0087279
34.18,0.0008303,0.018432,0.007464
35.156,0.003438,0.019586,0.0052006
36.133,0.0041381,0.029794,0.0065865
37.109,0.0028085,0.0089169,0.012685
38.086,0.0017696,0.018941,0.013105
39.063,0.0026443,0.0088242,0.0035366
40.039,0.0027232,0.010581,0.010407
41.016,0.0015236,0.0080761,0.011954
41.992,0.00046976,0.0055075,0.0069982
42.969,0.00081867,0.0050948,0.0021119
43.945,0.0004143,0.0035768,0.0029007
44.922,0.0017375,0.0066337,0.0062547
45.898,0.0014206,0.0026068,0.0010152
46.875,0.001831,0.0036925,0.0025328
47.852,0.00087394,0.0016213,0.00241
48.828,0.00062013,0.0063032,0.00081532
49.805,0.00040247,0.0052293,0.0047118
50.781,0.00075777,0.0063565,0.0032167
51.758,0.00046756,0.0013415,0.0037471
52.734,0.0028983,0.005003,0.0026877
53.711,0.0020526,0.0075783,0.0033488
54.688,0.00021815,0.0040421,0.0053931
55.664,0.00021364,0.0026621,0.0048633
56.641,0.0015197,0.0020062,0.0057125
