freq,X_1600us_unloaded_loosepylon_2,Y_1600us_unloaded_loosepylon_2,Z_1600us_unloaded_loosepylon_2
0,1.5743e-16,5.9647e-16,2.3634e-15
0.97656,0.0015761,0.0010351,0.0022355
1.9531,0.0032723,0.0005765,0.0017767
2.9297,0.0014688,0.0004031,0.0012759
3.9063,0.0028088,0.00076183,0.0017392
4.8828,0.0016816,0.00052191,0.0013026
5.8594,0.0015708,0.00087915,0.0016753
6.8359,0.0018545,0.00065054,0.00052397
7.8125,0.001148,0.001068,0.0012835
8.7891,0.0040987,0.0024541,0.003766
9.7656,0.044858,0.012549,0.037385
10.742,0.0016935,0.00087139,0.0014688
11.719,0.0029232,0.00041112,0.0018077
12.695,0.0024337,0.00074032,0.0013122
13.672,0.0014899,0.0014131,0.0019031
14.648,0.0016405,0.00048432,0.00165
15.625,0.0033007,0.0022931,0.0013445
16.602,0.0019992,0.0025375,0.0010157
17.578,0.0027865,0.0014468,0.00097818
18.555,0.0021293,0.0020908,0.0028478
19.531,0.0043298,0.005068,0.0024836
20.508,0.0054046,0.0021863,0.0015292
21.484,0.0018089,0.00084629,0.00020114
22.461,0.0013835,0.0016991,0.00086894
23.438,0.00088583,0.0018,0.00019691
24.414,0.0018153,0.00025853,0.0011041
25.391,0.0020985,0.0012796,0.00067226
26.367,0.0013944,0.0014482,0.00056026
27.344,0.00077755,0.0012482,0.00087927
28.32,0.0010369,0.0014014,0.00037477
29.297,0.00094984,0.0011761,0.0015938
30.273,0.0013337,0.0010898,0.00058093
31.25,0.00051634,0.00056759,0.00011786
32.227,0.0013017,0.0014011,0.00051057
33.203,0.00031787,0.0011635,0.00073228
34.18,0.0021609,0.0018569,0.00039902
35.156,0.0017266,0.0010194,0.00089077
36.133,0.0020829,0.0018008,0.00059539
37.109,0.0013287,0.00146,0.00055098
38.086,0.0041639,0.0036029,0.0011049
39.063,0.0013417,0.0024581,0.00082692
40.039,0.0096122,0.007935,0.00043533
41.016,0.0017122,0.0020525,0.00040852
41.992,0.0025591,0.001958,0.00033212
42.969,0.0015675,0.00086773,0.00052038
43.945,0.0029543,0.0021872,0.00065791
44.922,0.0028381,0.0019735,0.00028942
45.898,0.0016411,0.0010549,0.00046755
46.875,0.0021423,0.0021027,0.00050198
47.852,0.00081945,0.0014047,0.001051
48.828,0.0014567,0.00046513,0.00025782
49.805,0.0015553,0.0020225,0.00071384
50.781,0.00064909,0.0015798,0.00028366
51.758,0.00086553,0.0014554,9.03e-05
52.734,0.00071081,0.00029259,0.00022008
53.711,0.00091454,0.00022478,0.00063391
54.688,0.00069491,0.00063556,0.00065262
55.664,0.0016071,0.0012126,0.00038864
56.641,0.0005975,0.0011947,0.0001368
57.617,0.00050017,0.00066211,0.00062172
58.594,0.001072,0.00089971,0.0001571
59.57,0.0016774,0.0014971,0.0003366
60.547,0.00099736,0.00051369,0.00026365
61.523,0.0011915,0.0007184,0.00037151
62.5,0.0013249,0.0013564,0.00029391
63.477,0.00041574,0.0012071,0.00048235
64.453,0.0014617,0.0019403,0.00043521
65.43,0.00048174,0.00018031,0.00048145
66.406,0.00078397,0.00087358,8.669e-05
67.383,0.00081131,0.0009295,0.00044598
68.359,0.00039849,0.00083869,0.00040505
69.336,0.00016155,0.00023297,0.00018124
70.313,0.00088641,0.00036423,0.00038971
71.289,0.00071285,0.0022436,0.00026807
72.266,0.00092038,0.0013063,0.00068149
73.242,0.00037316,0.00098688,0.00028929
74.219,0.00072697,0.0005341,0.00026063
75.195,0.00014425,0.0013216,0.00040979
76.172,0.00016811,0.00072145,0.00036203
77.148,0.00046693,0.00073653,0.00068138
78.125,0.00073082,0.00065513,0.00032974
79.102,0.00011553,0.00070218,0.00027546
80.078,0.001033,0.00039635,0.00021876
81.055,0.00045207,0.00057947,0.00032542
82.031,0.00081241,0.00043698,0.00019061
83.008,0.00080079,8.3569e-05,0.00082212
83.984,0.00058545,0.0011294,0.00055166
84.961,0.0005856,0.00062417,0.00046466
85.938,0.00029108,7.2867e-05,0.00023924
86.914,0.00092651,0.00049737,0.00030311
87.891,0.00073097,0.00048568,0.00054397
88.867,0.0018432,0.00085858,0.0005693
89.844,0.00058268,0.001077,0.0003625
90.82,0.0011571,0.001291,0.00036668
91.797,0.0011998,0.0013774,0.00098461
92.773,0.0013822,0.0015086,0.001123
93.75,0.0012273,0.00037563,0.00023138
94.727,0.00070785,0.0011157,0.00024851
95.703,0.00053666,0.0033449,0.00058041
96.68,0.00064487,0.00074618,0.00029454
97.656,0.0014693,0.0016244,0.00095012
98.633,0.00050374,0.00090012,0.00012112
99.609,0.00084188,0.00090585,0.00083118
100.59,0.0004992,0.00052713,0.00025632
101.56,0.00028772,0.00084761,0.00027857
102.54,0.00036802,0.00031882,0.0002871
