freq,X_2200us_unloaded_loosemotor_5,Y_2200us_unloaded_loosemotor_5,Z_2200us_unloaded_loosemotor_5
0,1.0221e-15,1.5904e-16,6.9722e-16
0.97656,0.00052673,0.00093669,0.00091909
1.9531,0.0013328,0.00044444,0.00033583
2.9297,0.00071965,0.00012887,0.00070752
3.9063,0.00086951,0.0011507,0.0008313
4.8828,0.00031496,0.00097626,0.00058634
5.8594,0.00076357,0.0011744,0.0017133
6.8359,0.00029263,0.00054545,0.0018636
7.8125,0.00092135,0.0011329,0.0010825
8.7891,0.00043296,0.00018782,0.00045176
9.7656,0.00065388,0.00062758,0.0027012
10.742,0.00040089,0.00032749,0.00020081
11.719,0.00048626,0.00039857,0.00056378
12.695,0.0001449,0.00085469,0.00063821
13.672,0.00088178,0.00064901,0.0010329
14.648,0.00033829,0.0014323,0.0014952
15.625,0.0008348,0.0011575,0.00073391
16.602,0.00062481,0.00065656,0.00068964
17.578,0.00057847,0.00021313,0.00066999
18.555,0.00078616,0.00058145,0.0011496
19.531,0.00022524,0.00050662,0.001095
20.508,0.00018438,0.0017086,0.0027427
21.484,0.00027353,0.0012637,0.0027568
22.461,0.00045342,0.00065938,0.00063749
23.438,0.0026361,0.0036963,0.011736
24.414,0.0019651,0.002245,0.00044864
25.391,0.0013789,0.00061357,0.0019443
26.367,0.00021309,0.00041759,0.0010696
27.344,0.00052732,0.0013635,0.00086421
28.32,0.00031701,0.00017461,0.0006754
29.297,0.00077695,0.0010651,0.0017656
30.273,0.00032453,0.00095782,0.00053973
31.25,0.00031683,0.00042564,0.0015543
32.227,0.0017442,0.00066106,0.00069979
33.203,0.00083337,0.00041423,0.002566
34.18,0.00054485,0.00093528,0.0021755
35.156,0.00065485,0.0011287,0.00045772
36.133,0.00025149,0.00063501,0.00090209
37.109,0.0002713,0.0019095,0.0010275
38.086,0.00024371,0.0014746,0.00080661
39.063,0.00065746,0.00072329,0.00051582
40.039,0.00023349,0.00086848,0.00042122
41.016,0.0002658,0.00099475,0.0017763
41.992,0.00052325,0.00015634,0.0010518
42.969,0.00026035,0.00043689,0.0014668
43.945,0.00033695,0.0012911,0.0012815
44.922,0.0001765,0.00037424,0.000807
45.898,0.00015165,0.00094354,0.0009001
46.875,0.00039535,0.00041722,0.00044483
47.852,0.00061176,0.0015411,0.0020897
48.828,0.0096916,0.0074766,0.0099529
49.805,0.0019205,0.0012511,0.0013334
50.781,0.00089259,0.0010116,0.00074893
51.758,0.0010417,0.00060414,0.0014645
52.734,0.00067424,0.00024473,0.0019185
53.711,0.0008299,0.00041289,0.0012593
54.688,0.00052552,0.0010833,0.0010737
55.664,0.00058912,0.00072356,0.00092177
56.641,0.00058348,0.0016386,0.0012566
57.617,0.00044956,0.00046279,0.0015002
58.594,0.00068559,0.00092272,0.0013358
59.57,0.00057059,0.00057917,0.00099697
60.547,0.00088132,0.0010638,0.0012279
61.523,0.00039994,0.00053701,0.00029346
62.5,0.00025959,0.000786,0.00028715
63.477,0.00062186,0.00035496,0.00072898
64.453,0.00039298,0.00020484,0.0014172
65.43,0.00011444,0.00048375,0.00092144
66.406,0.0006947,0.00085942,0.000696
67.383,0.0004328,0.0010051,0.0012977
68.359,0.00038638,0.0009802,0.00054527
69.336,0.00039176,0.0006382,0.00074953
70.313,0.00023767,0.00098553,0.00062839
71.289,0.00074577,0.00037838,0.0008561
72.266,0.0005809,0.00098771,0.00045211
73.242,0.0010215,0.0017805,0.00021805
74.219,0.00013403,0.00087667,0.00098068
75.195,0.00027051,0.00045043,0.00068325
76.172,0.00025631,0.00070957,0.001209
77.148,0.00054302,0.00080768,0.00055051
78.125,0.00033397,0.00073553,0.00091828
79.102,0.00063166,0.0010585,0.00083796
80.078,0.0012679,0.0012753,0.0020292
81.055,0.008224,0.011116,0.0041412
82.031,0.0030186,0.0040955,0.0018984
83.008,0.0020733,0.0010805,0.0017732
83.984,0.00096888,0.0011458,0.00031729
84.961,0.00087575,0.00058115,0.0007009
85.938,0.00073024,0.0011298,0.00082168
86.914,0.00059517,0.00089368,0.00043154
87.891,0.00069072,0.001244,0.0011168
88.867,0.00091164,0.001269,0.00083586
89.844,0.00021449,0.00055414,0.00078547
90.82,0.00041476,0.0011814,0.0010369
91.797,0.00082914,0.00021733,0.00021799
92.773,0.00053022,0.0011596,0.00042314
93.75,0.00034768,0.00076423,0.00050105
94.727,0.00053056,0.00023014,0.00033844
95.703,0.00014751,0.00024777,0.0011866
96.68,0.00013157,0.00032897,0.0014471
97.656,0.00056206,0.000388,0.0013726
98.633,0.00012127,0.00066872,0.001035
99.609,0.00014482,6.3699e-05,0.00092409
100.59,0.00014038,0.00032014,0.00063304
101.56,0.00023317,0.00049596,0.0011003
102.54,0.00031704,0.00017634,0.00058991
103.52,0.0006189,0.00096675,0.00068689
104.49,0.00051365,0.0011999,0.00068427
105.47,0.00027683,0.00085701,0.0019692
106.45,0.0007607,0.0013318,0.00064038
107.42,0.00070502,0.00096604,0.00025614
108.4,0.0013183,0.0017167,0.0017003
109.38,0.0014356,0.0019134,0.0014974
110.35,0.0028785,0.0040904,0.0035702
111.33,0.0028031,0.0037824,0.0029196
112.3,0.0068006,0.0088903,0.0065881
113.28,0.02403,0.03382,0.025473
114.26,0.013523,0.019728,0.015382
115.23,0.0052849,0.0070496,0.0051833
116.21,0.004123,0.0064459,0.0041711
117.19,0.0020052,0.0024721,0.0022214
118.16,0.0017122,0.0026448,0.0017539
119.14,0.0017881,0.0029154,0.0022479
120.12,0.0015726,0.002181,0.0020918
121.09,0.0011746,0.0016635,0.0014409
122.07,0.0011428,0.0013236,0.0017065
123.05,0.00080239,0.0013543,0.0016266
124.02,0.00095688,0.0010267,0.00096815
125,0.00048517,0.0015635,0.0012086
125.98,0.00049523,0.0010196,0.0015417
126.95,0.00058347,0.00082674,0.0014714
127.93,0.00079611,0.00097482,0.00068265
128.91,0.00075149,0.00093057,0.002401
129.88,0.0011052,0.0021167,0.0040428
130.86,0.00038357,0.00040366,0.00069116
131.84,7.9356e-05,0.00045118,0.00024854
132.81,0.00020863,0.00053678,0.00022428
