freq,X_800us_broken_prop_5,Y_800us_broken_prop_5,Z_800us_broken_prop_5
0,7.0632e-16,8.4599e-17,1.6844e-15
0.97656,0.00015541,0.00096916,0.00098386
1.9531,0.00014478,0.0019595,0.001299
2.9297,0.00013092,0.0029655,0.00023777
3.9063,0.00046009,0.0048923,0.00032714
4.8828,8.092e-05,0.0042278,0.0012781
5.8594,9.6617e-05,0.0057741,0.00058587
6.8359,0.0004319,0.0086305,0.00097154
7.8125,0.00063995,0.0088587,0.0027942
8.7891,0.00060917,0.010519,0.0013245
9.7656,0.0005098,0.012712,0.0019177
10.742,0.00099521,0.013,0.0028938
11.719,0.00078219,0.014888,0.0028036
12.695,0.0012337,0.019044,0.0036686
13.672,0.0019477,0.022996,0.0041392
14.648,0.001699,0.025896,0.0063659
15.625,0.0021211,0.032179,0.0087185
16.602,0.0038737,0.047143,0.0091176
17.578,0.0039676,0.063864,0.016947
18.555,0.0065348,0.10002,0.030041
19.531,0.021916,0.32439,0.099481
20.508,0.018415,0.26603,0.084877
21.484,0.0069217,0.099329,0.03177
22.461,0.0046639,0.056938,0.019533
23.438,0.0027474,0.041761,0.014612
24.414,0.0030503,0.034462,0.012704
25.391,0.0016579,0.021325,0.010202
26.367,0.00078837,0.016314,0.008133
27.344,0.0014867,0.016829,0.006312
28.32,0.0016203,0.014324,0.0053021
29.297,0.0012372,0.011649,0.0042625
30.273,0.00093861,0.0095256,0.0048641
31.25,0.00061787,0.0078709,0.0039387
32.227,0.00044675,0.0068869,0.0048968
33.203,0.00061421,0.0057311,0.0029174
34.18,0.0015296,0.0053765,0.0017259
35.156,0.0014665,0.0041991,0.0019491
36.133,0.0011106,0.0030163,0.0024801
37.109,0.0010271,0.0026939,0.0014214
38.086,0.00076825,0.0024824,0.0019032
39.063,0.00027687,0.0013987,0.0012872
40.039,0.0033093,0.0086443,0.0031639
41.016,0.00052105,0.0018154,0.00018815
41.992,0.00069953,0.00037333,0.0011753
42.969,0.00047121,0.001258,0.0013254
43.945,0.0011754,0.00083579,0.0010243
44.922,0.00060771,0.0014936,0.00066831
45.898,0.00042731,0.00077161,0.00042155
46.875,0.00035715,0.00086452,0.0015162
47.852,0.00047343,0.0018651,0.0011425
48.828,0.00029257,0.0020711,0.0018362
49.805,0.00073174,0.0014337,0.00081093
50.781,0.0006275,0.002444,0.00257
51.758,0.00046778,0.0025365,0.0017527
52.734,0.00067089,0.0035884,0.0012587
53.711,0.00048183,0.0022684,0.0019865
54.688,0.00039808,0.0019068,0.0028167
55.664,0.0004302,0.0061627,0.0019807
56.641,0.0015276,0.0079009,0.0062012
57.617,0.0010145,0.0076189,0.0071401
58.594,0.0017055,0.0034844,0.0078718
59.57,0.0072887,0.015667,0.019935
60.547,0.004515,0.0068229,0.0094423
61.523,0.0031216,0.0097502,0.006087
62.5,0.0014911,0.00222,0.0015805
63.477,0.00090781,0.0053251,0.002548
64.453,0.00089203,0.0070576,0.0033134
65.43,0.0014366,0.0021516,0.0033845
66.406,0.00061758,0.0037547,0.0040381
67.383,0.0010523,0.0032538,0.00033631
68.359,0.0010294,0.0018276,0.0016438
69.336,0.00033096,0.0015461,0.00222
70.313,0.00068241,0.0014033,0.0029541
71.289,0.00099613,0.0015472,0.0015258
72.266,0.00029843,0.0014918,0.0017611
73.242,0.00038521,0.00053395,0.0014624
74.219,0.00080728,0.0013069,0.00060157
75.195,0.00079522,0.0018728,0.0014405
76.172,0.00029686,0.00099742,0.0016668
77.148,0.00064684,0.00057386,0.005501
78.125,0.00012737,0.00083556,0.0012661
79.102,0.001147,0.0012547,0.006118
80.078,0.0019796,0.0037014,0.01215
81.055,0.0015764,0.0015009,0.007934
82.031,0.0006993,0.00094859,0.002139
83.008,0.00095771,0.0016061,0.0012064
83.984,0.00041167,0.0014404,0.0022269
84.961,0.0003789,0.00080728,0.0035594
85.938,0.00091215,0.00036342,0.0021196
86.914,0.0003421,0.00082672,0.0036089
87.891,0.00035604,0.00036531,0.003106
88.867,0.00041598,0.0011473,0.0029867
89.844,0.00060393,0.0009205,0.0015882
90.82,0.00039325,0.0022739,0.0027046
91.797,0.00071548,0.00064205,0.0015583
92.773,0.00066966,0.00061914,0.0027308
93.75,0.00036032,0.00074282,0.0023797
94.727,0.00054339,0.0016407,0.0024674
95.703,0.00021047,0.0013062,0.0020365
96.68,0.00023559,0.0025967,0.0027573
97.656,0.001276,0.0041682,0.0017387
