freq,X_1600us_loaded_loosepylon_9,Y_1600us_loaded_loosepylon_9,Z_1600us_loaded_loosepylon_9
0,8.8857e-16,9.2482e-16,2.2582e-16
0.97656,0.0042423,0.0053837,0.0072972
1.9531,0.0053415,0.0005575,0.0030596
2.9297,0.0032479,0.0033202,0.0045908
3.9063,0.002272,0.0027093,0.0025055
4.8828,0.003483,0.0076414,0.003862
5.8594,0.00035185,0.0049141,0.0042924
6.8359,0.0026835,0.0021128,0.0014192
7.8125,0.0010674,0.0063518,0.0017491
8.7891,0.00096393,0.0047383,0.0015396
9.7656,0.00095784,0.00046122,0.0062506
10.742,0.0029392,0.0028438,0.010464
11.719,0.003415,0.0097142,0.011848
12.695,0.0026059,0.0050658,0.0058407
13.672,0.00078699,0.0047962,0.0068541
14.648,0.0030661,0.0029341,0.0067127
15.625,0.0013222,0.0068123,0.00075247
16.602,0.0025136,0.0025871,0.0019229
17.578,0.0011937,0.0036124,0.0012999
18.555,0.0032903,0.0033641,0.007822
19.531,0.0010615,0.0064206,0.0011543
20.508,0.0011235,0.0036163,0.0051299
21.484,0.00090122,0.0039915,0.006221
22.461,0.00011681,0.0014179,0.0018673
23.438,0.0016996,0.0043735,0.0010368
24.414,0.0018891,0.0020261,0.0013543
25.391,0.0010245,0.0029066,0.0013073
26.367,0.00081531,0.007169,0.0034164
27.344,0.0020394,0.0048715,0.001546
28.32,0.0016854,0.0046813,0.0017333
29.297,0.002236,0.01053,0.0025837
30.273,0.001988,0.0031571,0.00023337
31.25,0.0016263,0.011254,0.00142
32.227,0.0017457,0.0094824,0.0022758
33.203,0.0029038,0.011566,0.0076625
34.18,0.0027195,0.017849,0.0062202
35.156,0.0027461,0.027467,0.0044396
36.133,0.0052398,0.023201,0.013142
37.109,0.001479,0.012342,0.0070449
38.086,0.0038131,0.018274,0.018227
39.063,0.0052482,0.021962,0.0031462
40.039,0.0021721,0.00475,0.0091126
41.016,0.0021194,0.014058,0.0041716
41.992,0.001473,0.0064211,0.0015497
42.969,0.0023202,0.002412,0.001568
43.945,0.0015336,0.0079661,0.0027777
44.922,0.0011118,0.0046011,0.0016213
45.898,0.00083497,0.0033769,0.0027072
46.875,0.00048266,0.0046247,0.0023095
47.852,0.00060506,0.0026678,0.0018004
48.828,0.00049007,0.0028937,0.0028785
49.805,0.0017024,0.0022954,0.001446
50.781,0.0019935,0.0061547,0.00078844
51.758,0.0014087,0.0054356,0.0040148
52.734,0.00060865,0.0017186,0.001768
53.711,0.0010701,0.0053986,0.0038733
54.688,0.0011864,0.0011181,0.0028541
55.664,0.0014921,0.0076927,0.0037728
56.641,0.00046728,0.0023211,0.0042704
57.617,0.0024637,0.0012735,0.0013785
58.594,0.0017856,0.0097609,0.0012415
59.57,0.0040555,0.0031556,0.005048
60.547,0.0014324,0.0066697,0.0034402
61.523,0.0017506,0.0021771,0.0048775
62.5,0.0024894,0.0054734,0.0059421
63.477,0.003567,0.0052048,0.0045659
64.453,0.0022905,0.0039955,0.0077541
65.43,0.001685,0.0041834,0.0039587
66.406,0.0020768,0.0034028,0.004653
67.383,0.0042774,0.0015503,0.005213
