freq,X_1700us_loaded_0,Y_1700us_loaded_0,Z_1700us_loaded_0
0,4.7207e-16,3.2851e-16,1.243e-15
0.97656,0.0022859,0.0055369,0.011752
1.9531,0.0030425,0.0045188,0.0015127
2.9297,0.0022905,0.005959,0.0097925
3.9063,0.0019497,0.0053657,0.0042934
4.8828,0.0018989,0.0083585,0.0034471
5.8594,0.0042269,0.0021972,0.0033236
6.8359,0.0037578,0.0022843,0.0029784
7.8125,0.00025244,0.00061739,0.0027716
8.7891,0.0028765,0.018697,0.0031697
9.7656,0.0061839,0.017882,0.009258
10.742,0.0049427,0.013957,0.0046248
11.719,0.0027453,0.00237,0.0040393
12.695,0.0045347,0.013559,0.0057833
13.672,0.0023249,0.004061,0.0066494
14.648,0.0012885,0.0076082,0.0040154
15.625,0.0041829,0.015894,0.014548
16.602,0.0040125,0.008481,0.0064272
17.578,0.0073328,0.037029,0.016679
18.555,0.015301,0.064427,0.034236
19.531,0.011234,0.047022,0.033101
20.508,0.0048095,0.017661,0.0072902
21.484,0.001847,0.0048429,0.0041588
22.461,0.0032472,0.010058,0.0012443
23.438,0.0017733,0.0064761,0.0030672
24.414,0.0041406,0.010528,0.0052216
25.391,0.0013128,0.0068982,0.0071905
26.367,0.0010751,0.0032884,0.00044491
27.344,0.0035054,0.010681,0.0067075
28.32,0.0047289,0.0087209,0.0056005
29.297,0.0054155,0.0093819,0.0084445
30.273,0.0023438,0.0093155,0.0057675
31.25,0.0017946,0.0079276,0.0047806
32.227,0.00053933,0.0029369,0.001491
33.203,0.0022051,0.0037603,0.0040499
34.18,0.0014271,0.0044593,0.0015247
35.156,0.001598,0.0022399,0.0041362
36.133,0.0031701,0.0044792,0.0050849
37.109,0.00058487,0.0021183,0.0054882
38.086,0.0028115,0.0043545,0.0019709
39.063,0.0042541,0.0011508,0.0015548
40.039,0.0018626,0.0060129,0.008906
41.016,0.0020486,0.0041908,0.0023561
41.992,0.0022798,0.0062262,0.0047438
42.969,0.00046003,0.0015062,0.0017097
43.945,0.0020219,0.0040575,0.0053254
44.922,0.0017331,0.0023983,0.00090628
45.898,0.002846,0.0037305,0.0069696
46.875,0.0028721,0.0031869,0.0029197
47.852,0.00048299,0.0041202,0.0019942
48.828,0.0035317,0.0028048,0.0011085
49.805,0.0029679,0.0052934,0.0018768
50.781,0.0019913,0.0047745,0.0041458
51.758,0.0027591,0.0057062,0.0062828
52.734,0.0034564,0.0014432,0.0081542
53.711,0.0036696,0.0064992,0.0036478
