freq,X_1600us_loaded_loosemotor_1,Y_1600us_loaded_loosemotor_1,Z_1600us_loaded_loosemotor_1
0,3.2752e-16,3.1752e-17,1.8368e-15
0.97656,0.0054394,0.0036613,0.024171
1.9531,0.006175,0.011038,0.0063365
2.9297,0.0036265,0.017292,0.01532
3.9063,0.0041202,0.0066678,0.022481
4.8828,0.002475,0.013941,0.02171
5.8594,0.0036252,0.0099719,0.021471
6.8359,0.0069671,0.01317,0.006267
7.8125,0.0076395,0.0088106,0.015869
8.7891,0.0069644,0.013257,0.026121
9.7656,0.008031,0.005059,0.033067
10.742,0.0057408,0.0079938,0.0077277
11.719,0.0084793,0.022253,0.025509
12.695,0.0045649,0.0061077,0.023053
13.672,0.0085892,0.0081165,0.0098076
14.648,0.012793,0.0051248,0.019769
15.625,0.0016058,0.013135,0.0085565
16.602,0.012098,0.0037386,0.0096844
17.578,0.011088,0.0060246,0.014426
18.555,0.0025977,0.0072279,0.0081371
19.531,0.0037557,0.0080846,0.0040734
20.508,0.0076972,0.012996,0.012121
21.484,0.0060248,0.015679,0.0094641
22.461,0.012861,0.010598,0.01265
23.438,0.0063994,0.0022217,0.0049868
24.414,0.0074797,0.0076861,0.013935
25.391,0.0051351,0.0047098,0.01329
26.367,0.0034542,0.0083203,0.011731
27.344,0.001293,0.013134,0.014186
28.32,0.0014283,0.0027742,0.0029692
29.297,0.0029774,0.017333,0.0042664
30.273,0.0025325,0.0026451,0.0063707
31.25,0.0017025,0.010462,0.00059934
32.227,0.0032869,0.0067956,0.0095049
33.203,0.0072238,0.033133,0.0057456
34.18,0.004491,0.0070052,0.011807
35.156,0.0074858,0.0085441,0.0057173
36.133,0.003955,0.0090814,0.0092494
37.109,0.0072897,0.010813,0.0095866
38.086,0.0033185,0.0055411,0.0065069
39.063,0.0072914,0.013436,0.0031958
40.039,0.0038149,0.05172,0.0062154
41.016,0.0056453,0.028579,0.011505
41.992,0.0010137,0.017757,0.012714
42.969,0.0095115,0.0041846,0.016469
43.945,0.0051206,0.015284,0.0031748
44.922,0.0015971,0.0053183,0.0076312
45.898,0.00063884,0.013204,0.0069149
46.875,0.007179,0.00081311,0.012764
47.852,0.006162,0.011928,0.0039878
48.828,0.0026598,0.0069444,0.012611
49.805,0.0048707,0.0065168,0.011531
50.781,0.0041006,0.0031296,0.0046996
51.758,0.0041646,0.0016701,0.012909
52.734,0.0033584,0.0036143,0.0085162
53.711,0.0064885,0.0039928,0.0086194
54.688,0.0096247,0.0084699,0.016249
55.664,0.0025071,0.0061316,0.012027
56.641,0.0010846,0.0038015,0.0037377
57.617,0.0062201,0.0080865,0.012602
58.594,0.0045878,0.0028665,0.0095287
59.57,0.0055566,0.0076671,0.0093738
60.547,0.004723,0.015805,0.0064401
61.523,0.0068563,0.0028197,0.008626
62.5,0.0030284,0.012747,0.0038173
63.477,0.014676,0.0048617,0.0070277
64.453,0.009303,0.0025619,0.024175
65.43,0.0078002,0.011206,0.013217
66.406,0.01213,0.010155,0.031816
67.383,0.0051966,0.0094296,0.02389
68.359,0.01741,0.01067,0.032959
69.336,0.023401,0.0076944,0.051102
70.313,0.007986,0.0099987,0.021021
71.289,0.029116,0.040979,0.032154
72.266,0.0045304,0.023636,0.072914
73.242,0.052519,0.074147,0.13031
74.219,0.12181,0.15684,0.23252
75.195,0.045641,0.048375,0.10103
76.172,0.009858,0.0044086,0.031418
77.148,0.0046576,0.010844,0.011457
78.125,0.022447,0.0053028,0.09902
79.102,0.0064219,0.011736,0.0083589
80.078,0.0083024,0.0095545,0.028475
81.055,0.0064895,0.0065801,0.026107
82.031,0.0074082,0.0069464,0.016113
83.008,0.0059583,0.0080052,0.017054
83.984,0.008353,0.0067771,0.018843
84.961,0.0064891,0.0057244,0.00747
85.938,0.0047238,0.0059195,0.011316
86.914,0.0043088,0.0017726,0.0081139
87.891,0.0032048,0.0039774,0.0024113
88.867,0.0023041,0.0026575,0.0069075
89.844,0.0080686,0.0024921,0.0051778
90.82,0.0045814,0.005841,0.0077572
91.797,0.0065786,0.0068058,0.0046709
92.773,0.0020944,0.0056884,0.0076973
93.75,0.0024011,0.0060312,0.007599
94.727,0.0037781,0.0022355,0.0047774
95.703,0.0037776,0.0056607,0.0095045
96.68,0.00072593,0.0046804,0.0057772
97.656,0.0017226,0.0085397,0.0052975
98.633,0.0043808,0.0045589,0.0091781
99.609,0.0021905,0.0007891,0.0063469
100.59,0.0015622,0.0035156,0.0030175
101.56,0.0022806,0.0033917,0.008412
102.54,0.0017489,0.0040603,0.0025342
103.52,0.0022799,0.0044763,0.0074365
104.49,0.0064756,0.0060483,0.0073145
105.47,0.0015034,0.005116,0.0053814
106.45,0.0029764,0.002556,0.011226
107.42,0.00085265,0.0065882,0.0028135
108.4,0.0021818,0.0081692,0.0065662
109.38,0.0021488,0.0046643,0.0019425
110.35,0.0017657,0.0031292,0.0055942
111.33,0.0014876,0.0068259,0.0078179
112.3,0.0023841,0.0060007,0.0032066
113.28,0.0048991,0.0018678,0.0026106
114.26,0.0028106,0.0086741,0.0067049
115.23,0.0028115,0.0033433,0.0063661
116.21,0.002552,0.0017631,0.0041915
117.19,0.00083982,0.0037436,0.0056252
118.16,0.0016262,0.0030126,0.0079255
119.14,0.0012116,0.0015718,0.002561
120.12,0.0023483,0.0014665,0.0062857
121.09,0.0056061,0.0056059,0.012732
122.07,0.0034204,0.0028314,0.0066393
123.05,0.0019447,0.0017737,0.0063645
124.02,0.001304,0.0028069,0.0048672
125,0.0023979,0.00416,0.0042723
125.98,0.001833,0.0033104,0.0067595
126.95,0.00065249,0.0021098,0.016962
127.93,0.0019649,0.0047294,0.0069383
128.91,0.0033136,0.003352,0.013795
129.88,0.0013061,0.0089472,0.0061952
130.86,0.0076047,0.0058225,0.020221
131.84,0.0070818,0.003783,0.018667
132.81,0.0025589,0.0026862,0.0040814
133.79,0.0033294,0.0021959,0.0046591
134.77,0.0050048,0.0025944,0.013205
135.74,0.0036198,0.00104,0.0077837
136.72,0.0102,0.0026144,0.014382
137.7,0.00060273,0.0097096,0.015103
138.67,0.0048907,0.0040195,0.0097774
139.65,0.0018613,0.0057223,0.021915
140.63,0.0018389,0.0047606,0.0061169
141.6,0.005579,0.0086385,0.018476
142.58,0.008433,0.015056,0.025033
143.55,0.018099,0.021753,0.04933
144.53,0.0097923,0.0085753,0.027764
145.51,0.010426,0.018559,0.050132
