freq,X_1600us_unloaded_7,Y_1600us_unloaded_7,Z_1600us_unloaded_7
0,1.5964e-15,2.8054e-15,5.7471e-14
0.97656,0.00028664,9.9162e-05,9.6709e-06
1.9531,0.00011741,6.1691e-05,2.505e-06
2.9297,7.0128e-05,3.1988e-05,6.285e-06
3.9063,6.3328e-05,1.1745e-05,1.7188e-05
4.8828,7.5172e-05,5.1411e-05,6.1774e-06
5.8594,3.8098e-05,3.8604e-06,4.2444e-06
6.8359,1.4637e-05,2.9169e-05,2.2957e-06
7.8125,3.4587e-05,1.8976e-05,1.1419e-05
8.7891,2.4431e-05,1.7217e-05,3.432e-06
9.7656,3.53e-05,1.5196e-05,4.049e-06
10.742,3.0979e-05,2.9056e-05,1.8573e-06
11.719,3.1713e-05,1.3308e-05,1.5239e-05
12.695,3.2176e-05,3.7071e-05,3.8121e-07
13.672,4.3249e-05,2.0935e-05,7.0364e-06
14.648,1.7437e-05,2.0248e-05,6.5453e-06
15.625,2.1405e-05,2.3571e-05,1.8037e-05
16.602,1.7757e-05,1.476e-05,1.8156e-06
17.578,4.7537e-06,1.0116e-05,5.3074e-06
18.555,6.3793e-06,1.3846e-05,2.5508e-06
19.531,1.9448e-05,3.2929e-06,1.6178e-05
20.508,7.5648e-06,8.9807e-06,6.7271e-06
21.484,1.4154e-05,8.3603e-06,3.0743e-06
22.461,4.8289e-06,7.218e-06,1.1693e-06
23.438,1.0959e-05,3.954e-05,1.1224e-05
24.414,1.3233e-05,2.0283e-05,3.1392e-06
25.391,1.9207e-05,1.5664e-05,5.8375e-06
26.367,1.1371e-05,3.0337e-05,2.1451e-06
27.344,1.9885e-05,3.0811e-05,1.7499e-05
28.32,2.3453e-05,2.196e-05,1.0846e-06
29.297,4.3925e-05,2.4011e-05,4.8831e-06
30.273,4.4079e-06,1.1079e-05,4.6748e-06
31.25,2.0372e-05,3.4516e-05,1.4013e-05
32.227,2.7283e-05,1.0234e-05,5.8144e-06
33.203,8.2008e-06,6.6577e-06,1.9532e-06
34.18,2.1506e-05,2.0148e-05,7.0596e-06
35.156,1.3683e-05,1.709e-05,1.1266e-05
36.133,2.154e-05,3.5114e-05,4.2892e-06
