freq,X_900us_loaded_3,Y_900us_loaded_3,Z_900us_loaded_3
0,8.1424e-16,1.984e-16,1.434e-15
0.97656,0.00041721,0.0024189,0.00015784
1.9531,0.0002689,0.0032577,0.00078997
2.9297,1.4918e-05,0.001046,0.00049742
3.9063,0.00061958,0.0027276,0.0011291
4.8828,0.00099774,0.0018067,0.00042601
5.8594,0.00047983,0.0014515,0.00047672
6.8359,0.0001517,0.0018148,0.00071429
7.8125,0.00033518,0.0018028,0.00044892
8.7891,0.00040608,0.0012761,0.00093583
9.7656,0.00015962,0.0017593,0.0013572
10.742,0.00029466,0.00073659,0.0010052
11.719,0.00013227,0.00082547,0.00075593
12.695,0.00043993,0.0010613,0.0025013
13.672,0.00020405,0.0020952,0.0013899
14.648,0.00013852,0.0014188,0.00088979
15.625,0.00027245,0.00049277,0.0011014
16.602,0.00032963,0.0016574,0.0012143
17.578,0.00048578,0.0022035,0.00067493
18.555,0.00013861,0.00053339,0.00017292
19.531,0.00022052,0.0004458,0.0010446
20.508,0.00020757,0.002615,0.0010953
21.484,0.00023175,0.0003119,0.00022175
22.461,0.0002567,0.00034805,0.00060353
23.438,8.5218e-05,0.0016826,0.00068269
24.414,0.00032996,0.0020319,0.00067511
25.391,0.00027549,0.0011168,0.00062017
26.367,0.00045501,0.0028995,0.0013547
27.344,0.0007798,0.00096572,0.00082468
28.32,0.00057025,0.0025976,0.0010974
29.297,0.0010635,0.0060572,0.0018349
30.273,0.0012915,0.006393,0.0011904
31.25,0.0044861,0.02103,0.0065222
32.227,0.0035331,0.015447,0.0052298
33.203,0.00086192,0.0054561,0.0010669
34.18,0.00093086,0.003442,0.0014309
35.156,0.00093405,0.0023017,0.00082963
36.133,0.00031148,0.0031148,0.000655
37.109,0.00048115,0.0016937,0.0011162
38.086,0.00042229,0.00088848,0.00077958
39.063,0.00033535,0.0014242,0.0014688
40.039,0.00035914,0.0020455,0.00095878
41.016,0.00018575,9.4355e-05,0.00054659
41.992,0.0003718,0.0010803,0.00024498
42.969,0.00012657,0.00042023,0.00035022
43.945,0.00018674,0.0013738,0.00054176
44.922,0.00026131,0.0013188,0.00082837
45.898,0.00046264,0.0020396,0.00066055
46.875,2.2432e-05,0.0014486,0.00067138
47.852,0.00037019,0.0020499,0.00072426
48.828,0.00050695,0.0027637,0.00051861
49.805,0.00029176,0.0019409,0.00048284
50.781,0.00047429,0.0010351,0.00064549
51.758,7.3637e-05,0.00068034,0.00082859
52.734,0.00029248,0.00070512,0.00049219
53.711,0.00018542,0.00024352,0.00070982
54.688,0.0003017,0.00021029,0.0013939
55.664,0.00025588,0.00093311,0.0011005
56.641,0.00019713,0.00021511,0.001009
57.617,0.00031615,0.0014496,0.0011829
58.594,0.00017825,0.0011726,0.00025889
59.57,0.00023159,0.00077115,0.0013085
60.547,0.00053599,0.0013671,0.0010692
61.523,0.00073785,0.00088103,0.0027345
62.5,0.00023195,0.00015567,0.0013772
63.477,0.0013596,0.0034472,0.0097873
64.453,0.00040606,0.00026612,0.0040145
65.43,0.00096237,0.00086643,0.0030749
66.406,0.00074735,0.00069233,0.0011428
67.383,0.0013029,0.0016725,0.002878
68.359,0.0011125,0.0023983,0.00056934
69.336,0.00082888,0.0018387,0.0035621
70.313,2.5246e-05,0.00053797,0.0018424
71.289,6.6232e-05,0.00085,0.0026027
72.266,0.00026037,0.00015924,0.0013936
73.242,0.00050669,0.00088778,0.0019167
74.219,0.00070988,0.0013702,0.0015634
75.195,0.00070665,9.1163e-05,0.0014928
76.172,0.00021167,0.001243,0.00085678
77.148,0.00034293,0.0024685,0.0010777
78.125,0.00023396,0.001618,0.0023446
79.102,0.00018632,0.0015704,0.0017117
80.078,0.00089721,0.00072898,0.0025451
81.055,0.00046106,0.0027832,0.0030885
82.031,0.00029637,0.0013918,0.0012953
83.008,0.00050404,0.00041418,0.0019839
83.984,0.00049291,0.00021645,0.0014904
84.961,0.00019226,0.00079611,0.001344
85.938,8.9519e-05,0.00044439,0.00097202
86.914,0.00068676,0.00038647,0.0023718
87.891,0.00053842,0.00055842,0.0035726
88.867,0.00032103,0.00010922,0.0030099
89.844,7.8894e-05,0.00094729,0.001179
90.82,0.00072849,0.0012454,0.0042993
91.797,0.00037792,0.00062835,0.0024974
92.773,0.00032404,0.0011197,0.0019068
93.75,0.0010156,0.0012904,0.004799
94.727,0.0019241,0.00094183,0.01101
95.703,0.00093961,0.00060429,0.0053717
