freq,X_1600us_loaded_0,Y_1600us_loaded_0,Z_1600us_loaded_0
0,6.0829e-16,4.8728e-16,4.6012e-15
0.97656,0.00045086,0.0069301,0.0044976
1.9531,0.0013322,0.003298,0.0027884
2.9297,0.0021355,0.0040861,0.0051334
3.9063,0.0015468,0.0033875,0.0047505
4.8828,0.0015416,0.009807,0.0030421
5.8594,0.0034511,0.006077,0.0014756
6.8359,0.0059811,0.0076133,0.0027871
7.8125,0.0011542,0.0071859,0.001588
8.7891,0.00039037,0.0032446,0.0021207
9.7656,0.0016641,0.0020912,0.0053978
10.742,0.0030845,0.0076009,0.0021959
11.719,0.0039059,0.005225,0.003981
12.695,0.0015904,0.0088716,0.0072478
13.672,0.0017581,0.005094,0.0037541
14.648,0.002259,0.0067927,0.001596
15.625,0.0011537,0.0040714,0.00011017
16.602,0.0015144,0.001224,0.0049337
17.578,0.0010869,0.010061,0.0030371
18.555,0.0038615,0.0039867,0.0087962
19.531,0.001593,0.018853,0.0025611
20.508,0.0043573,0.016793,0.0059221
21.484,0.0065571,0.026147,0.016774
22.461,0.0065965,0.024811,0.015112
23.438,0.0045618,0.026027,0.016876
24.414,0.0037261,0.020729,0.0075671
25.391,0.0025109,0.0066471,0.0042119
26.367,0.00026155,0.0056721,0.0010783
27.344,0.0027783,0.0061457,0.00472
28.32,0.0011217,0.0040808,0.0013394
29.297,0.0015421,0.0017177,0.0042877
30.273,0.00065993,0.0046116,0.0059544
31.25,0.0015767,0.0036089,0.0031907
32.227,0.00084685,0.0062633,0.0062267
33.203,0.00077743,0.0035886,0.0012092
34.18,0.0010003,0.0068174,0.0019923
35.156,0.0012748,0.0061621,0.0056661
36.133,0.00043156,0.0054965,0.0027194
37.109,0.0023921,0.0029464,0.0025957
38.086,0.0027401,0.0029126,0.0040885
39.063,0.0027517,0.004991,0.0048645
40.039,0.0060557,0.0043784,0.0065694
41.016,0.0056942,0.004162,0.0029797
41.992,0.001978,0.0035127,0.0038501
42.969,0.0038788,0.0017468,0.0027822
43.945,0.0036485,0.0031656,0.008694
44.922,0.0089561,0.0046093,0.0082035
45.898,0.0023835,0.0038074,0.0044649
46.875,0.0068039,0.005371,0.0093264
47.852,0.0036184,0.0054777,0.0087428
48.828,0.007879,0.0057941,0.010278
49.805,0.003086,0.019155,0.012122
50.781,0.0031086,0.021628,0.0086327
51.758,0.0033388,0.02385,0.0098101
52.734,0.0084865,0.0076116,0.01039
53.711,0.0080829,0.0069002,0.006993
54.688,0.0034683,0.0082136,0.0072704
55.664,0.0014076,0.0010721,0.0036135
56.641,0.0023957,0.0050525,0.0031926
57.617,0.001451,0.0022811,0.0039471
58.594,0.0046557,0.0041307,0.0028566
59.57,0.0024956,0.0071912,0.0057064
60.547,0.0047738,0.0039095,0.00073666
61.523,0.005236,0.0036206,0.004978
62.5,0.0034319,0.0058366,0.0095336
63.477,0.0026728,0.0024633,0.0064149
64.453,0.0032903,0.0037862,0.0078995
65.43,0.0041814,0.0031487,0.0078304
66.406,0.0073973,0.0021148,0.0077038
67.383,0.0030238,0.010845,0.0087406
68.359,0.0033861,0.0018836,0.0086013
69.336,0.002879,0.0024543,0.01182
70.313,0.0050366,0.0016903,0.01423
71.289,0.0084225,0.0023023,0.019377
72.266,0.011987,0.010273,0.040693
73.242,0.028601,0.030552,0.15605
74.219,0.0045941,0.0033191,0.028472
75.195,0.0041263,0.0037404,0.0085912
76.172,0.0008279,0.0050089,0.011297
77.148,0.0011714,0.0057263,0.0054346
78.125,0.002716,0.0053242,0.0047335
79.102,0.0021357,0.0082935,0.0012414
80.078,0.0021316,0.0052448,0.00060678
81.055,0.0027703,0.0066634,0.0038545
82.031,0.0012002,0.0018201,0.00104
83.008,0.0011951,0.0087521,0.0010014
83.984,0.0011953,0.0026996,0.0040936
84.961,0.00079639,0.0033447,0.0010115
85.938,0.0012473,0.010362,0.0022972
86.914,0.0019772,0.003562,0.0023264
87.891,0.000469,0.0061031,0.0025709
88.867,0.00082418,0.0036044,0.0011201
