freq,X_2200us_unloaded_6,Y_2200us_unloaded_6,Z_2200us_unloaded_6
0,7.0355e-16,2.6645e-18,2.6074e-14
0.97656,8.0871e-05,3.5357e-05,0.00021561
1.9531,1.7876e-05,2.7724e-05,9.4257e-05
2.9297,3.0819e-05,8.6268e-06,5.2405e-05
3.9063,2.4846e-05,3.5572e-05,7.1821e-05
4.8828,2.6054e-05,9.4403e-06,4.0388e-05
5.8594,5.6819e-06,1.3859e-05,5.3735e-05
6.8359,1.4231e-05,3.9146e-06,5.354e-05
7.8125,1.7673e-06,2.8961e-06,5.0097e-05
8.7891,2.9007e-05,3.3166e-05,3.0733e-05
9.7656,1.8692e-05,1.6238e-05,3.293e-05
10.742,1.9835e-05,1.0659e-05,1.0249e-05
11.719,6.8978e-06,3.0612e-05,2.199e-05
12.695,2.3155e-05,2.3199e-05,6.6754e-06
13.672,2.3356e-05,3.4645e-05,2.2596e-05
14.648,9.0312e-06,5.217e-05,1.5794e-05
15.625,1.0203e-05,3.235e-05,1.4464e-05
16.602,7.4169e-06,2.4848e-05,1.4871e-05
17.578,2.6617e-06,1.5828e-05,4.0271e-06
18.555,1.2654e-05,2.3003e-05,1.2072e-05
19.531,2.9468e-05,1.1915e-05,2.5347e-05
20.508,2.0324e-05,1.0393e-05,1.6715e-05
21.484,1.6283e-05,3.6731e-06,2.479e-05
22.461,4.86e-05,1.2039e-05,2.4017e-05
23.438,3.1351e-06,2.1081e-05,9.5923e-06
24.414,2.6539e-05,2.4713e-05,9.5957e-06
25.391,2.461e-05,8.6437e-06,1.1871e-05
26.367,4.242e-06,2.1366e-05,1.3652e-05
27.344,8.9577e-06,2.3343e-05,3.7496e-05
28.32,2.5146e-05,1.9376e-05,1.73e-05
29.297,3.2498e-05,2.0901e-05,3.7784e-05
30.273,7.9198e-06,1.7074e-05,1.5537e-05
31.25,2.88e-05,1.3961e-05,3.3612e-05
32.227,9.2747e-06,3.2249e-05,3.5286e-06
33.203,9.2766e-06,1.1277e-05,3.117e-05
