freq,X_800us_loaded_loosepylon_8,Y_800us_loaded_loosepylon_8,Z_800us_loaded_loosepylon_8
0,3.7714e-16,1.0725e-15,9.4502e-16
0.97656,0.00012603,0.0024062,0.0015498
1.9531,0.0014831,0.027032,0.0048084
2.9297,0.00068303,0.0035553,0.0010585
3.9063,0.00070723,0.0037859,0.00041759
4.8828,0.00062356,0.0033348,0.0012688
5.8594,0.0003372,0.0019288,0.00088708
6.8359,0.0003442,0.00088284,0.00025441
7.8125,0.00012295,0.00023679,0.00022768
8.7891,0.00031376,0.0025573,0.0008989
9.7656,0.00042972,0.0015792,0.00036441
10.742,0.00045052,0.00050057,0.0001389
11.719,0.00014506,0.0016958,0.00033022
12.695,0.00071354,0.0014922,0.0017365
13.672,0.00013503,0.00059716,0.0010512
14.648,0.00069758,0.0010584,0.0005386
15.625,0.00031655,0.0013671,0.0012776
16.602,0.0005987,0.0016188,0.00073269
17.578,0.00058744,0.0044666,0.0017615
18.555,0.0011453,0.001534,0.00091967
19.531,0.00037177,0.0030822,0.00066059
20.508,0.0022513,0.032662,0.0045509
21.484,0.00044746,0.002257,0.0010168
22.461,0.00043749,0.0038948,0.0025263
23.438,0.0002885,0.0036466,0.0016017
24.414,0.00039913,0.00083881,0.0004592
25.391,0.00042997,0.00085802,0.00030897
26.367,0.00042482,0.0015859,0.00056029
27.344,0.00034439,0.0013591,0.00059227
28.32,0.00036734,7.1798e-05,0.00041723
29.297,0.00024142,0.0016645,0.00055803
30.273,0.00028219,0.00040692,0.00035196
31.25,0.00043125,0.0022577,0.00082503
32.227,0.00032522,0.0014518,9.6647e-05
33.203,0.00023211,0.00026144,0.00040995
34.18,0.00052188,0.0035878,0.0016326
35.156,0.00043005,0.0023403,0.00085148
36.133,0.00018515,0.0037005,0.0017724
37.109,0.00055337,0.0013014,0.00091872
38.086,0.0001111,0.0021303,0.00037246
39.063,0.00061326,0.0032442,0.00035529
40.039,6.9231e-05,0.0013881,0.00046674
41.016,0.00085409,0.0084945,0.0035759
41.992,0.00061742,0.00044065,0.00068544
42.969,0.00024818,0.0014588,0.00070197
43.945,0.00028222,0.00079603,0.00049965
44.922,0.00021859,0.0011355,0.00061448
45.898,0.00014231,0.00033013,0.0008924
46.875,0.00027058,0.0013165,0.00067234
47.852,6.9043e-05,0.00097004,0.00030529
48.828,0.00018813,0.0012611,0.00022023
49.805,0.00031741,0.0018164,0.00073555
50.781,0.0004046,0.00080451,0.00054497
51.758,0.00018733,0.00038703,0.00029871
52.734,0.00013923,0.00079434,0.00037847
53.711,0.00044013,0.00043913,0.00020446
54.688,0.00050825,0.0012163,5.1081e-05
55.664,0.00061458,0.0019186,0.00054536
56.641,0.00019107,0.0024706,0.00098138
57.617,0.00011747,0.0009052,0.00043833
58.594,0.00021527,0.0024628,0.00054579
59.57,0.00020275,0.0015827,0.00047699
60.547,0.0011698,0.0025348,0.001347
61.523,0.0021871,0.0022246,0.0038893
62.5,0.0010147,0.0018547,0.00095081
63.477,0.00015233,0.0032515,0.0010684
64.453,0.00033376,0.0030713,0.0011525
65.43,0.00042756,0.0016374,0.00035191
66.406,0.00014306,0.0020722,0.00053232
67.383,0.00015252,0.0015026,0.00021376
68.359,0.00023745,0.00038301,0.00027198
69.336,0.00015305,0.0011849,0.00033159
70.313,0.00018398,0.00067213,0.00053687
71.289,0.00012241,0.0010857,0.00060048
72.266,0.00019787,0.00056303,0.00043008
73.242,0.00028915,0.0018359,0.00024919
74.219,0.00052213,0.0015736,0.0011499
75.195,0.00064409,0.0013397,0.00111
76.172,0.00021658,0.00043076,0.00043972
77.148,0.00093762,0.00077213,0.00069621
78.125,0.00039584,0.0013417,0.001186
79.102,0.00044979,0.0014755,0.00070787
80.078,0.0011262,0.0014763,0.0019552
81.055,0.00094756,0.0028652,0.0021748
82.031,0.0017712,0.0028824,0.0032829
83.008,0.00064059,0.0036622,0.0025635
83.984,0.00086905,0.003365,0.0017021
84.961,0.00091362,0.0026798,0.0026082
85.938,0.0008898,0.0005723,0.0033283
86.914,0.00026012,0.0013008,0.00059341
87.891,0.00029881,0.0017571,0.0022578
