freq,X_800us_loaded_loosepylon_1,Y_800us_loaded_loosepylon_1,Z_800us_loaded_loosepylon_1
0,9.8166e-16,4.7917e-16,1.3418e-15
0.97656,0.00029974,0.017085,0.0032654
1.9531,0.00047636,0.0078757,0.0019149
2.9297,0.0014132,0.016783,0.0036311
3.9063,0.0003716,0.0022246,0.0020815
4.8828,0.0015475,0.006759,0.0016424
5.8594,0.00033842,0.0016588,0.00060699
6.8359,0.00037347,0.0023073,0.00086498
7.8125,0.0004377,0.0010805,0.00033188
8.7891,0.00015142,0.0010122,0.00062358
9.7656,0.00025741,0.0011193,0.00051193
10.742,9.2199e-05,0.002132,0.00082637
11.719,0.00041236,0.001099,0.00089157
12.695,0.0004707,0.00035601,0.00061866
13.672,0.00045561,0.0022172,0.00051536
14.648,0.00035402,0.0025916,0.0010764
15.625,0.00026396,0.0009196,0.0013297
16.602,9.3711e-05,0.0023589,0.00021324
17.578,0.00039052,0.0017462,0.0012436
18.555,0.00021182,0.0014141,0.0015561
19.531,0.00022816,0.0061648,0.00071546
20.508,0.0028074,0.031419,0.0051057
21.484,0.00071809,0.0038318,0.0016292
22.461,0.00047905,0.0019984,0.0020335
23.438,0.00046899,0.0032929,0.0023436
24.414,5.6886e-05,0.0016937,0.00045176
25.391,0.0007954,0.0018644,0.00097929
26.367,0.00010021,0.0013632,0.00026813
27.344,0.00029064,0.00035543,0.00028578
28.32,0.00011933,0.0019976,0.0011355
29.297,0.00035028,0.00026982,0.00011841
30.273,8.7142e-05,0.0017464,0.00099303
31.25,6.9151e-05,0.00078807,8.5342e-05
32.227,0.00023979,0.00064158,0.00019357
33.203,0.00033571,0.0025328,0.0012947
34.18,0.00029166,0.0037161,0.0018129
35.156,0.0001983,0.0012168,0.00092553
36.133,0.00021098,0.0018217,0.00018079
37.109,0.000391,0.0034141,0.0023412
38.086,0.00027774,0.0018331,0.0023803
39.063,0.00038552,0.0022526,0.0010023
40.039,0.00018131,0.0023445,0.0022012
41.016,0.0012054,0.0088824,0.0028183
41.992,0.00047827,0.0035496,0.0011338
42.969,0.00016595,0.0047757,0.0016128
43.945,0.00038209,0.0011471,0.00084893
44.922,0.00027147,0.00071493,0.00061664
45.898,0.00016906,0.0025076,0.00088382
46.875,0.00037191,0.0012247,0.00046344
47.852,0.00030984,0.0011116,3.2919e-05
48.828,3.8987e-05,0.0013482,0.00022983
49.805,0.00032903,0.0008949,0.00028831
50.781,0.00015824,0.00048215,0.00016863
51.758,0.00032181,0.001876,0.00069219
52.734,0.00028743,0.00059083,0.00038515
53.711,0.00020985,0.0013355,0.00083183
54.688,0.00047252,0.0023977,0.0010416
55.664,0.00034557,0.00085452,0.00055178
56.641,0.0004914,0.0005753,0.00020257
57.617,0.00020335,0.0011716,0.00057517
58.594,0.00022475,0.0013407,0.00037133
59.57,0.00063408,0.0019634,0.00019328
60.547,0.00095766,0.0018613,0.0022554
61.523,0.0018107,0.0015154,0.0020891
62.5,0.00067629,0.0010405,0.000973
63.477,0.000607,0.0013297,0.00095237
64.453,0.00044841,0.0021474,0.0010692
65.43,0.00040199,0.00041488,0.00043237
66.406,0.00034583,0.00095599,0.00033504
67.383,0.00041722,0.00074054,0.00015879
68.359,0.0002149,0.00091746,0.000271
69.336,6.3078e-05,0.0013615,0.00040243
70.313,0.00018619,0.00041703,0.00067284
71.289,0.00079359,0.0018824,0.0011267
72.266,0.00032472,0.00063673,0.00034341
73.242,0.00037576,0.00079544,0.00027907
74.219,0.00055011,0.0013414,0.00059287
75.195,0.00032707,0.00053611,0.00056657
76.172,0.00016187,0.00063827,0.00019814
77.148,0.00030132,0.00090106,0.0010734
78.125,0.00033357,7.7167e-05,0.00092278
79.102,0.00048733,0.0018214,0.00018589
80.078,0.000807,0.0029851,0.0013731
81.055,0.0026091,0.0011974,0.0053603
82.031,0.0021851,0.00075955,0.0055731
83.008,0.00095765,0.0011146,0.0029695
83.984,0.00050868,0.00151,0.0012992
84.961,0.00084211,0.0016054,0.0028179
85.938,0.00075617,0.00048416,0.0029801
86.914,0.00010417,0.0018691,0.0011347
87.891,0.00013923,0.00082661,0.00088485
88.867,0.00041675,0.00092512,0.0026935
89.844,0.00048088,0.00096186,0.0027317
90.82,0.00066977,0.00089852,0.0028098
91.797,0.00077097,0.0006172,0.0046956
92.773,0.0003671,0.0004941,0.0025742
93.75,0.00099731,0.001313,0.0040716
94.727,0.00080974,0.00036265,0.0030677
95.703,0.00084146,0.00080958,0.0043539
96.68,0.00044047,0.00049198,0.003849
97.656,0.00051716,0.00044928,0.0034466
98.633,9.1856e-05,0.00039794,0.001188
99.609,0.00025797,0.001337,0.0011761
100.59,0.00031557,0.0017704,0.0015579
101.56,0.0012453,0.0014043,0.0034485
102.54,0.00060554,0.00054357,0.0021411
103.52,0.00035061,0.0010585,0.0020844
104.49,0.0003923,0.00015679,0.001477
105.47,0.00094935,0.0012485,0.0022744
106.45,0.00034779,0.0008229,0.0021881
107.42,0.00047165,0.00041879,0.0014673
108.4,0.00055792,0.0013223,0.0022108
109.38,0.00033595,0.00091123,0.0012089
110.35,0.00010064,0.0015113,0.002007
111.33,6.173e-05,0.00059076,0.00022241
112.3,0.00017679,0.0017658,0.0015271
113.28,0.00011654,0.00040684,0.00055815
114.26,0.00019205,0.00037535,0.0016882
115.23,0.00017542,0.00089742,0.0010512
116.21,0.00021813,0.0006736,0.00027793
117.19,0.00049824,0.00040099,0.0010493
118.16,0.00033606,0.00044374,0.00090195
119.14,0.00015032,0.00050003,0.00024658
120.12,0.00035883,0.0013169,0.00077343
121.09,0.00042056,0.00047192,0.001329
122.07,0.00084907,0.0021024,0.00076057
123.05,0.00024241,0.0017327,0.00076226
124.02,0.00055429,0.00055889,0.0011502
125,0.00027186,0.0019035,0.00078047
125.98,0.00018751,0.0019786,0.00087883
126.95,3.1441e-05,0.0014331,0.00069492
127.93,0.00027333,0.00030088,0.00066431
128.91,0.00011716,0.00077965,0.00060569
129.88,0.00011255,0.0010311,0.00017113
130.86,7.9599e-05,0.00066266,0.00052992
131.84,7.7871e-05,0.00033675,0.00013545
132.81,0.00024679,0.0019723,0.00068729
133.79,0.00018095,0.00083256,0.00015702
134.77,0.00023956,0.00095191,0.00055406
135.74,8.7012e-05,0.0012307,0.00034005
136.72,0.00045685,0.0011585,0.00060387
137.7,0.00029109,0.00060613,0.0005439
138.67,0.00045943,0.00078569,0.00050344
139.65,0.00049873,0.0014888,0.00098129
140.63,0.00071992,0.0036262,0.00054486
141.6,0.00026953,0.001244,0.0012208
142.58,0.00083712,0.0071603,0.0028355
143.55,0.00020019,0.003465,0.00026749
144.53,0.00028546,0.0012436,0.00013067
145.51,0.00034471,0.001965,0.00068773
146.48,0.00027062,0.0010407,0.00081377
147.46,0.00047423,0.00095284,0.00070024
148.44,4.9586e-05,0.0010733,0.00048832
149.41,0.00022053,0.0015582,0.00015384
150.39,0.0003357,0.00095254,0.00010708
151.37,0.00018531,0.0015244,0.0005849
152.34,0.00019168,0.001383,0.00040921
153.32,0.00017074,0.00070552,0.00026634
154.3,0.00017536,0.0012774,0.00028227
155.27,8.8455e-05,0.00098956,0.00022352
156.25,0.00013152,0.00044066,0.00029283
157.23,4.8131e-05,0.001269,0.00053574
158.2,0.00021505,0.0017422,0.00026252
159.18,7.7248e-05,0.0012677,0.00052729
160.16,0.00025025,0.0015517,0.00035232
161.13,0.00051475,0.0015329,0.0002828
162.11,0.00041968,0.0012045,0.00067905
163.09,0.00089622,0.0026631,0.0020857
164.06,0.00024848,0.0013179,0.00020246
165.04,0.00037697,0.00094518,0.00026878
166.02,0.00010556,0.0012631,0.00017848
166.99,0.00032219,0.0010113,0.00057747
167.97,0.00040724,0.0015958,0.00043836
168.95,0.00022381,0.00081938,0.000257
169.92,0.00018808,0.00038535,0.00022331
170.9,4.4533e-05,0.00026088,0.0001133
171.88,0.0003387,0.00046099,0.00010177
172.85,5.1837e-05,0.00079479,0.00019169
173.83,0.00011454,0.00077435,0.0003367
174.8,0.00032145,0.00053835,0.00037106
175.78,0.00026251,0.00014066,7.9267e-05
176.76,9.9991e-05,0.00038804,0.00017156
177.73,0.00028218,0.00010173,0.00022066
178.71,0.00025099,0.00024213,0.00010129
