freq,X_2300us_unloaded_loosemotor_9,Y_2300us_unloaded_loosemotor_9,Z_2300us_unloaded_loosemotor_9
0,4.4342e-16,7.423e-16,8.3311e-16
0.97656,0.00060163,0.00069442,0.00057528
1.9531,0.00025961,0.00079057,0.0001836
2.9297,0.00052258,0.0011616,0.0019098
3.9063,0.00018475,7.3177e-05,0.0013791
4.8828,0.00033115,0.0009312,0.0017731
5.8594,0.0008967,0.00037356,0.0015928
6.8359,9.6155e-05,0.00076144,0.0012723
7.8125,0.00034597,0.001259,0.00049477
8.7891,0.00048323,0.00091518,0.0009438
9.7656,0.0011197,0.001593,0.0029639
10.742,0.00039177,0.00071704,0.0014666
11.719,0.00011906,0.00090936,0.00040995
12.695,0.00050898,0.0011189,0.00059033
13.672,0.00062966,0.0019333,0.0019148
14.648,0.00066179,0.00019086,0.00022118
15.625,0.0009324,0.0008407,0.0020889
16.602,0.00017818,0.001069,0.00071231
17.578,0.00018955,0.0003546,0.0014198
18.555,0.00034074,0.0010199,0.0022779
19.531,0.00041881,0.0013648,0.0020248
20.508,0.00021391,0.001422,0.0010956
21.484,0.0003665,0.00080889,0.0028726
22.461,0.00075212,0.0018742,0.0035196
23.438,0.0015264,0.0027495,0.0053671
24.414,0.00065009,0.0051876,0.0098452
25.391,0.00055048,0.00027654,0.0004517
26.367,0.0010087,0.0012953,0.0012145
27.344,0.00082241,0.00038959,0.0019831
28.32,0.00072434,0.0011551,0.00099066
29.297,0.00012128,0.00061943,0.0017331
30.273,0.00047687,0.0007165,0.0011078
31.25,0.00050349,0.00056438,0.00025473
32.227,0.0004886,0.00016814,0.0011554
33.203,0.0013014,0.0024381,0.0025346
34.18,0.00039255,0.0016399,0.00077595
35.156,0.00037036,0.00045907,0.0016044
36.133,0.00065955,0.00094246,0.00059415
37.109,0.00017106,0.0012847,0.00058458
38.086,0.00049189,0.0011432,0.0016811
39.063,0.00047198,0.00022079,0.00061866
40.039,0.0004538,0.00059971,0.00047756
41.016,0.00039633,0.0011239,0.0013616
41.992,0.00029806,0.00046852,0.0013938
42.969,0.00069393,0.0011283,0.00056133
43.945,0.00051676,0.00087469,0.00056764
44.922,8.5184e-05,0.0014573,0.00094292
45.898,0.00057515,0.00091014,0.0020227
46.875,0.0013102,0.00061991,0.00020378
47.852,0.0098618,0.0070911,0.0089139
48.828,0.0027078,0.001756,0.002828
49.805,0.0012357,0.00069157,0.0018101
50.781,0.0011063,0.0005246,0.0017055
51.758,0.00022619,0.001479,0.00010821
52.734,0.00061092,0.00055497,0.0016567
53.711,0.00082474,0.00088062,0.00022885
54.688,0.00032924,0.001449,0.0010813
55.664,0.00084614,0.0010336,0.00049127
56.641,0.00042353,0.00030035,0.00036763
57.617,0.00093565,0.0010302,0.00090888
58.594,0.00026809,0.00075282,0.00053957
59.57,0.00047995,0.00080823,0.00050156
60.547,0.00089874,0.0010182,0.00093454
61.523,0.00033153,0.00070002,0.00038271
62.5,0.00055588,0.0010784,0.00094356
63.477,0.00044987,0.00061154,0.0011988
64.453,0.00082788,0.00074545,0.00054527
65.43,0.00049794,0.00064496,0.0008101
66.406,0.00047786,0.0010973,0.00053342
67.383,0.00093961,0.00094062,0.0014516
68.359,8.7739e-05,0.00040137,0.0011047
69.336,0.00038791,0.00073349,0.00045691
70.313,0.00017631,0.00060527,0.00091173
71.289,0.0006456,0.00062448,0.0011428
72.266,0.00037707,0.0011343,0.00038787
73.242,0.00015844,0.00056939,0.00087057
74.219,0.00011989,0.00050901,0.00025706
75.195,5.662e-05,0.0004853,0.00085346
76.172,0.0001142,0.00060937,0.00039718
