freq,X_900us_unloaded_loosemotor_1,Y_900us_unloaded_loosemotor_1,Z_900us_unloaded_loosemotor_1
0,3.5083e-16,1.4616e-16,1.5346e-15
0.97656,0.00021824,0.0014713,0.00092179
1.9531,0.00034141,0.000583,0.0011743
2.9297,0.00026414,0.00081621,0.0010019
3.9063,0.00029264,0.0010852,0.0005974
4.8828,0.00017831,0.001501,0.00078291
5.8594,0.00032219,0.0011333,0.0002287
6.8359,0.00039867,0.00069879,0.00071491
7.8125,0.00012905,0.0013505,0.0018409
8.7891,0.00022958,0.0018646,0.00087275
9.7656,0.0013831,0.0071365,0.0083928
10.742,0.00052766,0.0019278,0.0011962
11.719,0.00043692,0.0012193,0.0028737
12.695,0.00055312,0.0012211,0.0026826
13.672,0.00072004,0.0016794,0.00070885
14.648,0.00067284,0.0021103,0.0011658
15.625,0.00070918,0.0026334,0.0015726
16.602,0.0011148,0.0026598,0.0010842
17.578,0.0015258,0.0014608,0.0027861
18.555,0.0019477,0.0035862,0.0026528
19.531,0.003276,0.0033522,0.0070727
20.508,0.00086514,0.0044023,0.0016824
21.484,0.00013989,0.0035316,0.0021372
22.461,0.00020204,0.0035397,0.0017865
23.438,0.0004845,0.00367,0.0023124
24.414,0.00027741,0.0039247,0.00075895
25.391,0.00080732,0.0054217,0.0016591
26.367,0.00086187,0.0067951,0.0018861
27.344,0.0012472,0.0061442,0.0024907
28.32,0.0025101,0.012854,0.004523
29.297,0.0076406,0.032678,0.01238
30.273,0.019608,0.083382,0.028168
31.25,0.0058073,0.023318,0.0083741
32.227,0.0018342,0.0060769,0.0037899
33.203,0.0014576,0.006725,0.0019754
34.18,0.00052278,0.001251,0.0011064
35.156,0.00069134,0.0021349,0.0012912
36.133,0.0004633,0.00067862,0.00034829
37.109,9.8917e-05,0.0020365,0.0007974
38.086,0.00025521,0.001225,0.00096919
39.063,0.00036781,0.0020081,0.0016078
40.039,0.0007262,0.0014532,0.0021617
41.016,0.00021677,0.0012472,0.00011761
41.992,0.00049264,0.0013068,0.0015254
42.969,0.00012092,0.0026308,0.0010371
43.945,0.00042277,0.0023886,0.0014886
44.922,0.00037413,0.0034121,0.0017737
45.898,0.00076296,0.0027252,0.0022783
46.875,0.00084794,0.0043892,0.0023001
47.852,0.00084235,0.0089312,0.0053518
48.828,0.0017326,0.019195,0.01048
49.805,0.0025852,0.017485,0.0084074
50.781,0.0010752,0.0043664,0.00072901
51.758,0.00073949,0.0032572,0.0009067
52.734,0.0010708,0.0034391,0.0008147
53.711,0.00058619,0.0031085,0.00025349
54.688,0.00079589,0.0031827,0.0011543
55.664,0.00077191,0.0011992,0.0010628
56.641,0.0007989,0.0011334,0.00098881
57.617,0.00087445,0.0016161,0.00076945
58.594,0.0013749,0.0012638,0.0017209
59.57,0.001909,0.00073928,0.0032181
60.547,0.0030629,0.0024881,0.0032576
61.523,0.0013488,0.0013863,0.0020616
62.5,0.0010288,0.00012766,0.00037679
63.477,0.0011612,0.00066102,0.00040984
64.453,0.00061889,0.0020941,0.0010869
65.43,0.0011869,0.0021165,0.00069055
66.406,0.0014575,0.00049679,3.1773e-05
67.383,0.0024107,0.00058814,0.00058017
68.359,0.0048372,0.0019105,0.0019286
69.336,0.003779,0.0017083,0.0021907
70.313,0.00074574,0.0012589,0.00081043
71.289,0.0002822,0.00052372,0.00051754
72.266,0.00018935,0.00090923,0.0010156
73.242,0.00039584,0.00041322,0.0012816
74.219,0.0002373,0.00066171,0.00075299
