freq,X_800us_broken_prop_9,Y_800us_broken_prop_9,Z_800us_broken_prop_9
140.63,0.00028285,0.00092347,0.0027334
141.6,0.00039872,0.001369,0.0018877
142.58,0.00053029,0.0015098,0.0013827
143.55,0.00087794,0.0030258,0.0016033
144.53,0.00056461,0.0015523,0.00067853
145.51,0.00086153,0.0017031,0.0016637
146.48,0.000958,0.0030905,0.0018983
147.46,9.1047e-05,0.0022416,0.0015514
148.44,0.0010722,0.002582,0.0015124
149.41,0.00052034,0.0011951,0.0011681
150.39,0.00052753,0.00098341,0.0027858
151.37,0.00038544,0.00098977,7.0681e-05
152.34,0.00056987,0.00063303,0.0011033
153.32,0.0007195,0.0014538,0.0036483
154.3,0.00078104,0.0010239,0.0030684
155.27,0.00030883,0.0012034,0.0020236
156.25,0.00062547,0.0018195,0.001378
157.23,0.000797,0.0018759,0.00065154
158.2,0.00036087,0.00029572,0.0019822
159.18,0.00094377,0.0028352,0.0024459
160.16,0.00088759,0.0011653,0.00093034
161.13,0.00044104,0.0011814,0.0011557
162.11,0.00030897,0.00023413,0.0017511
163.09,0.00065279,0.0012051,0.001839
164.06,0.00029826,0.0011001,0.0024677
165.04,0.00096762,0.0018939,0.00089683
166.02,0.000765,0.0011943,0.00038988
166.99,0.00057636,0.0018188,0.0014149
167.97,0.00044881,0.00042156,0.00052746
168.95,0.00052898,0.0022261,0.00096312
169.92,0.0003099,0.0011416,0.001455
170.9,0.0003116,0.0013985,0.00096854
171.88,0.00027245,0.00097612,0.0007435
172.85,0.00028928,0.00084964,0.0016127
173.83,0.0010619,0.00087527,0.00136
174.8,0.00066262,0.0006269,0.0010586
175.78,0.00066894,0.0018974,0.0008081
176.76,0.00031174,0.00066924,0.001833
177.73,0.00018661,0.0009351,0.001372
178.71,0.00023654,0.00040118,0.0014848
179.69,0.00015568,0.0012714,0.00097117
180.66,0.00020826,0.0011316,0.00081672
181.64,0.0002168,0.00016732,0.00048058
182.62,0.00048011,0.0013554,0.00076439
183.59,0.00072918,0.0033418,0.0010072
184.57,0.00028887,0.0021136,0.00093926
185.55,0.0010287,0.002509,0.00053044
186.52,0.00088706,0.0021502,0.0007127
187.5,0.00044099,0.0022509,0.00095053
188.48,0.00077163,0.00149,0.000376
189.45,0.00095467,0.00085896,0.00059154
190.43,0.00063861,0.001266,0.0011229
191.41,0.00029214,0.000175,0.0017627
192.38,0.00030326,0.0018681,0.0016064
193.36,3.2987e-05,0.00079894,0.00075539
194.34,0.00011873,0.00066804,0.001522
195.31,0.00020922,0.001246,0.0011301
196.29,0.00027985,0.00054576,0.0010469
197.27,0.00013804,0.00063189,0.0011651
198.24,0.00033774,0.00042655,0.003209
199.22,0.00046881,0.0018061,0.0013495
200.2,0.00027725,0.0021029,0.00062379
201.17,0.00014716,0.0014808,0.00079285
202.15,0.0003799,0.00084517,0.0014478
203.13,0.00044946,0.0013837,0.00068409
204.1,0.00033412,0.00093761,0.00046072
205.08,0.00049097,0.001268,0.00034961
206.05,0.00027489,0.001142,0.0003229
207.03,0.00028583,0.0017864,0.0012446
208.01,0.00010711,0.0013357,0.00088374
208.98,0.000963,0.0015689,0.00076634
209.96,0.00046619,0.00062665,0.00079859
210.94,0.00065822,0.0019119,0.00091948
211.91,0.00093165,0.0001474,0.00050912
212.89,0.00063687,0.0011947,0.00051293
213.87,0.00093788,0.002069,0.00096449
214.84,0.00053833,0.00088714,0.000478
215.82,0.00024269,0.00051118,0.00081024
216.8,0.0005286,0.0017577,0.00091881
217.77,0.00072796,0.0020934,0.00047039
218.75,0.00077026,0.0051708,0.0016525
219.73,0.00037416,0.00078307,0.00085503
220.7,0.00031158,0.0011846,0.00099426
221.68,0.00038069,0.00058488,0.00048725
222.66,0.00033391,0.0016803,0.0011618
223.63,7.5558e-05,0.0010381,0.0011491
224.61,0.00067889,0.0010853,0.001044
225.59,0.00039818,0.0019879,0.00077138
226.56,0.00053911,0.0016943,0.0015765
227.54,0.00063337,0.001656,0.00061643
228.52,0.00056165,0.00054138,0.00051074
229.49,0.00022837,0.00080161,0.00042287
230.47,0.00023938,0.00069121,0.0011201
231.45,0.00024288,0.0025706,0.00054106
232.42,0.00021025,0.0010331,0.00043551
233.4,0.00012648,0.0015638,0.0014223
234.38,0.00026229,0.0014012,0.00016184
235.35,0.00025379,0.0017469,0.00047356
236.33,0.00045209,0.00089242,0.00060974
237.3,8.3543e-05,0.0012375,0.0012766
238.28,0.0016922,0.0082743,0.0032025
239.26,0.00042458,0.00094562,0.0013828
240.23,0.00028339,0.00077284,0.00054634
241.21,4.602e-05,0.00079726,0.00024434
242.19,0.00019644,0.00092735,0.0005808
243.16,0.00024778,0.00033614,0.00068173
244.14,0.0001479,0.00030582,0.00051672
245.12,0.00029885,0.0011301,0.0006807
246.09,0.00037563,0.001121,0.00042127
247.07,0.00042156,0.0014071,0.00062995
248.05,0.00028557,0.00077497,0.00045703
249.02,0.00022523,0.00022364,0.00077772
250,0.00068743,0.0028182,0.0012514
250.98,0.00046437,0.0016502,0.00038332
251.95,0.00023364,0.00097128,0.0014141
252.93,0.00030963,0.0011179,0.00064622
253.91,8.5134e-05,0.00072596,0.00016111
254.88,4.1223e-05,0.0020678,6.779e-05
255.86,0.00018088,0.0011011,0.00068937
256.84,0.00026499,0.001279,0.0013594
257.81,0.00054581,0.0040246,0.0023128
258.79,0.00017626,0.0043914,0.0017465
259.77,0.00036573,0.003153,0.00124
260.74,5.4533e-05,0.0017956,0.00093424
261.72,0.00039281,0.0012312,0.00073425
262.7,0.0013348,0.00070102,0.00097768
263.67,0.00045414,0.0012119,0.00068573
264.65,0.001668,0.0065778,0.0033413
265.63,0.0011525,0.0018595,0.0011848
266.6,0.00019833,0.0020353,0.00090648
267.58,0.00095679,0.0023912,0.0017902
268.55,0.00045405,0.0022835,0.0010656
269.53,0.0003694,0.00092873,0.0013363
270.51,0.00063491,0.0019518,0.00031198
271.48,0.00020997,0.00058649,0.00094646
272.46,0.00027421,0.00090525,0.00051787
273.44,0.00024951,0.0015385,0.0010377
274.41,6.1556e-05,0.0028656,0.0006944
275.39,0.00014867,0.0049528,0.0018568
276.37,0.00044967,0.0010493,0.0012194
277.34,0.00063482,0.0080644,0.0023782
278.32,0.0018544,0.016809,0.0058758
279.3,0.00024377,0.0042507,0.00064777
280.27,0.000369,0.004434,0.00098786
281.25,0.00011957,0.0015696,0.00035442
282.23,0.00020038,0.001444,0.0018758
283.2,0.00054755,0.002261,0.0019002
284.18,0.00074536,0.0024237,0.00095651
285.16,0.0008337,0.0033151,0.00088
286.13,0.00032014,0.0045041,0.0022123
287.11,0.00039961,0.0032025,0.0016835
288.09,0.00047751,0.0013463,0.0006992
289.06,0.00038652,0.0033757,0.0013078
290.04,0.00039097,0.0026761,0.00082135
291.02,0.000437,0.0026737,0.0011913
291.99,0.00011297,0.0020402,0.0010097
292.97,0.00031995,0.00059362,0.0002672
293.95,0.00054355,0.0020992,0.00066296
