freq,X_800us_loaded_8,Y_800us_loaded_8,Z_800us_loaded_8
0,3.8947e-16,3.3618e-16,5.1514e-15
0.97656,0.00013064,0.00067275,0.00038667
1.9531,0.00022307,0.00085174,0.00028034
2.9297,9.3175e-05,0.00022158,0.00019656
3.9063,9.762e-05,0.00074732,0.00034527
4.8828,6.1536e-05,0.00042439,0.00024568
5.8594,0.00011579,0.0010406,0.00045529
6.8359,0.00016208,0.00035613,0.00025505
7.8125,0.00022157,0.00044399,0.00069242
8.7891,6.0092e-05,0.0009553,0.00044479
9.7656,3.7243e-05,0.00048979,0.00052035
10.742,0.0004108,0.0010195,0.0021067
11.719,0.00019037,0.00065039,0.00036667
12.695,0.00018985,0.00074453,0.00012777
13.672,0.00010586,0.00028,0.00030336
14.648,3.9808e-05,0.00055154,0.00019595
15.625,0.00016816,0.00037992,0.00028231
16.602,0.00015536,0.00086007,0.00027074
17.578,0.00019179,0.0016579,0.00086832
18.555,0.00046229,0.009749,0.0023872
19.531,0.00017904,0.0021265,0.00084705
20.508,0.00028296,0.0016254,0.00069791
21.484,0.00026187,0.00095817,0.00019732
22.461,0.00025062,0.00014434,0.00044971
23.438,5.6593e-05,0.00042638,0.00026866
24.414,8.2404e-05,0.00069272,9.2773e-05
25.391,0.00010496,0.00049265,0.00055972
26.367,0.000206,0.00056266,0.00038997
27.344,0.00015379,0.0014376,0.00015708
28.32,0.0001743,0.0010093,0.00040042
29.297,0.00023147,0.00078671,0.00067477
30.273,8.6073e-05,0.0007274,0.00010835
31.25,0.00015221,0.00065318,0.00057262
32.227,0.00017899,0.00077042,0.00096938
33.203,6.1223e-05,0.00035112,8.0054e-05
34.18,0.00022861,0.00037607,0.00061168
35.156,0.00050174,0.00028888,0.00041659
36.133,0.00049751,0.00042424,0.0012436
37.109,0.00081674,0.00052173,0.0026739
38.086,0.00056944,0.00048334,0.0016822
39.063,3.2369e-05,0.00060925,0.0008463
40.039,0.00024409,0.00065222,0.00059514
41.016,0.00035217,0.00026324,0.000714
41.992,0.00015699,0.00038988,0.00022379
42.969,0.0001677,0.00094632,0.00020441
43.945,0.00036313,0.0018894,0.00045402
44.922,0.00031311,0.0015041,0.00082045
45.898,0.00050928,0.0032869,0.0010544
46.875,0.00018027,0.00056876,0.00091112
47.852,0.00057293,0.0033757,0.0011261
48.828,0.00010092,0.00083319,0.00088215
49.805,0.00025245,0.00028504,0.00081946
50.781,0.00032669,0.0024015,0.0012099
51.758,0.00015009,0.00067609,0.00036931
52.734,0.00016961,0.00017378,0.00084568
