freq,X_800us_unloaded_loosepylon_2,Y_800us_unloaded_loosepylon_2,Z_800us_unloaded_loosepylon_2
0,2.5131e-15,6.6613e-19,5.8109e-16
0.97656,0.00011523,0.001523,0.00073234
1.9531,0.00016192,0.00040571,0.00052142
2.9297,0.00018086,0.0010491,3.5699e-05
3.9063,0.00014014,0.0013922,0.000152
4.8828,0.00031732,0.0020923,0.00080093
5.8594,0.000728,0.004457,0.00053849
6.8359,0.00092884,0.0063443,0.0012432
7.8125,0.00027306,0.0039567,0.00035665
8.7891,0.00019185,0.00071528,0.00030641
9.7656,0.0004287,0.0013996,0.00045721
10.742,0.00033022,0.0007685,0.00058118
11.719,0.00083047,0.0012667,0.00036153
12.695,0.0012946,0.0027968,0.00043028
13.672,0.00054661,0.0015442,0.00071378
14.648,0.00087952,0.0018055,0.00030822
15.625,0.00022054,0.00037066,0.00067811
16.602,0.0005167,0.00030275,0.00034634
17.578,0.00055099,0.00071829,0.00025874
18.555,0.00047368,0.00043344,0.00055199
19.531,0.000707,0.001449,0.0013388
20.508,0.00049818,0.0020595,0.0015629
21.484,0.00046384,0.00034781,0.00072426
22.461,0.00079973,0.00091341,0.00050292
23.438,0.00039646,0.00018015,0.00041897
24.414,0.0026292,0.00074174,0.0018457
25.391,0.0042685,0.00066918,0.0035944
26.367,0.0052646,0.0013554,0.00477
27.344,0.010314,0.0032725,0.0078555
28.32,0.0040691,0.00083031,0.0033573
29.297,0.0049392,0.0010915,0.0038965
30.273,0.0015892,0.0011517,0.0019515
31.25,0.001071,0.00077337,0.00063002
32.227,0.00030387,0.0011608,0.0010923
33.203,0.00061758,0.0022885,0.0005207
34.18,0.00032576,0.0023888,0.00058964
35.156,0.0011797,0.00043526,0.0011783
36.133,0.0003641,0.00022783,0.00023495
37.109,0.00039979,0.00049858,0.00038702
38.086,0.00043912,0.0010068,0.00084627
39.063,0.00057791,0.0013213,0.00082929
40.039,0.0020695,0.0071839,0.0058112
41.016,0.00052638,0.0014155,0.0017983
41.992,0.0004069,0.0022771,0.0013083
42.969,0.00028595,0.0017205,0.00096544
43.945,0.00032988,0.0011834,0.00033637
44.922,4.5345e-05,0.00085586,0.00058016
45.898,0.00042192,0.0016402,0.0005234
46.875,0.00021588,0.0044495,0.0011211
47.852,0.00010706,0.0028578,0.001251
48.828,0.00014211,0.0019113,0.00093692
49.805,0.0002342,0.0020129,0.00060064
50.781,0.00029804,0.0010895,0.00064674
51.758,4.7467e-05,0.0024364,0.00082845
52.734,0.00031684,0.0026923,0.0012587
53.711,0.00020164,0.0027396,0.0013344
54.688,0.00053999,0.0023095,0.0012114
55.664,0.0002601,0.0015452,0.00014393
56.641,0.00018921,0.00090047,0.00036138
57.617,0.0002098,5.9689e-05,0.00036884
58.594,0.00038678,0.0014556,0.00046694
59.57,0.00034261,0.00019653,0.00056649
60.547,0.0002948,0.00023927,0.00041832
61.523,0.00011629,0.0012755,0.00031652
62.5,0.00037591,0.00070128,0.0002936
63.477,2.9653e-05,0.0005643,0.00024443
64.453,0.0015813,0.0013036,0.0012806
65.43,0.0010968,0.0014213,0.0010712
66.406,0.0050737,0.0032928,0.0040365
67.383,0.0060145,0.0034957,0.0051376
68.359,0.0033222,0.0024132,0.002674
69.336,0.0031514,0.0023862,0.0024075
70.313,0.0011878,0.0016793,0.0011108
71.289,0.0014599,0.00071049,0.0014618
72.266,0.00084862,0.0010703,0.0019819
73.242,0.00057135,0.0013764,0.00070428
74.219,0.00088194,0.0032419,0.0019252
75.195,0.0004633,0.0010506,0.00065937
76.172,0.00052055,0.0011917,0.00078888
77.148,0.00055826,0.001368,0.0011496
78.125,0.0005133,0.0019299,0.0011862
79.102,0.00070048,0.0021666,0.0018876
80.078,0.0011473,0.0059307,0.0047977
81.055,0.00054059,0.0037949,0.0026218
82.031,0.00026369,0.001401,0.00076776
83.008,0.00027131,0.0014775,0.00054542
83.984,0.00020861,0.0014826,0.00059161
84.961,0.00039118,0.0043769,0.00084229
85.938,0.00041147,0.0023701,0.00041133
86.914,0.0014605,0.011892,0.0032749
87.891,0.00023876,0.0020301,0.00038086
88.867,0.00081102,0.0047813,0.001282
89.844,0.00026401,0.0013087,0.00037095
90.82,0.00017347,0.00047596,0.00030836
91.797,0.00010587,0.00079116,0.00059176
92.773,0.00017658,0.0010107,0.00029361
93.75,0.00018758,0.0020002,0.0003636
94.727,0.00014678,0.00096627,0.00020457
95.703,9.531e-05,0.0016797,0.00071689
96.68,0.00028979,0.0010512,0.00018646
97.656,0.00012933,0.0020922,0.00043095
98.633,0.00012179,0.00029118,9.0861e-05
99.609,0.00020488,0.00054996,0.00022637
100.59,0.00025119,0.00069273,0.00028881
101.56,0.00038536,0.00018205,0.00048193
102.54,0.00035372,0.0010811,0.00070282
103.52,0.00040199,0.00039062,0.00032831
104.49,0.0005172,0.00083971,0.00075181
105.47,0.00020267,0.0016933,0.00066244
106.45,0.0016673,0.0012035,0.0028468
107.42,0.0013002,0.00070249,0.0017813
108.4,0.0012682,0.0014483,0.0014225
109.38,0.0011557,0.0014509,0.0017484
110.35,0.00056157,0.00054102,0.0006187
111.33,0.00046166,0.0002702,0.00054893
112.3,0.00024216,0.0009177,0.00018735
113.28,0.00028476,0.00074054,0.0002634
114.26,9.8966e-05,0.0013713,0.00074178
115.23,0.00015019,0.00024637,0.00055406
116.21,0.00023058,0.00029569,0.0007727
117.19,0.00025261,0.00056283,0.0010718
118.16,0.00041837,0.0010753,0.0013341
119.14,0.0004289,0.0003007,0.0022625
120.12,0.0010691,0.0010696,0.0057767
121.09,0.0017537,0.0026993,0.012038
122.07,0.00053138,0.001774,0.0032771
123.05,0.00013409,0.0024713,0.0018193
124.02,0.0005855,0.0039151,0.001685
125,0.0010834,0.0080074,0.0024615
125.98,0.0010725,0.0076489,0.0021641
126.95,0.0037996,0.027091,0.0063942
127.93,0.0011567,0.0086359,0.0014485
128.91,0.001737,0.012177,0.0025848
129.88,0.00047686,0.0039351,0.00094232
130.86,0.0004839,0.0026766,0.00040504
131.84,0.00054137,0.0023848,0.00051383
132.81,0.00020655,0.0015719,0.00034759
133.79,0.00045022,0.0018192,0.00023347
134.77,0.00032501,0.0010714,0.00014351
135.74,0.00027789,0.0014012,0.0004563
136.72,0.00040688,0.0013974,0.00058593
137.7,8.9455e-05,0.0013627,0.00041993
138.67,0.00032848,0.0012142,0.00045199
139.65,0.00013655,0.00097118,0.00032421
140.63,0.00037256,0.00087411,0.00030544
141.6,0.00028488,0.0007065,0.00043457
142.58,0.00011988,0.00095584,0.0003344
143.55,0.00020679,0.00082112,0.00039311
144.53,0.00017515,0.0012313,0.00035689
145.51,0.00016984,0.00089577,0.00033565
146.48,0.00016596,0.00096319,0.00021951
147.46,0.0001517,0.00073481,0.00024068
148.44,0.00038498,0.0013515,0.00048492
149.41,0.00020959,0.00022174,0.00029569
150.39,0.00010216,0.00033144,0.00044199
151.37,0.00018406,0.00063426,0.0004585
152.34,4.6305e-05,0.00046307,0.00025902
153.32,7.3428e-05,0.00077797,0.000353
154.3,0.00017443,0.0013699,0.00043571
155.27,0.00018003,0.000647,0.00025597
156.25,0.0001977,0.00014538,0.0002297
157.23,0.00013955,0.00030081,0.00019788
158.2,2.1343e-05,0.00035983,0.00013346
159.18,0.00014743,0.00146,0.0002641
160.16,0.00010046,0.00092979,0.00061321
161.13,0.00045739,0.0020956,0.0030782
162.11,0.0001603,0.0003385,0.00029362
163.09,9.4524e-05,0.00063719,8.7867e-05
164.06,0.00014714,0.00065487,0.00032622
165.04,0.0001455,0.00086679,0.00019651
166.02,0.00028537,0.00090679,0.00015133
166.99,0.00029658,0.0023333,0.00038302
167.97,0.00037011,0.0022141,0.00042569
168.95,0.0003555,0.0015485,0.0003833
169.92,6.0617e-05,0.00022584,9.8587e-05
170.9,0.00012849,0.00063026,0.00024553
171.88,0.00027616,0.00057226,0.00013832
172.85,0.00016969,0.00033634,0.00014582
173.83,0.00020323,0.00039223,0.00029868
174.8,0.0002085,0.00052935,0.0003858
175.78,0.00010172,0.00019168,0.00034581
176.76,0.00014438,0.00041268,0.0002163
177.73,0.00013969,0.00085105,0.00040676
178.71,0.00020674,0.00025973,5.8635e-05
179.69,0.00018566,0.00065742,0.00034026
180.66,0.00034806,0.00025517,0.00014092
181.64,0.00033535,0.00027309,0.00024838
182.62,0.00015866,0.00030119,0.00013018
183.59,0.0001695,0.00055264,0.0002289
184.57,0.00019444,0.00055355,0.00016692
185.55,0.00020028,0.00020786,0.00029833
