freq,X_800us_loaded_loosemotor_7,Y_800us_loaded_loosemotor_7,Z_800us_loaded_loosemotor_7
0,5.7743e-16,2.4186e-16,2.1214e-15
0.97656,0.00014809,0.00048113,0.00026853
1.9531,0.00023645,0.003086,0.00063973
2.9297,0.00032908,0.005902,0.0013379
3.9063,0.00066649,0.0076212,0.0019217
4.8828,0.0004634,0.0091987,0.0043211
5.8594,0.0010542,0.0031896,0.0026525
6.8359,0.00075994,0.0068339,0.00074922
7.8125,0.00075565,0.015718,0.0066904
8.7891,0.00035327,0.01384,0.0044472
9.7656,0.0010931,0.01225,0.0039211
10.742,0.00035025,0.0058485,0.0020519
11.719,0.00037027,0.0089932,0.0023048
12.695,0.0011838,0.01465,0.0053149
13.672,0.00067315,0.0072859,0.0033671
14.648,0.0005932,0.0072789,0.0047472
15.625,0.00033285,0.010917,0.0032346
16.602,0.00059292,0.0043741,0.00090326
17.578,0.00032175,0.0016049,0.00031332
18.555,0.00043443,0.00081582,0.0010446
19.531,0.00035025,0.0028009,0.0005281
20.508,0.0003503,0.0078011,0.0028885
21.484,0.00036898,0.0019446,0.00080482
22.461,0.00027527,0.0011855,0.00050057
23.438,0.00057009,0.00084294,0.0013121
24.414,0.00062505,0.0016103,0.0010422
25.391,0.00025025,0.0020174,0.0019116
26.367,0.00048071,0.0064224,0.0009419
27.344,0.00036554,0.0082912,0.0013752
28.32,0.00053814,0.0048795,0.0021148
29.297,0.00035473,0.0049792,0.0020808
30.273,0.00037725,0.0037208,0.0012092
31.25,0.00020137,0.005567,0.00092763
32.227,0.00031819,0.0083882,0.0026998
33.203,0.00070129,0.0090938,0.0019643
34.18,0.00035953,0.004276,0.0015172
35.156,0.00050661,0.0021591,0.0013457
36.133,0.00038725,0.0049697,0.0013923
37.109,0.00017893,0.0046366,0.0011531
38.086,0.00069147,0.0043535,0.00084029
39.063,0.00032738,0.002037,0.00099177
40.039,5.4137e-05,0.0023525,0.0013949
41.016,0.0012114,0.00074863,0.0033199
41.992,0.00080101,0.0005107,0.0021451
42.969,0.00033478,0.0016728,0.0013176
43.945,0.00060922,0.0009,0.0012412
44.922,0.00031863,0.00048029,0.00091902
45.898,0.0002137,0.00069772,0.00067996
46.875,0.00015403,0.00081989,0.00085312
47.852,0.00021252,0.00046395,0.00046379
48.828,0.00031106,0.0020183,0.00073118
49.805,0.00042976,0.0017054,0.00059111
50.781,9.0882e-05,0.00080297,0.0002335
51.758,0.00052746,0.0007093,0.00073446
52.734,0.00030901,0.0023211,0.00044191
53.711,0.00042837,0.0017408,0.00040423
54.688,0.00023619,0.00080389,0.00042452
55.664,0.00011948,0.00056895,0.00046355
56.641,0.00019273,0.0011718,0.0004861
57.617,0.00032928,0.00088195,0.0002612
58.594,0.00012998,0.0012059,0.00066568
59.57,0.00039169,0.00079383,0.0003037
60.547,0.00024797,0.00039159,0.00081463
61.523,0.00036179,0.00068378,0.0023038
