freq,X_1600us_loaded_loosepylon_7,Y_1600us_loaded_loosepylon_7,Z_1600us_loaded_loosepylon_7
0,8.8818e-19,6.6758e-16,3.002e-16
0.97656,0.001526,0.0039943,0.012272
1.9531,0.0031412,0.0025922,0.003268
2.9297,0.00089145,0.0014838,0.0032988
3.9063,0.001158,0.0010417,0.001313
4.8828,0.0014666,0.0060958,0.0015507
5.8594,0.00071211,0.002164,0.0024577
6.8359,0.0039608,0.0045895,0.0041652
7.8125,0.00062775,0.0054991,0.0020116
8.7891,0.0023518,0.0031691,0.0052121
9.7656,0.0034404,0.0019507,0.0047325
10.742,0.0010904,0.001459,0.014656
11.719,0.0030607,0.0025842,0.016305
12.695,0.002771,0.0080882,0.0089579
13.672,0.0028826,0.0039726,0.0068344
14.648,0.0010647,0.0018469,0.0024285
15.625,0.0024958,0.0045789,0.0084631
16.602,0.0020957,0.0030287,0.0032438
17.578,0.00034887,0.0037425,0.00080233
18.555,0.001932,0.0018234,0.0036419
19.531,0.0021248,0.0037772,0.0025537
20.508,0.0008207,0.0031669,0.0023172
21.484,0.0019232,0.0029656,0.0029229
22.461,0.00083507,0.0023138,0.00075262
23.438,0.0008152,0.0037886,0.0033686
24.414,0.0017648,0.0046773,0.0020537
25.391,0.0017981,0.00423,0.0014786
26.367,0.0012446,0.0032249,0.0019195
27.344,0.0017543,0.0042584,0.0023921
28.32,0.0019522,0.006696,0.00054685
29.297,9.4425e-05,0.0025839,0.0021162
30.273,0.0030192,0.0035409,0.0033914
31.25,0.00096029,0.0051253,0.0029257
32.227,0.001029,0.0043777,0.0027797
33.203,0.0010611,0.012112,0.0063937
34.18,0.0022341,0.015421,0.013087
35.156,0.0053376,0.034373,0.016233
36.133,0.00091711,0.012134,0.012287
37.109,0.0014407,0.0083506,0.014935
38.086,0.0012297,0.025307,0.012076
39.063,0.0033984,0.01279,0.0057507
40.039,0.0038301,0.021852,0.011972
41.016,0.00081387,0.0043114,0.005491
41.992,0.0011922,0.0023743,0.0037363
42.969,0.00086619,0.0046597,0.002715
43.945,0.00053233,0.00027932,0.0016798
44.922,0.0028315,0.010174,0.0013538
45.898,0.0026308,0.0034257,0.0025656
46.875,0.0015621,0.008259,0.0014984
47.852,0.0010853,0.0029622,0.0031931
48.828,0.0013844,0.0031966,0.0023468
49.805,0.00013216,0.0033369,0.0029942
50.781,0.00025404,0.0049898,0.0018597
51.758,0.00075229,0.0043416,0.0022068
52.734,0.00060729,0.0032804,0.0029197
53.711,0.0027379,0.0062974,0.0021581
54.688,0.0015134,0.0022738,0.003673
55.664,0.0012544,0.00097244,0.00027525
56.641,0.0020192,0.0028756,0.0032053
57.617,0.00056953,0.0049312,0.001373
58.594,0.0001413,0.0026812,0.002064
59.57,0.0026292,0.0017832,0.00096716
60.547,0.0013798,0.0075684,0.0011057
