freq,X_900us_loaded_loosemotor_0,Y_900us_loaded_loosemotor_0,Z_900us_loaded_loosemotor_0
0,4.2011e-16,4.9188e-16,1.3625e-15
0.97656,0.0004588,0.0036781,0.0024292
1.9531,0.0004196,0.0064493,0.0015417
2.9297,0.00097719,0.00095301,0.003256
3.9063,0.0022847,0.001613,0.0025422
4.8828,0.0014544,0.00053865,8.0902e-05
5.8594,0.0017921,0.0012308,0.0037444
6.8359,0.001266,0.0020516,0.0035616
7.8125,0.00081616,0.00071811,0.0020239
8.7891,0.00048234,0.0032545,0.0024313
9.7656,0.00071975,0.0022202,0.0036784
10.742,0.0005913,0.00027419,0.0030598
11.719,0.00076289,0.0019566,0.0019221
12.695,0.0007369,0.00080649,0.0015372
13.672,0.0004163,0.00073844,0.00085914
14.648,1.7482e-05,0.00042243,0.002013
15.625,0.00027248,0.00088711,0.0018914
16.602,0.00053061,0.0020121,0.00091837
17.578,0.00033071,0.0018463,0.0010847
18.555,4.5826e-05,0.0010092,0.0017529
19.531,0.00014375,0.00069221,0.0009621
20.508,6.4256e-05,0.0011569,0.0013675
21.484,0.00020081,0.0014175,0.0012993
22.461,0.00030012,0.00051115,0.00081103
23.438,0.00021415,0.0020374,0.00030056
24.414,0.00028152,0.00079435,0.0022647
25.391,0.00012769,0.0017095,0.00099777
26.367,0.00055924,0.0022137,0.0044231
27.344,0.00058324,0.00059118,0.0017889
28.32,0.0003775,0.00094857,0.0025857
29.297,0.0013262,0.0017449,0.0028426
30.273,0.00020464,0.00075814,0.0020601
31.25,0.00044588,0.0031262,0.0010533
32.227,0.00046976,0.0028914,0.0018846
33.203,0.0077273,0.021635,0.064223
34.18,0.00053585,0.0040531,0.0041326
35.156,0.00068409,0.0028358,0.0037231
36.133,0.00034699,0.0015226,0.003304
37.109,0.0020229,0.0018245,0.0012247
38.086,0.0008673,0.00083584,0.0010698
39.063,0.0010444,0.0012298,0.0017761
40.039,0.0010635,0.0024082,0.0034673
41.016,0.0011049,0.00092851,0.002702
41.992,0.0011501,0.0014489,0.0009621
42.969,0.00060505,0.0026975,0.0018497
43.945,0.00075906,0.00077057,0.0026788
44.922,0.00066804,0.00050779,0.0011316
45.898,0.00060041,0.00066896,0.001899
46.875,0.00093268,0.0025826,0.0029872
47.852,0.00045865,0.001451,0.0021926
48.828,0.0002258,0.0013809,0.0021727
49.805,0.00070924,0.0012392,0.00079725
50.781,0.00031756,0.00056274,0.0011424
51.758,0.00039882,0.00086947,0.00058407
52.734,0.00027747,0.00035437,0.0007679
53.711,0.00055651,0.00098668,0.001654
54.688,0.00037841,0.0019489,0.0020465
55.664,0.00059812,0.0010944,0.0018505
56.641,0.00061414,0.001704,0.0012831
57.617,0.00039768,0.0024244,0.000811
58.594,0.00033175,0.0025034,0.0028174
59.57,0.00080013,0.00079091,0.0019222
60.547,0.0012208,0.00072993,0.0019688
61.523,0.0014108,0.0029673,0.0045485
62.5,0.00093209,0.00041852,0.0035711
