freq,X_900us_unloaded_loosemotor_9,Y_900us_unloaded_loosemotor_9,Z_900us_unloaded_loosemotor_9
0,8.038e-16,1.3304e-15,1.2594e-15
0.97656,0.00028033,0.00084297,0.00071655
1.9531,0.00069975,0.0021884,0.0010627
2.9297,0.00031482,0.001357,0.0017342
3.9063,0.00027303,0.001671,0.0014381
4.8828,0.00013918,0.001231,0.0011087
5.8594,0.00047262,0.0013102,0.00065407
6.8359,0.00013618,0.0011845,0.0012013
7.8125,0.00059349,0.0013426,0.0010236
8.7891,0.00026733,0.0013813,0.00026904
9.7656,7.9717e-05,0.00043779,0.00070915
10.742,0.00013525,0.00068841,0.0019693
11.719,0.00060184,0.0037014,0.011344
12.695,0.00035129,0.0013909,0.0024501
13.672,0.0040875,0.0020474,0.0083768
14.648,0.0015382,0.002196,0.0012646
15.625,0.00044649,0.0005226,0.00079135
16.602,0.00069132,0.0029221,0.0011407
17.578,0.00096718,0.0038739,0.00093973
18.555,0.0012231,0.0051824,0.00054185
19.531,0.00011925,0.00044405,0.0021729
20.508,0.00046199,0.0030819,0.00068871
21.484,0.00076382,0.0026341,0.0026235
22.461,0.00056766,0.0021553,0.0021668
23.438,0.00060224,0.0014252,0.0011915
24.414,0.00088787,0.0046636,0.00047589
25.391,0.00085398,0.0038506,0.0012997
26.367,0.0013843,0.0047962,0.0025921
27.344,0.00084274,0.0048891,0.0015603
28.32,0.0017174,0.0064233,0.0020114
29.297,0.0022305,0.010311,0.0025049
30.273,0.0028338,0.011746,0.0049846
31.25,0.0037358,0.016123,0.0060403
32.227,0.010677,0.046962,0.016011
33.203,0.017763,0.074927,0.024312
34.18,0.0049481,0.02095,0.0053964
35.156,0.0026302,0.0093556,0.0060048
36.133,0.0017067,0.0061736,0.0024881
37.109,0.001436,0.0068704,0.0025855
38.086,0.0011332,0.0031579,0.0014853
39.063,0.00066533,0.001456,0.0017706
40.039,0.00046331,0.0024459,0.00079079
41.016,0.00048707,0.0010347,0.00065421
41.992,0.00076481,0.0020481,0.0024082
42.969,0.00066762,0.0012229,0.0015581
43.945,0.00022401,0.0020622,0.0014592
44.922,0.00047072,0.0033268,0.0032872
45.898,0.0011712,0.0082687,0.0040593
46.875,0.0032662,0.026381,0.013173
47.852,0.00054631,0.0039769,0.0019603
48.828,7.9962e-05,0.0029838,0.00054729
49.805,0.00021523,0.00057044,0.001066
50.781,0.00018461,0.001746,0.00038276
51.758,0.00017387,0.0004267,0.00052035
52.734,7.9318e-05,0.001173,0.00068376
53.711,0.0002111,0.0021367,0.0010301
54.688,0.00042325,0.00071662,0.0015138
55.664,0.00069412,0.0017921,0.001031
56.641,0.000416,0.00023846,0.00021829
57.617,0.0007427,0.00096574,0.00087604
58.594,0.00054853,0.00068088,0.00055816
59.57,0.00056966,0.0010747,0.0013181
