freq,X_1700us_unloaded_loosepylon_5,Y_1700us_unloaded_loosepylon_5,Z_1700us_unloaded_loosepylon_5
0,6.99e-16,2.417e-16,2e-15
0.97656,0.00092557,0.001432,0.0004632
1.9531,0.0013597,0.0006405,0.001551
2.9297,0.0021261,0.00024755,0.00074524
3.9063,0.00011821,0.0011927,0.0015783
4.8828,0.0014269,0.0011206,0.00050305
5.8594,0.0010901,0.0012972,0.0012153
6.8359,0.0020655,0.0010865,0.00061564
7.8125,0.00091441,0.0012342,0.0017984
8.7891,0.00089378,0.0020832,0.0017563
9.7656,0.0026402,0.0011213,0.00064861
10.742,0.0027285,0.0010792,0.0017457
11.719,0.0030604,0.00034525,0.00088615
12.695,0.0016193,0.00045792,0.00044986
13.672,0.00034791,0.0010773,0.0010117
14.648,0.0014554,0.00091228,0.00087896
15.625,0.0020914,0.0024597,0.00053252
16.602,0.0021896,0.00030459,0.0010316
17.578,0.0031093,0.0011152,0.0015743
18.555,0.0013514,0.0019384,0.0015342
19.531,0.0029152,0.0011572,0.0012829
20.508,0.0021483,0.0033133,0.0024039
21.484,0.0018147,0.0013317,0.001402
22.461,0.0035448,0.0016369,0.0019912
23.438,0.0039407,0.0023176,0.0043359
24.414,0.01147,0.0039849,0.0097055
25.391,0.043814,0.015161,0.035662
26.367,0.0081125,0.0040241,0.0071274
27.344,0.0035262,0.00049965,0.0024014
28.32,0.00098367,3.7454e-05,0.0016676
29.297,0.00073857,0.0018652,0.00047231
30.273,0.0005947,9.0795e-05,0.00098962
31.25,0.0013212,0.00025195,0.00052687
32.227,0.00055874,0.001125,0.00048062
33.203,0.00081602,0.00032605,0.00032653
34.18,0.00044851,0.0010944,0.00023773
35.156,0.00061357,0.00039017,0.00040738
36.133,0.00050205,0.00074392,0.00034908
37.109,0.0021513,0.0013344,0.0013604
38.086,0.0012242,0.00060119,0.0006122
39.063,0.0011876,0.00052607,0.00045045
40.039,0.0013912,0.00032923,0.0009215
41.016,0.00021538,0.00072368,0.00093673
41.992,0.00058522,0.00057251,0.00018269
42.969,0.00075962,0.00058609,0.0007796
43.945,0.0010328,0.00080788,0.00071775
44.922,0.00093219,0.00028352,0.00048972
45.898,0.0014973,0.0004432,0.00010602
46.875,0.0010285,5.8244e-05,0.00032879
47.852,0.0011308,0.00085218,0.0013609
48.828,0.0010437,0.00020854,0.00046818
49.805,0.00050119,0.00090849,0.0011961
50.781,0.00038436,0.00088705,0.0023368
51.758,0.0011613,0.00040504,0.00061408
52.734,0.00091195,0.00054514,0.0001922
53.711,0.00048147,0.00019844,0.00063088
54.688,0.0013331,0.00079324,0.00034499
55.664,0.00060263,6.856e-05,0.00067464
56.641,0.00029945,0.0012146,0.00053371
57.617,0.00028353,0.001393,0.00077679
58.594,0.00083497,0.00089264,0.00030082
59.57,0.00024636,0.00073825,0.00073825
60.547,0.00032123,0.00016351,0.00082701
61.523,0.00019493,0.00080978,0.00066501
62.5,0.00030516,0.00062305,0.00033464
63.477,0.00066662,0.00061978,0.0006513
64.453,0.00022857,0.0010608,0.00026555
65.43,0.001105,0.00082927,0.0022595
66.406,0.00053093,0.00053531,0.00047154
67.383,0.00035366,0.00080822,0.00052469
68.359,0.00022749,0.00091119,0.00045562
69.336,0.00029513,0.000952,0.00069
70.313,0.00024182,0.0011733,0.0006252
71.289,0.00026014,0.00027877,0.00030115
72.266,0.00023798,0.00029443,0.00079259
73.242,4.9777e-05,0.00034875,0.00047203
74.219,0.00041078,0.00037481,0.00050678
75.195,0.0007186,0.00099553,0.00075142
76.172,0.0012171,0.00040438,0.00075208
77.148,0.00048724,0.00062664,0.00074887
78.125,0.00073812,0.00059141,0.00079642
79.102,0.0004143,0.00075083,0.00031367
80.078,0.0019969,0.0010992,0.00058911
81.055,0.00019996,0.00091159,0.00029967
82.031,0.00071745,0.00012699,0.00045177
83.008,0.00051822,4.88e-05,0.00043935
83.984,0.00038626,0.00031013,0.0011113
84.961,6.6142e-05,0.00019728,0.00035122
85.938,0.00062875,0.00054513,0.0005534
86.914,0.0001781,0.00075528,0.0013075
87.891,0.00017449,0.00044313,0.00024334
88.867,0.00073901,0.00093347,0.00072573
89.844,0.00079462,0.0027417,0.00058151
90.82,0.00073074,0.003616,0.00055567
91.797,0.00033007,0.00088283,0.00017179
92.773,0.00041595,0.00046721,0.00036944
93.75,0.00041751,0.00068755,0.00031911
94.727,5.5355e-05,0.00049742,0.00032772
95.703,0.00025913,0.00043921,9.2388e-05
96.68,3.4137e-05,0.00054026,0.0002344
97.656,0.00036144,0.00089424,0.00026619
98.633,0.00029239,0.0013939,0.00026722
99.609,0.00014957,0.00074747,0.00021488
100.59,0.00035515,0.0014013,0.00032449
101.56,0.00027816,0.0011016,0.0003873
102.54,0.0002322,0.0012114,0.000832
103.52,0.0002088,0.0017613,0.00037135
104.49,0.0004221,0.00028161,0.00070447
105.47,0.00038613,0.0012668,0.0012898
106.45,0.00057302,0.00049089,0.0009755
107.42,0.00027487,0.00078596,0.0006673
108.4,9.5199e-05,0.0010007,0.00078085
109.38,0.00046585,0.00065564,0.00032368
110.35,0.00035818,0.00039957,0.00049475
111.33,0.00072744,0.00096808,0.00043185
112.3,0.00058461,0.00074194,0.00015211
113.28,0.00037376,0.00087671,0.0003113
114.26,0.00020704,0.00072049,0.00014475
115.23,0.00025731,0.00063443,0.0004697
116.21,0.00052339,0.00023345,0.00069057
117.19,0.0002163,0.00075265,0.00071189
118.16,0.00018392,0.00010569,8.9493e-05
119.14,0.00042937,0.00018327,0.00064568
120.12,0.00046044,0.00027477,0.00047982
121.09,0.00052581,0.00040421,0.00064464
122.07,0.00076742,0.0002362,0.00031948
123.05,0.00025003,0.00043748,0.00054391
124.02,0.00064528,0.00028598,0.0006842
125,0.00079871,0.0010241,0.0004727
125.98,0.00093534,0.00091555,0.0010298
126.95,0.0011864,0.0019794,0.00099037
127.93,0.0014596,0.0024107,0.001304
128.91,0.0024816,0.0045724,0.0023035
129.88,0.0049684,0.0095108,0.0037752
130.86,0.011992,0.022945,0.0098402
131.84,0.0028443,0.0056021,0.0019976
132.81,0.0012498,0.0019589,0.001144
133.79,0.001213,0.001789,0.0005043
134.77,0.0008515,0.0016025,0.0013237
135.74,0.00081716,0.00033105,0.0022866
136.72,0.00091286,0.0002618,0.0011173
137.7,0.00024242,0.00034674,0.00090781
138.67,0.00021587,0.00089206,0.00053077
139.65,0.00052721,0.00096223,0.00087057
140.63,0.00052604,0.0011202,0.0005496
141.6,6.6455e-05,0.0012397,0.00041461
142.58,0.00026338,0.0022974,0.00090564
143.55,0.00078178,0.0022057,0.0010373
144.53,0.00060644,0.0030537,0.0010402
145.51,0.00066955,0.0027686,0.001129
146.48,0.00079999,0.0037009,0.0010333
147.46,0.00036998,0.0050343,0.0011733
148.44,0.00038702,0.0062924,0.001543
149.41,0.0007711,0.0053617,0.002203
150.39,0.00040022,0.0076304,0.0025111
151.37,0.00042889,0.0090341,0.0034655
152.34,0.00098627,0.01216,0.0036524
153.32,0.00061806,0.01678,0.0059795
154.3,0.0018644,0.027714,0.0089995
155.27,0.004811,0.081091,0.026846
156.25,0.0060993,0.087474,0.028779
157.23,0.001721,0.028124,0.0095237
158.2,0.0013896,0.016436,0.0049215
159.18,0.0010961,0.011069,0.0035242
160.16,0.00038592,0.008514,0.0029139
