freq,X_800us_loaded_1,Y_800us_loaded_1,Z_800us_loaded_1
0,2.2204e-18,2.0539e-17,2.8317e-15
0.97656,4.4622e-05,0.00071309,0.00065145
1.9531,9.6599e-05,0.00017841,8.6204e-05
2.9297,0.00013331,0.00020633,8.871e-05
3.9063,0.00018102,0.00038669,0.00036474
4.8828,6.3958e-05,0.00050024,0.00019368
5.8594,0.00011429,0.00041496,0.00030308
6.8359,0.00032727,0.00050602,0.00033035
7.8125,0.0001993,0.00016269,0.00020793
8.7891,9.8364e-05,0.00062479,0.00040719
9.7656,0.00021059,0.00064421,0.00031875
10.742,5.1121e-05,0.00030167,0.0013986
11.719,0.00012151,0.00098628,0.00043867
12.695,0.00016928,0.00037536,0.00043987
13.672,0.00020759,0.00074554,0.00041808
14.648,0.00011568,0.00023521,0.00012937
15.625,9.4591e-05,0.00078387,0.0001661
16.602,9.4354e-05,0.0013947,0.00028614
17.578,2.0412e-05,0.0023986,0.00029682
18.555,0.00041158,0.0086905,0.00266
19.531,0.00010393,0.0042315,0.00097068
20.508,7.9558e-05,0.0014982,0.00064972
21.484,9.0608e-05,0.0014119,0.00058496
22.461,0.00023727,0.00084305,0.00048051
23.438,0.000239,0.0010788,0.00069656
24.414,0.00017934,0.00042688,0.00056341
25.391,0.00019844,0.00094371,0.00048936
26.367,0.00030265,0.0013329,0.00071329
27.344,0.00016044,0.00077709,8.5787e-05
28.32,1.9014e-05,0.00035953,0.00025757
29.297,0.00011673,0.0011476,0.00058977
30.273,0.00012981,0.00046191,0.00052231
31.25,0.00042138,0.001423,0.0016142
32.227,8.0411e-05,0.00072708,0.00043968
33.203,7.2977e-05,0.00027291,0.00040744
34.18,0.00030025,0.000786,0.00052883
35.156,0.00038733,0.00063936,0.0002314
36.133,0.00015847,6.0752e-05,0.00069658
37.109,0.00032444,0.00071407,0.0012691
38.086,0.00055614,8.8832e-05,0.002046
39.063,0.00022216,0.00098182,0.00015617
40.039,0.00022063,0.00032777,0.00036913
41.016,0.00029343,0.0011604,0.00052299
41.992,4.5359e-05,0.00067969,0.00087469
42.969,0.00035254,0.00074515,0.00065897
43.945,0.00035747,0.0010043,0.00037472
44.922,0.0007288,0.0037132,0.0007741
45.898,0.00019676,0.00090082,0.0005937
46.875,0.00014321,0.0011411,6.6289e-05
47.852,0.00023408,0.0019935,0.00050935
48.828,0.00017734,0.0020691,0.0006731
49.805,6.4312e-05,0.0022303,0.00083407
50.781,0.00035616,0.0018214,0.001032
51.758,7.6786e-05,0.00081689,0.00058861
52.734,0.00011734,0.00046887,0.0002685
53.711,0.00020309,0.00038344,0.00059514
54.688,0.00013915,0.00039771,0.00022601
55.664,0.00020348,0.00047666,0.00058844
56.641,0.00061218,0.00070244,0.0024508
57.617,1.2999e-05,0.00073462,0.00061711
58.594,0.00022875,0.00045712,0.00058562
59.57,0.00010063,0.00028642,0.00058485
60.547,0.00020621,0.00040701,0.00026083
61.523,0.00014836,0.00060155,0.00036583
62.5,0.00026268,0.00032503,0.0010996
63.477,0.0004043,0.001871,0.0020819
64.453,0.00032222,0.0022909,0.0013027
65.43,5.8405e-05,0.00079731,0.00045395
66.406,0.00023408,0.0010932,0.00031348
67.383,0.00034095,0.0014373,0.00051565
68.359,9.4683e-05,0.00085107,0.0005023
69.336,7.8632e-05,0.0012371,2.8632e-05
70.313,0.0001171,0.0002063,0.00027823
71.289,0.00041545,0.00060172,0.00067339
72.266,2.67e-05,0.00097417,0.0012217
73.242,0.00023694,0.00082745,0.00039199
74.219,0.00080016,0.0011939,0.0030257
75.195,0.0010589,0.0014884,0.0046657
76.172,0.00041033,0.00064221,0.00088812
77.148,0.00027656,0.00075945,0.0011265
78.125,0.00041092,0.0010031,0.0013123
79.102,0.00058967,0.0019704,0.0012564
80.078,0.00042866,0.0024097,0.002521
81.055,0.00031121,0.0013163,0.0017448
82.031,0.00097857,0.0048464,0.00364
83.008,0.0034381,0.013107,0.0089148
83.984,0.00089072,0.003041,0.0025706
84.961,0.00051019,0.00059877,0.0018931
85.938,0.00039357,0.0013942,0.0015484
86.914,0.00053629,0.0015073,0.0012592
87.891,0.00065498,0.00051987,0.0023128
88.867,0.00027192,0.00088401,0.0010741
