freq,X_2300us_loaded_9,Y_2300us_loaded_9,Z_2300us_loaded_9
0,7.9936e-17,5.8953e-16,8.36e-16
0.97656,0.0047551,0.015521,0.0040598
1.9531,0.0029295,0.0020323,0.0042812
2.9297,0.0025937,0.0032059,0.0038148
3.9063,0.00059624,0.0040984,0.0064216
4.8828,0.0031233,0.0012877,0.0063845
5.8594,0.0029458,0.011073,0.00987
6.8359,0.0011297,0.0018644,0.0025002
7.8125,0.0020663,0.0036712,0.00613
8.7891,0.0022949,0.012247,0.0078034
9.7656,0.00051206,0.0039439,0.0075132
10.742,0.00088292,0.0038288,0.0095225
11.719,0.0025854,0.0069914,0.013736
12.695,0.0037389,0.0084553,0.0003553
13.672,0.0053014,0.0017461,0.018671
14.648,0.0013178,0.0030287,0.010284
15.625,0.0028641,0.0071904,0.008038
16.602,0.0021364,0.0033463,0.0067466
17.578,0.0009698,0.0036817,0.0016175
18.555,0.00097485,0.0013024,0.0014729
19.531,0.0022643,0.0036675,0.0058092
20.508,0.00047134,0.003132,0.0068687
21.484,0.00059611,0.0020822,0.0030783
22.461,0.0013189,0.0014196,0.0048032
23.438,0.00083032,0.0031518,0.0049576
24.414,0.00095678,0.0014029,0.0061847
25.391,0.00063805,0.0018214,0.0039459
26.367,0.00044886,0.0011833,0.0020547
27.344,0.00095581,0.0039757,0.0027492
28.32,0.0006471,0.00059001,0.0047068
29.297,0.0019119,0.0033012,0.0013609
30.273,0.00046269,0.004811,0.0047844
31.25,0.0019291,0.0013632,0.0014809
32.227,0.0012086,0.0031186,0.0012983
33.203,0.00082387,0.0024368,0.0065574
34.18,0.0027443,0.0048752,0.0022292
35.156,0.0018203,0.0023633,0.0028251
36.133,0.0017375,0.0022487,0.0050531
37.109,0.0028553,0.0030534,0.0032597
38.086,0.0014734,0.0030213,0.0079492
39.063,0.0010085,0.0011757,0.0012971
40.039,0.00014182,0.0018357,0.0016857
41.016,0.0012707,0.0028525,0.0049686
41.992,0.00040193,0.0011686,0.0021915
42.969,0.00022355,0.00019484,0.0036373
43.945,0.00078769,0.0043596,0.0036473
44.922,0.0008575,0.00071022,0.0018657
45.898,0.00048074,0.0023829,0.0016642
46.875,0.0011378,0.00067568,0.005015
47.852,0.0014199,0.002088,0.0030625
48.828,0.001112,0.0019724,0.0039642
49.805,0.0014869,0.0039228,0.0025734
50.781,0.00055645,0.00049191,0.0012344
51.758,0.0006592,0.0015332,0.00030591
52.734,0.00013612,0.00094822,0.0016313
53.711,0.00092144,0.0032299,0.0026325
54.688,0.0019584,0.001403,0.00094925
55.664,0.00012337,0.0016908,0.0031603
56.641,0.0015245,0.00028156,0.0020441
57.617,0.00056516,0.0013111,0.0023222
58.594,0.0018396,0.001911,0.0015743
59.57,0.00051301,0.0049162,0.0042501
60.547,0.00087257,0.00032452,0.002867
61.523,0.0012587,0.0027705,0.0028362
62.5,0.00048638,0.0019402,0.0053576
63.477,0.00094716,0.0040422,0.0037163
64.453,0.00053013,0.0023264,0.0029664
65.43,0.0013074,0.002484,0.0020521
66.406,0.00063513,0.0013292,0.0025005
67.383,0.00011895,0.0016983,0.0044347
68.359,0.001464,0.0015595,0.0048718
69.336,0.0013494,0.00098453,0.0013184
