freq,X_2300us_loaded_1,Y_2300us_loaded_1,Z_2300us_loaded_1
0,5.3441e-16,1.1235e-16,1.2707e-15
0.97656,0.0063687,0.019277,0.0030068
1.9531,0.007473,0.013888,0.0096491
2.9297,0.0010103,0.01113,0.0032859
3.9063,0.0071963,0.011869,0.0067807
4.8828,0.0031737,0.0072599,0.0090301
5.8594,0.0025594,0.00037743,0.0075465
6.8359,0.0034377,0.0060178,0.01082
7.8125,0.003746,0.0094434,0.0022862
8.7891,0.0042539,0.0043589,0.0046938
9.7656,0.00044397,0.0041529,0.0044284
10.742,0.00027532,0.0045535,0.0020314
11.719,0.0052302,0.0036472,0.017513
12.695,0.006038,0.00983,0.018532
13.672,0.0092858,0.0030501,0.020942
14.648,0.0014052,0.0031454,0.0043542
15.625,0.0019995,0.0093222,0.00011964
16.602,0.00090605,0.0018756,0.0049282
17.578,0.001662,0.0037295,0.0062187
18.555,0.0013169,0.0038647,0.0037347
19.531,0.001653,0.0092849,0.0035025
20.508,0.0042817,0.0032355,0.010355
21.484,0.0012383,0.0042629,0.0036535
22.461,0.0021395,0.0065476,0.0081974
23.438,0.0011596,0.0059508,0.0068212
24.414,0.0023666,0.0038689,0.0006049
25.391,0.0018734,0.0057672,0.0061336
26.367,0.0014422,0.0020036,0.0032138
27.344,0.00078693,0.0012228,0.004382
28.32,0.00247,0.0052055,0.00097794
29.297,0.00075995,0.0050929,0.0017131
30.273,0.0027639,0.0036979,0.002163
31.25,0.0017007,0.0031157,0.0027208
32.227,0.0023264,0.0046306,0.0048228
33.203,0.0011484,0.0041372,0.0035879
34.18,0.0013187,0.0042877,0.0029244
35.156,0.0016016,0.0028676,0.0093186
36.133,0.0021429,0.0054629,0.0026123
37.109,0.0038001,0.0021067,0.0034283
38.086,0.0013228,0.0049971,0.0048314
39.063,0.0014128,0.0028048,0.0058668
40.039,0.0004082,0.0041041,0.0020247
41.016,0.002435,0.0014678,0.0044452
41.992,0.00074794,0.0050037,0.0030134
42.969,0.00080896,0.00073285,0.0022695
43.945,0.00069683,0.0019259,0.0018239
44.922,0.00070698,0.001693,0.0014535
45.898,0.0013378,0.0028338,0.0050599
46.875,0.00056827,0.001824,0.00092452
47.852,0.00018227,0.003023,0.0027335
48.828,0.00084233,0.00097272,0.0035474
49.805,0.0019429,0.0032435,0.0043404
50.781,0.0010842,0.0041066,0.0034962
51.758,0.00081991,0.0011227,0.0027966
52.734,0.00067892,0.0024336,0.0037881
53.711,0.00084968,0.0029689,0.0056721
54.688,0.00087547,0.0039598,0.0024131
55.664,0.0012755,0.00042662,0.0010855
56.641,0.0003867,0.0025842,0.0017511
57.617,0.00045595,9.499e-05,0.0023774
58.594,0.00072118,0.0023047,0.0027768
59.57,0.00068846,0.00044599,0.0053426
60.547,0.00074852,0.00045315,0.00083408
61.523,0.0013799,0.0028451,0.0029523
62.5,0.0011576,0.0023474,0.0024772
63.477,0.00043056,0.00088943,0.0011517
64.453,0.0016925,0.00074888,0.0015875
65.43,0.0019127,0.0026551,0.00048332
66.406,0.0012097,0.0025937,0.0036895
67.383,0.0012383,0.0016383,0.0021354
68.359,0.0016165,0.0031161,0.0039392
69.336,0.0010192,0.0022582,0.0022567
70.313,0.0015977,0.0028381,0.004513
71.289,0.0012756,0.0012281,0.005939
72.266,0.0013892,0.0029659,0.0059284
73.242,0.0010669,0.0026053,0.0049466
74.219,0.00086419,0.00048926,0.0029745
75.195,0.0016774,0.0019694,0.0045167
76.172,0.00053386,0.0029487,0.0069624
77.148,0.0010008,0.0012681,0.0012956
78.125,0.0024712,0.0010915,0.0031803
79.102,0.0015366,0.00061532,0.0046063
80.078,0.001467,0.0020664,0.0059651
81.055,0.0023344,0.0028182,0.0044988
82.031,0.0015941,0.0037574,0.005593
83.008,0.001352,0.003804,0.00077471
83.984,0.00066215,0.0016034,0.0028328
84.961,0.00095247,0.0017057,0.0015622
85.938,0.0013982,0.00095079,0.0037166
86.914,0.0029172,0.0018141,0.0049166
87.891,0.00042087,0.0013008,0.00014159
88.867,0.0010202,0.00099746,0.0035319
89.844,0.0012403,0.0034774,0.0031343
90.82,0.0011599,0.0021413,0.0027464
91.797,0.0005273,0.00042129,0.002977
92.773,0.0010569,0.0044627,0.005813
93.75,0.0033752,0.0019715,0.0079776
94.727,0.0033366,0.0027701,0.0037819
95.703,0.00097527,0.00071868,0.0028355
96.68,0.0026202,0.0010162,0.0056999
97.656,0.0061422,0.0029597,0.003231
98.633,0.0083191,0.0046991,0.0068731
99.609,0.010977,0.0033074,0.0010667
100.59,0.062784,0.04741,0.02211
101.56,0.022458,0.014203,0.0064263
102.54,0.013186,0.0078393,0.013262
103.52,0.0071885,0.0028819,0.0028807
104.49,0.0054686,0.0044193,0.0059414
105.47,0.0032537,0.0036534,0.0025993
106.45,0.0036979,0.0039475,0.0028506
107.42,0.0034591,0.0022589,0.0052713
108.4,0.0037425,0.0033778,0.010246
109.38,0.0020919,0.0035559,0.0015205
110.35,0.0010905,0.0018336,0.002311
111.33,0.0021311,0.0040364,0.0025382
112.3,0.0029811,0.0052606,0.0026823
113.28,0.0013301,0.0016434,0.0033551
114.26,0.0014121,0.00059738,0.0034017
115.23,0.0020862,0.00058739,0.002214
116.21,0.0021589,0.0015521,0.0019068
117.19,0.0016753,0.0010008,0.0041344
118.16,0.00035696,0.00223,0.0014333
119.14,0.0012541,0.0016719,0.003894
120.12,0.0015532,0.0025047,0.0018445
121.09,0.0030104,0.001279,0.0050728
122.07,0.0033231,0.0017471,0.0056233
123.05,0.00057549,0.0021767,0.0046826
124.02,0.0014111,0.0013355,0.0028801
125,0.0012379,0.0022477,0.0030934
