freq,X_2300us_unloaded_loosepylon_2,Y_2300us_unloaded_loosepylon_2,Z_2300us_unloaded_loosepylon_2
0,1.0273e-15,5.8176e-17,5.4023e-16
0.97656,0.00062433,0.00068543,0.00091413
1.9531,0.00064541,0.00044806,0.00034461
2.9297,0.00050455,0.00043405,0.00056645
3.9063,0.00011366,0.00034707,0.00047713
4.8828,0.00042817,0.00023989,0.00053601
5.8594,0.00047854,0.0010684,0.00062581
6.8359,0.00033099,0.00017861,0.0011444
7.8125,0.00035526,0.0011591,0.00062698
8.7891,0.00014487,0.00088338,0.00039726
9.7656,0.000575,0.00095695,0.00053717
10.742,0.00028485,0.0012468,0.001653
11.719,0.00038226,0.00064038,0.00046254
12.695,0.00056241,0.0017657,0.0013378
13.672,0.00026578,0.00086317,0.00066183
14.648,0.00054313,0.00041581,0.00054152
15.625,0.00040746,0.00064787,0.00064141
16.602,0.00056604,0.0029652,0.001885
17.578,0.0010225,0.00063298,0.0013586
18.555,0.00039682,0.0011798,0.0012694
19.531,0.0006612,0.0010462,0.0018839
20.508,0.00080612,0.0016797,0.0013796
21.484,0.0025387,0.0004504,0.0033352
22.461,0.0018879,0.0014525,0.0033965
23.438,0.0010452,0.0013828,0.002149
24.414,0.00096939,0.00015623,0.00095999
25.391,0.00067305,0.0001644,0.00042756
26.367,0.0010623,0.00078202,0.0013374
27.344,0.00033491,0.00062349,0.0010073
28.32,0.00046676,0.00046439,0.0011337
29.297,0.00053303,0.0019144,0.0022005
30.273,0.00074604,0.001188,0.00082582
31.25,0.0010374,0.001622,0.0016134
32.227,0.0036053,0.0033219,0.005223
33.203,0.0065673,0.005706,0.010745
34.18,0.0019427,0.0027166,0.0016593
35.156,0.00038831,0.0011255,0.00086142
36.133,0.00067488,0.0012135,0.00099633
37.109,0.00042489,0.00077311,0.00079105
38.086,0.0003425,0.0006316,0.0010076
39.063,0.00020809,0.00038783,0.00023686
40.039,0.00020089,0.00064526,0.00091189
41.016,0.00024505,0.0002275,0.0006271
41.992,0.00021702,9.8534e-05,0.0012315
42.969,0.00097952,0.0010346,0.0016281
43.945,0.0004048,0.00098749,0.0018419
44.922,0.00061588,0.00028682,0.00096203
45.898,8.1096e-05,0.0002757,0.00027209
46.875,0.00021958,0.00066166,0.00080026
47.852,0.00024806,0.00025684,0.0018859
48.828,0.00073607,0.0001607,0.00047401
49.805,0.00051902,0.00035252,0.00024237
50.781,0.00029009,0.00028346,0.00077499
51.758,0.00013741,0.00025678,0.00019263
52.734,0.00015637,0.00013742,0.0013964
53.711,0.00029069,0.00013702,0.00065865
54.688,0.00062752,0.0003559,0.00063645
55.664,0.00067606,0.00056267,0.0015162
56.641,0.00054926,0.00076881,0.0010971
57.617,0.00017554,0.00084923,0.00043087
58.594,0.00034888,0.00063697,0.00090346
59.57,0.00026149,0.00038309,0.00038981
60.547,0.00024663,0.00053736,0.00022589
61.523,0.00038617,0.00010678,0.00053675
62.5,0.00043485,0.00069329,0.0004278
63.477,0.00033491,0.00060485,0.00061659
64.453,0.00050926,0.00041283,0.0001922
65.43,0.00045222,0.0018916,0.0019916
66.406,0.00093683,0.0013848,0.0013133
67.383,8.6599e-05,0.0011353,0.00097044
68.359,0.00045906,0.00076605,0.00068309
69.336,0.00034007,7.3288e-05,0.00080114
70.313,0.00038999,0.00043802,0.00069724
71.289,0.00015323,0.00027991,0.00011616
72.266,0.00024482,0.00045689,0.00069769
73.242,0.00048427,0.00046577,0.0013364
74.219,8.4079e-05,0.00088813,0.00043184
75.195,0.00062773,0.00021105,0.001141
76.172,4.4624e-05,8.7891e-05,0.00038005
77.148,0.00025279,0.00067416,0.00066348
78.125,0.00019182,0.00031306,0.000701
79.102,0.00014036,0.00033203,0.00063711
80.078,0.00043752,0.0004207,0.00074148
81.055,0.00079001,0.0015754,0.0012454
82.031,0.00090031,0.0004673,0.0005276
83.008,0.00035235,0.001249,0.00081248
83.984,0.00018613,0.0010843,0.00029915
84.961,0.00043694,0.00034992,0.00035215
85.938,0.00045821,0.00025323,0.00073296
