freq,X_2300us_unloaded_loosemotor_8,Y_2300us_unloaded_loosemotor_8,Z_2300us_unloaded_loosemotor_8
0,4.3576e-16,5.1753e-16,6.4415e-16
0.97656,0.0014935,0.00085724,0.00071802
1.9531,0.00037115,0.00079827,0.0016173
2.9297,0.00044695,0.000293,0.0015577
3.9063,0.00057645,0.0004431,0.00090596
4.8828,0.00067203,0.0011047,0.0013723
5.8594,0.00040381,0.00040586,0.00086603
6.8359,0.00040544,0.00039939,0.0008603
7.8125,0.00069398,0.0010713,0.00025322
8.7891,0.00034958,0.00098417,0.0011652
9.7656,3.0008e-05,0.0017757,0.0020317
10.742,0.00050252,0.00017,0.00078789
11.719,0.00049541,0.0012218,0.00076806
12.695,0.00088128,0.00095982,0.00064184
13.672,0.00041693,0.00092166,0.00051433
14.648,0.0002779,0.0015875,0.0015923
15.625,0.00012723,0.00038073,0.0013058
16.602,0.00057838,0.00098001,0.00025895
17.578,0.00083809,0.00060354,0.00097241
18.555,0.00018008,0.0007825,0.0024122
19.531,0.0011502,0.0016161,0.00077592
20.508,0.0011931,0.00049938,0.0019982
21.484,0.00028619,0.00077492,0.00093153
22.461,0.00084644,0.0005226,0.004961
23.438,0.00046276,0.0023271,0.0017802
24.414,0.0029991,0.0042044,0.010707
25.391,0.0011219,0.0018523,0.0018182
26.367,0.00090785,0.0015233,0.0029058
27.344,0.00062777,0.00068995,0.0024097
28.32,0.00082118,0.00048821,0.0028582
29.297,0.00038315,0.00074121,0.002012
30.273,0.00026243,0.00099696,0.001259
31.25,0.0003568,2.415e-05,0.0012618
32.227,0.00042528,0.00082594,0.0010664
33.203,0.0011511,0.0025175,0.0021467
34.18,0.00028895,0.00059831,0.0021172
35.156,0.00022193,0.0012889,0.0021157
36.133,0.00069102,0.00084118,0.00015333
37.109,0.00018344,0.00090265,0.0010504
38.086,0.00047306,0.00063394,0.00071326
39.063,0.00011181,0.0018638,0.0007533
40.039,0.00053482,0.0011956,0.00082655
41.016,0.00017584,0.00061899,0.00041746
41.992,0.00039043,0.0014041,0.0010499
42.969,0.00074639,0.00087956,0.0008985
43.945,0.0003836,0.0015377,0.0010363
44.922,0.0008375,0.001305,0.0019198
45.898,0.0015484,0.00065068,0.0018331
46.875,0.0011993,0.0017703,0.0014571
47.852,0.0091889,0.0072904,0.0092491
48.828,0.0029637,0.0040405,0.0024111
49.805,0.001782,0.0026214,0.0016731
50.781,0.0014964,0.00074241,0.0019373
51.758,0.00065616,0.00057864,0.0015752
52.734,0.001043,0.00039697,0.0016862
53.711,0.00025762,0.00067709,0.0011028
54.688,0.00074653,0.0012758,0.0013117
55.664,0.0010332,0.0015264,0.0011985
56.641,0.00053318,0.00080431,0.0012338
57.617,0.00074153,0.0011946,0.0033389
58.594,0.00058994,0.00081691,0.00091068
59.57,0.00047597,0.00066721,0.0012983
60.547,0.00038249,0.00036598,0.0011552
61.523,0.00057717,0.00044811,0.0015925
62.5,0.00033047,0.00084208,0.0010665
63.477,0.00012121,0.00098811,0.00041871
64.453,0.00038289,0.0010292,0.0015398
65.43,0.00024663,0.0007407,0.0010318
66.406,0.0001995,0.00088977,0.00079432
67.383,0.00013544,0.00017815,0.0008138
68.359,0.00015118,0.00087445,0.0013282
69.336,0.00062012,0.00063336,0.00058789
70.313,0.00073141,0.0010555,0.00075288
71.289,0.00045431,0.00026752,0.0010941
72.266,0.00060395,0.0013599,0.00085433
73.242,0.00016204,0.00050879,0.00064769
74.219,0.00055117,0.00090713,0.00091341
75.195,0.00030657,0.0011379,0.00035121
76.172,0.00014812,0.0008035,0.0005311
77.148,0.00048167,0.00098544,0.00061298
78.125,0.0010785,0.0020751,0.00033099
79.102,0.0013725,0.0021389,0.00099819
80.078,0.0018805,0.0023477,0.001017
81.055,0.0070292,0.0093672,0.0046198
82.031,0.0036004,0.0062044,0.0020503
83.008,0.0023712,0.0024347,0.0017898
83.984,0.001031,0.0019896,0.00059063
84.961,0.00083188,0.0010884,0.00082684
85.938,0.00057035,0.0010773,0.00088355
86.914,0.00095752,0.00034896,0.0006415
87.891,0.00066212,0.00049595,0.00048393
88.867,0.00034482,0.00051495,0.0010076
89.844,0.00027246,0.00040915,0.00040427
90.82,0.00057735,0.00066956,0.00096071
91.797,0.00068971,0.00031762,0.00077284
92.773,0.00053139,0.00064384,0.00061124
93.75,0.00042244,0.00062283,0.00088161
94.727,0.00045788,0.00073461,0.0012584
95.703,0.0003649,0.00034595,0.0015969
96.68,0.00064739,0.0014538,0.0011833
97.656,0.00085314,0.00090211,0.0011463
98.633,0.00077025,0.0010927,0.00027849
99.609,0.00014396,0.00035139,0.0005273
100.59,0.00045717,0.00026327,0.00095007
101.56,0.00055948,0.00029827,0.00095178
102.54,0.00088758,0.0010231,0.00089741
103.52,0.00056655,0.0013223,0.00073656
104.49,0.00023869,0.00042531,0.0010696
105.47,0.00028841,0.00034092,0.0022743
106.45,0.00096167,0.0018094,0.0015411
107.42,0.0016214,0.0022196,0.0019335
108.4,0.00095921,0.0016628,0.0016214
109.38,0.0009956,0.00084424,0.00029417
110.35,0.0024427,0.0030391,0.0026404
111.33,0.0034334,0.0045321,0.0035607
112.3,0.004431,0.0062682,0.0041186
113.28,0.0056066,0.0080931,0.0059413
114.26,0.018422,0.026095,0.019442
115.23,0.018799,0.026749,0.019844
116.21,0.008015,0.010577,0.0087743
117.19,0.0027262,0.0048275,0.003226
118.16,0.0022549,0.0031472,0.0028061
119.14,0.0025365,0.0032531,0.0018898
120.12,0.0025336,0.0035255,0.0023028
121.09,0.0014371,0.0016308,0.0016537
122.07,0.00063213,0.00097847,0.0014111
123.05,0.00059472,0.00093844,0.00067046
124.02,0.00091329,0.001693,0.0013939
125,0.00067688,0.0012753,0.00090469
125.98,0.00044497,0.0010893,0.00024534
126.95,0.00034883,0.00069626,0.00012969
127.93,0.00042985,0.00047424,0.00053003
128.91,0.00013756,0.00079202,0.002377
129.88,0.0011252,0.0017826,0.0042856
130.86,0.00064894,0.00084245,0.0017137
131.84,0.00029817,0.00037619,0.00031903
132.81,0.00014949,0.00090198,0.001043
133.79,0.00030008,0.00071803,0.0012901
134.77,0.00017026,0.00076606,0.0014157
135.74,0.00025312,0.00077682,0.0012975
136.72,0.00027009,0.0013533,0.0019991
137.7,0.00033159,0.00048754,0.0034989
138.67,2.3272e-05,0.0023959,0.0058381
139.65,0.0002094,0.00062244,0.0012282
140.63,0.00028454,0.00082448,0.0022762
141.6,9.1811e-05,0.0013355,0.0021182
142.58,0.00046459,0.0010379,0.00029905
143.55,0.00065006,0.00057108,0.00043754
144.53,0.00025276,0.0014815,0.0017613
145.51,0.00034364,0.0016825,0.0015052
146.48,0.0005199,0.0019021,0.001171
147.46,0.00059655,0.0013619,0.0011075
148.44,0.0004578,0.0014381,0.00082052
149.41,0.00054718,0.0012766,0.0015672
150.39,0.00038597,0.0020716,0.0023715
151.37,0.00066543,0.0023465,0.0027246
152.34,0.00053751,0.0014425,0.0019203
153.32,0.00051108,0.0016232,0.0028134
154.3,0.00080165,0.0029697,0.0032241
155.27,0.00081933,0.0034198,0.0039968
156.25,0.0010379,0.0026014,0.0032656
157.23,0.00056963,0.0020057,0.0017145
158.2,0.00095091,0.0040349,0.0044665
159.18,0.0016806,0.0063394,0.0074936
160.16,0.0018274,0.0075551,0.0085273
161.13,0.0012867,0.0048331,0.0053175
162.11,0.004504,0.019344,0.021952
163.09,0.010349,0.045748,0.050264
164.06,0.0030706,0.012894,0.014497
165.04,0.00073193,0.0046097,0.0041888
166.02,0.00063143,0.0017406,0.0011272
166.99,0.0008107,0.0027944,0.0029077
167.97,0.00059807,0.0029884,0.0030668
168.95,0.00019587,0.0021242,0.0014678
169.92,0.00025833,0.00078054,0.0006061
170.9,0.00030916,0.00081515,0.00083793
171.88,0.00022882,0.0010838,0.0015118
172.85,0.00011315,0.0016698,0.00025908
173.83,3.6273e-05,0.00067414,0.0010749
174.8,0.00032287,0.0012569,0.0012519
175.78,0.00025538,0.00080361,0.0010925
176.76,5.9153e-05,0.00046262,0.00050138
177.73,7.5591e-05,0.00034577,0.00048902
178.71,0.00023694,0.00070498,0.0010693
179.69,0.00014835,0.0011122,0.0010965
180.66,0.00015813,0.00019511,0.00083202
181.64,0.00056346,0.00061613,0.00050849
182.62,0.00043069,0.0010591,0.0017797
183.59,0.00032115,0.001268,0.0015713
184.57,0.00035524,0.0015105,0.00082175
185.55,7.7432e-05,0.00045958,0.00067756
186.52,0.00025702,0.003374,0.0018137
187.5,0.0005823,0.00088606,0.0029112
188.48,0.00031698,0.00050178,0.0018538
189.45,0.00035513,0.0010989,0.0010396
190.43,0.00038912,0.0010477,0.00088312
191.41,0.00033087,0.00068245,0.00026005
192.38,0.00033878,0.00096655,0.00065863
193.36,0.00010486,0.00074295,0.00028197
194.34,0.000337,0.00017494,5.2931e-05
195.31,0.00031113,0.00022985,0.00042989
196.29,0.00062392,0.0014859,0.0025004
197.27,0.00029343,0.0007676,0.00057655
198.24,0.00023183,0.00039694,7.9122e-05
199.22,0.00026649,0.00043322,0.00023252
200.2,0.0003158,0.0003182,0.00049455
201.17,7.6061e-05,0.00051268,0.00031499
202.15,0.00020177,0.00074673,0.00017034
203.13,0.00018844,0.00074932,0.00039571
204.1,0.00042279,0.00058475,0.00069901
205.08,0.0002789,0.00093261,0.00022268
206.05,0.00016676,0.0003797,0.00017194
207.03,0.00014548,0.00049876,0.0011219
208.01,0.00043053,0.0011194,0.00085207
208.98,0.00051457,0.0005101,0.0010237
209.96,0.00043801,0.00020052,0.0036693
210.94,0.0015242,0.0020214,0.011778
211.91,0.00014128,0.0006193,0.0024118
212.89,5.5948e-05,0.00050287,0.0011849
213.87,0.00034639,0.00051319,0.00090867
214.84,0.00031809,0.00024617,0.0010022
215.82,0.0002313,0.00047679,0.0013579
216.8,0.00026363,0.00066939,0.00088469
217.77,0.00013355,0.00016833,0.00064916
218.75,0.00016652,0.0003659,0.00025689
219.73,0.00015488,0.00026846,0.00023201
220.7,0.00018354,0.00014225,0.00016418
221.68,0.00032531,0.00057487,0.00069221
222.66,0.00014413,0.00024029,0.0010861
223.63,0.00012864,0.00046667,0.0008731
224.61,0.00033525,0.00033802,0.00053365
225.59,7.4244e-05,0.00044078,0.0007726
226.56,0.0002616,0.00055339,0.0012293
227.54,0.00022042,0.00031711,0.0012621
228.52,9.8552e-05,0.00037539,0.00088675
229.49,0.00038584,0.0010403,0.0016702
230.47,0.00026951,0.00085404,0.00052355
231.45,2.0098e-05,0.0001725,0.00038185
232.42,0.00021148,0.00015875,9.6927e-05
233.4,0.00048492,0.0011408,0.00056026
234.38,0.00024876,0.00068081,0.0010079
235.35,0.00052442,0.0017235,0.00092256
236.33,0.00029888,0.00070526,0.00013049
237.3,0.00031341,0.00039503,0.00040498
238.28,0.00060344,0.00034809,0.00045826
239.26,0.00014087,0.00056755,0.00043995
240.23,4.3802e-05,0.00020751,0.00081477
241.21,0.00027103,0.00045324,0.00085939
242.19,0.00063555,0.00079718,0.0011625
243.16,0.0011864,0.0016689,0.0020329
244.14,0.0016262,0.0036546,0.0080575
245.12,0.00063175,0.00034656,0.00089438
246.09,0.00064969,0.0004548,0.0013959
247.07,0.00027864,0.0006364,0.00099399
