freq,X_800us_loaded_loosepylon_7,Y_800us_loaded_loosepylon_7,Z_800us_loaded_loosepylon_7
0,6.336e-16,1.223e-15,2.7767e-15
0.97656,9.6556e-05,0.0021262,0.00051923
1.9531,9.3262e-05,0.0024608,0.00054216
2.9297,0.00048622,0.0045358,0.0011097
3.9063,0.0006512,0.0048346,0.0010206
4.8828,0.0010844,0.012966,0.0025152
5.8594,0.0012859,0.015899,0.0033955
6.8359,0.00093169,0.019827,0.0039815
7.8125,0.00054401,0.0064616,0.0014086
8.7891,0.0002576,0.0025075,0.00082606
9.7656,0.0014721,0.00066541,0.0014423
10.742,0.0012587,0.00032383,0.0004025
11.719,0.00064221,0.0015592,0.0016546
12.695,0.00087407,0.00095524,0.0010285
13.672,0.001415,0.0015529,0.00032726
14.648,0.00085846,0.0030181,0.0018761
15.625,0.0002394,0.0022918,0.00017572
16.602,0.00012159,0.0015201,0.00078342
17.578,0.00022135,0.0004485,0.0004334
18.555,0.00044513,0.0015948,0.00023048
19.531,5.9855e-05,0.0018237,0.0016575
20.508,0.0027226,0.030825,0.0062277
21.484,0.00031007,0.0041696,0.00021453
22.461,0.00054582,0.0031773,0.0015933
23.438,0.00048155,0.003864,0.00076165
24.414,0.00038626,0.0028748,0.0010193
25.391,0.00017073,0.0035651,0.0016755
26.367,0.00020084,0.0039529,0.0021107
27.344,3.0026e-05,0.0028583,0.0013121
28.32,0.00019366,0.0015626,0.00040692
29.297,0.0001147,0.00081579,0.00038523
30.273,0.00045495,0.0031666,0.0012786
31.25,0.00033517,0.0016099,0.0010713
32.227,0.0003953,0.00075884,0.001392
33.203,0.00078886,0.0015158,0.00055393
34.18,0.0010981,0.0035653,0.0026328
35.156,0.00058909,0.0016798,0.0028464
36.133,0.00044096,0.0014613,0.0024617
37.109,0.00010986,0.0011933,0.0010719
38.086,0.00020828,0.0019607,0.00048883
39.063,0.0003368,0.001576,0.00037566
40.039,0.00033406,0.0012952,0.00064306
41.016,0.0014099,0.0078887,0.0019831
41.992,0.000157,0.00090555,0.0013301
42.969,0.00022847,0.0045584,0.0021818
43.945,7.7515e-05,0.0018106,0.0010914
44.922,0.00018256,0.00066343,0.00057335
45.898,0.00015404,0.0017278,0.00086024
46.875,0.0002622,0.0014746,0.00063694
47.852,0.0003582,0.003242,0.001154
48.828,0.0003784,0.00079738,0.00034886
49.805,0.00037075,0.0013226,0.00031516
50.781,7.0863e-05,0.0009372,0.0001156
51.758,0.0004641,0.0020817,0.00022752
52.734,0.00057343,0.0010568,0.00092255
53.711,0.00014584,0.0009403,0.00015196
54.688,0.00016161,0.00038561,0.00096711
55.664,0.00034986,0.00084655,0.00063737
56.641,0.00048675,0.0015649,0.00096525
57.617,0.00027335,0.0010326,0.00081009
58.594,0.00047334,0.0010156,0.00065985
59.57,6.8045e-05,0.00082292,0.00019523
60.547,0.00041727,0.00046089,0.00058119
61.523,0.0019826,0.001177,0.0032417
62.5,0.00027324,0.00068855,0.00031117
63.477,0.00039335,0.0010798,0.00061492
64.453,0.00058639,0.0015307,0.00048414
65.43,0.00052529,0.00045534,0.00068056
66.406,0.00041049,0.001117,0.00057033
67.383,0.00032684,0.0015876,0.00042174
68.359,0.00058901,0.002626,0.00030526
69.336,0.00049648,0.0020834,0.0007898
70.313,0.00017509,0.0011875,0.0011587
71.289,6.8184e-05,0.0013947,0.00025078
72.266,0.00010305,0.00040078,0.00081242
73.242,0.00015853,0.00030025,0.0005202
74.219,0.00021911,0.0006913,0.00039223
75.195,8.3049e-05,0.0030339,0.0021828
76.172,0.00015262,0.0010585,0.0015123
77.148,8.7503e-05,0.0018426,0.00085375
78.125,0.00054057,0.00060761,0.00085237
79.102,0.00034415,0.0021888,0.00090046
80.078,0.00072749,0.003534,0.00068501
81.055,0.0011198,0.0017553,0.0012375
82.031,0.0022186,0.0016093,0.0014865
83.008,0.0005934,0.0023425,0.0013988
83.984,0.00080863,0.0011353,0.0017398
84.961,0.00082385,0.0016604,0.0015777
85.938,0.0011032,0.0011858,0.0020259
86.914,0.00062442,0.0021594,0.00038312
87.891,0.0001663,0.0011701,0.0010843
88.867,0.00036882,0.0039657,0.0045539
89.844,8.9485e-05,0.0018615,0.001407
90.82,0.0011572,0.001067,0.0057726
91.797,0.00028753,0.00020995,0.0012647
92.773,0.00033723,0.00060845,0.00064334
93.75,0.00054792,0.0013183,0.0050366
94.727,0.00038327,0.00071127,0.001049
