freq,X_1700us_loaded_loosepylon_0,Y_1700us_loaded_loosepylon_0,Z_1700us_loaded_loosepylon_0
0,5.5522e-16,1.9956e-16,1.3691e-15
0.97656,0.0014682,0.012589,0.0088213
1.9531,0.0015199,0.020833,0.0099099
2.9297,0.0039403,0.0084415,0.0044282
3.9063,0.0025681,0.0072252,0.005862
4.8828,0.0008908,0.01406,0.0080478
5.8594,0.0049178,0.0040376,0.0036744
6.8359,0.003109,0.015377,0.0053708
7.8125,0.0030296,0.0076431,0.009106
8.7891,0.0014606,0.0023571,0.0074597
9.7656,0.0025051,0.0018007,0.0083864
10.742,0.0034998,0.0059934,0.018054
11.719,0.0038418,0.021055,0.0061767
12.695,0.002519,0.0056282,0.0062056
13.672,0.0017555,0.015,0.011661
14.648,0.0026619,0.0026498,0.0080008
15.625,0.002045,0.011511,0.0064028
16.602,0.0038851,0.0027337,0.011839
17.578,0.0050748,0.0097445,0.0082942
18.555,0.0020803,0.0077151,0.0010528
19.531,0.0015928,0.0041441,0.0038418
20.508,0.0018427,0.0064162,0.0020408
21.484,0.0029429,0.0036733,0.0044253
22.461,0.0010825,0.0012121,0.0030692
23.438,0.0027563,0.0017231,0.0033604
24.414,0.0012561,0.0029389,0.0023446
25.391,0.002535,0.0063211,0.0060284
26.367,0.00031769,0.003874,0.0021139
27.344,0.00086084,0.012952,0.005261
28.32,0.00099929,0.0026061,0.0012346
29.297,0.0017779,0.0097606,0.0033499
30.273,0.00041994,0.0099932,0.0041255
31.25,0.0060783,0.057443,0.01988
32.227,0.0018779,0.0064943,0.0039613
33.203,0.0019265,0.015967,0.009607
34.18,0.0011445,0.0065427,0.0014299
35.156,0.0013435,0.0061382,0.0044659
36.133,8.1744e-05,0.0036365,0.0010269
37.109,0.00068858,0.0023619,0.0016757
38.086,0.00037796,0.0030677,0.0018726
39.063,0.0015355,0.0051797,0.0027932
40.039,0.0016354,0.0035386,0.0020922
41.016,0.0018567,0.003714,0.0031496
41.992,0.0010871,0.0010799,0.00092261
42.969,0.0010831,0.0038578,0.001637
43.945,0.0014323,0.0037871,0.00016624
44.922,0.00083093,0.0063704,0.0020472
45.898,0.0013511,0.0013954,0.0008077
46.875,0.0022647,0.00093685,0.0026237
47.852,0.0025144,0.013315,0.0069939
48.828,0.0013293,0.0072988,0.0027505
49.805,0.0035147,0.0063263,0.0035116
50.781,0.0014772,0.00158,0.0021949
51.758,0.0018261,0.0077655,0.0016149
52.734,0.0017065,0.0014215,0.0043944
53.711,0.0015593,0.0014937,0.0020636
54.688,0.0018999,0.0019349,0.0037793
55.664,0.0047061,0.0027524,0.0016747
56.641,0.00036949,0.0029431,0.0019532
57.617,0.0020598,0.0010049,0.0018467
58.594,0.0011834,0.0047712,0.0018324
59.57,0.00080906,0.0025086,0.0033039
