freq,X_800us_loaded_loosemotor_5,Y_800us_loaded_loosemotor_5,Z_800us_loaded_loosemotor_5
0,1.652e-16,4.089e-16,4.2291e-15
0.97656,3.9629e-05,0.0025967,0.001061
1.9531,0.00019969,0.00075366,0.00053122
2.9297,0.00044541,0.00077637,0.00075585
3.9063,0.00074789,0.0032687,0.00076508
4.8828,0.00059374,0.0040704,0.0012006
5.8594,0.00094341,0.0086232,0.00345
6.8359,0.00040318,0.0092397,0.0041175
7.8125,0.00058673,0.006103,0.0030143
8.7891,0.0011211,0.0034926,0.00056853
9.7656,0.00096672,0.0031787,0.0014335
10.742,0.00083937,0.0071736,0.0012834
11.719,0.00044474,0.0090643,0.0037243
12.695,0.00049067,0.013624,0.0058867
13.672,0.00052947,0.013916,0.0060081
14.648,0.00071195,0.017629,0.0067646
15.625,0.00080036,0.011317,0.0038549
16.602,0.00087709,0.0055163,0.0015871
17.578,0.00047625,0.0022057,0.0011229
18.555,0.00016282,0.0020313,0.0010313
19.531,0.00017303,0.0016935,0.0010252
20.508,0.00025546,0.0086808,0.0038568
21.484,0.00020314,0.0028064,0.0013887
22.461,0.00018224,0.0011333,0.00076483
23.438,0.00033726,0.00086419,0.0006364
24.414,0.00061677,0.0021156,0.00089585
25.391,0.00043733,0.0037333,0.0010563
26.367,0.00015018,0.010015,0.0024239
27.344,0.00024257,0.012837,0.0026388
28.32,0.00021532,0.0094636,0.0024599
29.297,0.00054648,0.0047322,0.0014714
30.273,0.00021427,0.0033118,0.0013246
31.25,0.00020442,0.0022329,0.00035032
32.227,0.00032615,0.0012121,0.00063671
33.203,0.00067335,0.0018214,0.00056633
34.18,0.00027898,0.0014282,0.0017061
35.156,0.00023707,0.0024606,0.0018568
36.133,0.00051867,0.001743,0.00087924
37.109,0.00039428,0.00088181,0.00081804
38.086,0.00013773,0.0012506,0.00083468
39.063,0.00025425,0.0010201,0.00013008
40.039,0.00057016,0.0019068,0.0011274
41.016,0.0010598,0.0010615,0.0023546
41.992,0.00089221,0.0014904,0.0024887
42.969,0.0002271,0.00053465,0.0010754
43.945,9.2402e-05,0.00066406,0.00126
44.922,0.00052568,0.0017954,0.0024479
45.898,0.00039205,0.0006871,0.00085961
46.875,0.0002411,0.0014558,0.0009715
47.852,0.00027246,0.0023297,0.00031312
48.828,0.00043007,0.0029588,0.00043191
49.805,0.00036126,0.0017701,0.00069496
50.781,0.00025287,0.00081725,0.00040591
51.758,0.00026691,0.0018036,0.00050887
52.734,0.00020009,0.00067512,0.00042172
53.711,0.00019486,0.00047509,0.0003004
54.688,2.7877e-05,0.0013047,0.00072105
55.664,0.00034775,0.0012291,0.00026393
56.641,5.8311e-05,0.00061104,0.00080006
57.617,0.00011591,0.00027638,0.00035986
58.594,0.00041284,0.00027365,0.00012115
59.57,0.00018667,0.0012724,0.0005162
60.547,8.6496e-05,0.00037692,0.00063874
61.523,0.00036554,0.0014759,0.0016598
62.5,0.00048057,0.0013348,0.0024667
63.477,0.0002563,0.00074265,0.00069329
64.453,0.00021501,0.00045241,0.00041165
65.43,0.00015852,0.00054803,0.00047528
66.406,0.00021273,0.00065783,0.00021389
67.383,0.00038803,0.0004262,0.00022056
68.359,0.00028022,0.0020232,0.00038054
69.336,0.00033447,0.00092612,0.00037806
70.313,0.00042564,0.0010258,0.0001554
71.289,0.00025154,0.00061925,0.00036325
72.266,0.00020423,0.00084946,0.00045248
73.242,0.00040808,0.00030482,0.00077641
74.219,0.00042228,0.00013002,0.00060992
75.195,3.1204e-05,0.0007032,0.00086483
76.172,0.0005004,0.00077584,0.00029967
77.148,9.9762e-05,0.00056948,0.0013831
78.125,0.00021302,0.0010507,0.00023267
79.102,0.00043069,0.00065871,0.0015461
80.078,0.00047441,0.00080717,0.00077645
81.055,0.000565,0.0010247,0.00245
82.031,0.00067516,0.0012003,0.00067776
83.008,0.0015265,0.0039881,0.0030531
83.984,0.00056247,0.00079534,0.00085463
84.961,1.9112e-05,0.00018803,0.0021234
85.938,0.0014704,0.0010336,0.0093811
86.914,0.00086701,0.0013325,0.0046974
87.891,0.00088455,0.00099124,0.0048291
88.867,0.0014481,0.0016282,0.006374
89.844,0.00073974,0.00023961,0.0036066
90.82,0.00051493,0.00023163,0.0027154
91.797,0.00042905,0.00013054,0.00289
92.773,0.00068947,0.0006728,0.003628
93.75,0.00088672,0.00042543,0.0042864
94.727,0.00030648,0.00037311,0.0026513
95.703,0.00025695,0.0010585,0.0011278
96.68,0.00050834,0.00040019,0.001335
97.656,0.00034355,0.0014873,0.00093813
98.633,2.9489e-05,0.00068455,0.0017554
99.609,0.00048345,0.00053043,0.0016374
100.59,0.00017779,0.00017383,0.00060675
101.56,0.00011751,7.9648e-05,0.00064989
102.54,0.00013266,0.00024183,0.0017819
103.52,0.00049138,0.001002,0.0043293
104.49,0.00025975,0.00018981,0.0010653
105.47,0.00036073,0.00044647,0.0013503
106.45,0.0001595,0.00054202,0.00058537
107.42,6.7835e-05,0.00052112,0.00068793
108.4,0.0001684,0.00021522,0.00083917
109.38,0.00020822,0.00073084,0.0019996
110.35,0.00014544,0.0011768,0.0012005
111.33,0.00010124,0.00095354,0.00016374
112.3,0.00012347,0.00045586,0.00013932
113.28,0.00018197,8.3067e-05,0.00066405
114.26,0.0001909,0.00013449,0.00050931
115.23,0.00043013,0.00047109,0.00091074
116.21,0.00025655,0.00048338,0.00094275
117.19,0.00026367,0.00044586,0.0012691
118.16,0.00018946,0.00043347,0.00078304
119.14,0.00015571,0.00049354,0.00035152
120.12,0.00028293,0.00038642,0.00095371
121.09,0.000301,0.00081693,0.0011642
122.07,0.00012059,0.00014653,0.001131
123.05,5.4024e-05,0.0006671,0.0015636
124.02,0.0004809,0.0012985,0.0028922
125,0.00020208,0.00078978,0.0019997
125.98,0.00016892,0.00030425,0.0013054
126.95,5.6141e-05,0.0002505,0.00079135
127.93,0.00013191,0.0005824,0.0013162
128.91,0.00010145,0.00036724,0.00032496
129.88,0.00028366,0.00036259,0.00015845
130.86,0.00030245,0.00075993,0.00062927
131.84,0.0001141,0.00018944,0.00051435
132.81,0.00020418,0.00035966,0.00015384
133.79,0.00011812,0.0002176,0.0002521
134.77,5.3938e-05,0.00032931,0.00014534
135.74,0.00023581,0.00012562,0.00010577
136.72,1.927e-05,0.00042292,0.00024076
137.7,0.00011096,0.00048426,0.00058964
138.67,0.00010436,0.00048022,0.0003746
139.65,0.00012634,0.0004632,0.00048355
140.63,0.00016591,0.00014785,0.00035888
141.6,0.00010033,0.00014611,0.00034259
142.58,0.0001352,0.00081996,0.00019858
143.55,4.6088e-05,0.00015674,0.00017734
144.53,0.00010381,0.00021423,0.00059772
145.51,0.00013238,0.00016305,0.00032752
146.48,5.717e-05,0.00035439,0.00021235
147.46,0.0001823,0.00020117,0.00017953
148.44,0.00012844,0.00047778,0.00022257
149.41,0.00014791,0.00028564,4.0554e-05
150.39,0.00013669,0.00050278,0.00012586
151.37,0.00031485,0.00057148,0.0001162
152.34,8.9772e-05,0.00022655,0.0001345
153.32,0.00019824,0.00063004,0.00024505
