freq,X_1600us_loaded_loosemotor_0,Y_1600us_loaded_loosemotor_0,Z_1600us_loaded_loosemotor_0
0,1.5232e-16,4.7384e-16,1.4324e-15
0.97656,0.0050646,0.011488,0.0084764
1.9531,0.0029848,0.014443,0.0062173
2.9297,0.0075344,0.012661,0.010825
3.9063,0.0084321,0.013806,0.015605
4.8828,0.0097936,0.0070799,0.018853
5.8594,0.0077854,0.010168,0.02328
6.8359,0.0050688,0.0030091,0.012382
7.8125,0.0065015,0.0044863,0.01198
8.7891,0.0044671,0.0067487,0.020745
9.7656,0.0012006,0.022229,0.021317
10.742,0.0087307,0.0025092,0.021859
11.719,0.0032937,0.0043466,0.018821
12.695,0.0088247,0.012389,0.019809
13.672,0.0025587,0.006153,0.0084412
14.648,0.010313,0.0078513,0.0095075
15.625,0.004549,0.01027,0.0066657
16.602,0.015075,0.011221,0.0047808
17.578,0.0031312,0.0067389,0.011385
18.555,0.0072251,0.011921,0.0083713
19.531,0.0016044,0.012668,0.0078259
20.508,0.0048351,0.0041632,0.014906
21.484,0.0040946,0.0095352,0.015019
22.461,0.0069312,0.0086445,0.014194
23.438,0.0065772,0.010121,0.011713
24.414,0.0064457,0.011501,0.014405
25.391,0.003121,0.0057803,0.0054091
26.367,0.0038721,0.0025362,0.003943
27.344,0.0039595,0.0036353,0.0093872
28.32,0.0054857,0.013939,0.0032349
29.297,0.0055832,0.011219,0.0116
30.273,0.0033069,0.007467,0.0060305
31.25,0.001213,0.0079123,0.0065288
32.227,0.0025326,0.0036027,0.0013679
33.203,0.0030848,0.017816,0.0077011
34.18,0.0071704,0.019917,0.010436
35.156,0.00089431,0.0080598,0.0021213
36.133,0.0071253,0.012784,0.0024281
37.109,0.0072483,0.046868,0.0059722
38.086,0.0027702,0.020904,0.0056477
39.063,0.00067712,0.028584,0.0062799
40.039,0.00075122,0.01452,0.0040335
41.016,0.0027533,0.023061,0.0098974
41.992,0.00061681,0.011193,0.0067082
42.969,0.0035857,0.012848,0.0056805
43.945,0.002495,0.0010036,0.00644
44.922,0.004276,0.011107,0.0077919
45.898,0.0038618,0.011629,0.0016079
46.875,0.0070617,0.01016,0.0057027
47.852,0.0072797,0.0048257,0.0070348
48.828,0.0028327,0.0066319,0.0083425
49.805,0.0048599,0.009366,0.0035085
50.781,0.0034155,0.0050088,0.0035598
51.758,0.0031905,0.011553,0.010719
52.734,0.010827,0.0053681,0.0037694
53.711,0.0012829,0.012466,0.0029937
54.688,0.0024081,0.0086755,0.013399
55.664,0.0024882,0.01261,0.01112
56.641,0.0015359,0.0037534,0.0050985
57.617,0.003553,0.0085065,0.0074791
58.594,0.0085565,0.010152,0.011386
59.57,0.0017118,0.0035829,0.0072295
60.547,0.0029533,0.016629,0.0060567
61.523,0.0050584,0.0056587,0.0096807
62.5,0.0076185,0.00355,0.0069812
63.477,0.013627,0.011981,0.010163
64.453,0.0054644,0.010647,0.017869
65.43,0.0088941,0.0080948,0.01372
66.406,0.004826,0.0089917,0.010263
67.383,0.010176,0.0072244,0.028613
68.359,0.015697,0.019112,0.041432
69.336,0.022146,0.0080898,0.030252
70.313,0.012759,0.019724,0.050524
71.289,0.02359,0.023353,0.034845
72.266,0.025225,0.026742,0.051524
73.242,0.051192,0.053425,0.066419
74.219,0.12464,0.16831,0.21907
75.195,0.039232,0.034753,0.094084
76.172,0.021026,0.014862,0.033998
77.148,0.023456,0.018686,0.03842
78.125,0.018616,0.01785,0.02977
79.102,0.020753,0.014089,0.074077
80.078,0.0093607,0.0011078,0.045623
81.055,0.0059005,0.0062973,0.021124
82.031,0.0074895,0.0078905,0.013497
83.008,0.0033587,0.0035047,0.0068322
83.984,0.0037152,0.007383,0.0049123
84.961,0.0062319,0.016567,0.0090275
85.938,0.00031626,0.0033981,0.0065412
86.914,0.0020852,0.0062232,0.010949
87.891,0.0036777,0.0022145,0.0041147
88.867,0.0026197,0.0078416,0.0069473
89.844,0.0085076,0.0047355,0.01406
90.82,0.0036642,0.0080246,0.0059969
91.797,0.0044188,0.0045638,0.0041114
92.773,0.0040127,0.0022168,0.0095615
93.75,0.0060274,0.0056775,0.0079291
94.727,0.003231,0.0093598,0.0090162
95.703,0.001219,0.0038326,0.0081603
96.68,0.0039324,0.0051634,0.0063182
97.656,0.0021765,0.0026807,0.0089015
98.633,0.00081182,0.011049,0.0064397
99.609,0.0022114,0.0078554,0.0038034
100.59,0.0040628,0.0052603,0.0012015
101.56,0.0047439,0.0057388,0.011583
102.54,0.0059745,0.0012053,0.0081254
103.52,0.0035437,0.0047555,0.0027709
104.49,0.0040277,0.0027429,0.0068143
105.47,0.0046029,0.0051403,0.0039091
106.45,0.0012839,0.0061122,0.0091867
107.42,0.0032414,0.0051184,0.0043817
108.4,0.0013408,0.0037414,0.0031962
109.38,0.0011244,0.0034085,0.0090278
110.35,0.0020504,0.008185,0.010948
111.33,0.0047632,0.01112,0.0050645
112.3,0.0032301,0.011254,0.0072634
113.28,0.0048503,0.0091176,0.0054278
114.26,0.00069368,0.0052695,0.0017815
115.23,0.0034149,0.0041057,0.0024323
116.21,0.0021584,0.0042544,0.00077503
117.19,0.0035292,0.00095841,0.0036741
118.16,0.0052981,0.0036394,0.002209
119.14,0.00097717,0.0074432,0.0013647
120.12,0.0066345,0.0077135,0.0064483
121.09,0.0030909,0.002728,0.0080652
122.07,0.0020984,0.0020248,0.0040991
123.05,0.0030288,0.0028171,0.0053116
124.02,0.0037867,0.0024932,0.0025255
125,0.0037355,0.0040288,0.004607
125.98,0.0032526,0.0010969,0.00062377
126.95,0.0038907,0.0037318,0.0094831
127.93,0.0034465,0.0057423,0.0027855
128.91,0.0053121,0.008375,0.0035548
129.88,0.0044168,0.0062329,0.0096573
130.86,0.0062466,0.0060765,0.0077819
131.84,0.0089272,0.005376,0.012414
132.81,0.006413,0.0045494,0.010343
133.79,0.0028278,0.0036249,0.0076314
134.77,0.0019121,0.00015801,0.0062846
135.74,0.00087755,0.0087035,0.0092746
136.72,0.0022398,0.011194,0.0069021
137.7,0.0034596,0.0017152,0.019377
138.67,0.0066941,0.010518,0.021127
139.65,0.0022812,0.00075585,0.014471
140.63,0.0037417,0.004968,0.014657
141.6,0.0078587,0.010731,0.0085315
142.58,0.0049847,0.0034826,0.0016659
143.55,0.0084005,0.018039,0.012083
144.53,0.002476,0.007225,0.015964
145.51,0.0043747,0.015083,0.04367
146.48,0.016833,0.02104,0.068478
147.46,0.029475,0.045808,0.10948
148.44,0.037762,0.055038,0.10525
149.41,0.018914,0.021003,0.085128
150.39,0.012939,0.008246,0.012305
151.37,0.0071111,0.0031183,0.022019
152.34,0.0090578,0.0080888,0.012844
153.32,0.011015,0.017429,0.023063
154.3,0.0097963,0.0066373,0.0099223
155.27,0.010346,0.0091999,0.013582
156.25,0.0064656,0.0051311,0.0086302
157.23,0.0055644,0.0063623,0.015079
158.2,0.0064435,0.0057492,0.0093977
159.18,0.0018217,0.0050524,0.0063427
160.16,0.00047035,0.003945,0.013683
161.13,0.0019615,0.0044681,0.007874
162.11,0.0028923,0.0030019,0.0090608
163.09,0.00047929,0.00073603,0.010054
