freq,X_900us_broken_prop_0,Y_900us_broken_prop_0,Z_900us_broken_prop_0
0,1.0292e-16,7.3186e-16,8.0114e-16
0.97656,0.006515,0.011875,0.013793
1.9531,0.007179,0.0067629,0.020208
2.9297,0.0084381,0.018016,0.010707
3.9063,0.0068536,0.010269,0.0082952
4.8828,0.006918,0.010005,0.010338
5.8594,0.0078939,0.014927,0.012667
6.8359,0.006428,0.011377,0.0091649
7.8125,0.0062399,0.010429,0.012328
8.7891,0.0084455,0.014992,0.0021959
9.7656,0.0072576,0.014319,0.0065156
10.742,0.0065751,0.014967,0.0028494
11.719,0.0080192,0.014504,0.0075399
12.695,0.0065827,0.020671,0.0023248
13.672,0.0038111,0.01451,0.0071965
14.648,0.0053846,0.014589,0.006915
15.625,0.0037232,0.022295,0.0063675
16.602,0.018328,0.0332,0.0052815
17.578,0.03982,0.037197,0.0052223
18.555,0.021747,0.01962,0.011393
19.531,0.013296,0.012731,0.011241
20.508,0.011177,0.012227,0.010452
21.484,0.012772,0.020118,0.0043424
22.461,0.0082929,0.016492,0.011715
23.438,0.0087259,0.0089097,0.0025844
24.414,0.01403,0.016295,0.0098124
25.391,0.0054282,0.018788,0.0062395
26.367,0.0025353,0.0031448,0.013096
27.344,0.011715,0.0088072,0.0095544
28.32,0.0082918,0.013789,0.0014557
29.297,0.013317,0.023948,0.0047071
30.273,0.015794,0.015192,0.0092126
31.25,0.0094229,0.020731,0.012128
32.227,0.054848,0.084157,0.01052
33.203,0.062752,0.10378,0.0071487
34.18,0.62926,0.98333,0.069938
35.156,0.11481,0.17446,0.0013416
36.133,0.080098,0.13301,0.0051292
37.109,0.028905,0.052874,0.0028002
38.086,0.04036,0.065679,0.0077428
39.063,0.038078,0.061826,0.0053288
40.039,0.020787,0.032439,0.0083803
41.016,0.024375,0.041027,0.0044003
41.992,0.022194,0.048193,0.0045744
42.969,0.014153,0.032276,0.0033186
43.945,0.016321,0.024665,0.0038181
44.922,0.018868,0.036038,0.0075987
45.898,0.0098138,0.029815,0.010058
46.875,0.0093006,0.021657,0.0063292
47.852,0.012565,0.031794,0.0042182
48.828,0.005155,0.029051,0.017393
49.805,0.0078159,0.016051,0.009715
50.781,0.010988,0.025143,0.024562
51.758,0.069357,0.03798,0.052062
52.734,0.021594,0.017706,0.02022
53.711,0.015993,0.016825,0.0068134
54.688,0.015899,0.02073,0.0049251
55.664,0.0095008,0.011868,0.0079461
56.641,0.0087419,0.010931,0.0038969
57.617,0.013664,0.012652,0.0069558
58.594,0.0091223,0.012003,0.010179
59.57,0.0031942,0.011569,0.0085879
60.547,0.0083923,0.0058722,0.0063734
61.523,0.004499,0.0057887,0.004727
62.5,0.0034242,0.0089379,0.0055865
63.477,0.0075537,0.0066564,0.0052001
64.453,0.0036088,0.0041542,0.0031017
65.43,0.0012436,0.006124,0.0068457
66.406,0.01093,0.0068202,0.01205
67.383,0.0082149,0.0083062,0.003583
68.359,0.039446,0.016353,0.045012
69.336,0.017557,0.0059392,0.026427
70.313,0.013162,0.0023816,0.016502
71.289,0.0089993,0.0032604,0.011465
72.266,0.0072539,0.0031915,0.0074776
73.242,0.0081098,0.0017819,0.013148
74.219,0.0034942,0.0021265,0.017347
75.195,0.0056606,0.0057918,0.0035196
76.172,0.010147,0.0044515,0.0034449
77.148,0.0081402,0.0048907,0.0059983
78.125,0.0046984,0.0089919,0.0020639
79.102,0.0051784,0.0037624,0.0064812
80.078,0.010214,0.0053718,0.006591
81.055,0.0079126,0.0065048,0.0039368
82.031,0.0055443,0.0015122,0.001566
83.008,0.010679,0.0042912,0.0085116
83.984,0.010307,0.0079582,0.0089651
84.961,0.010918,0.0060019,0.0085926
85.938,0.024398,0.040931,0.0211
86.914,0.0015944,0.0082525,0.0073275
87.891,0.0076336,0.0062384,0.0074356
88.867,0.0022419,0.0085925,0.0047527
89.844,0.004513,0.0097315,0.0039976
90.82,0.0063157,0.0050367,0.0026023
91.797,0.004265,0.0073869,0.0036055
92.773,0.0029917,0.0066029,0.0036042
93.75,0.0045064,0.0038192,0.0021914
94.727,0.0021803,0.0066514,0.0033529
95.703,0.0036825,0.0075329,0.0045362
96.68,0.004757,0.0067868,0.0044307
97.656,0.0034178,0.0068661,0.001726
98.633,0.0023926,0.0063228,0.0027465
99.609,0.0028656,0.0069988,0.0030793
100.59,0.0032613,0.012772,0.0058827
101.56,0.0011901,0.010061,0.0043137
