freq,X_800us_unloaded_2,Y_800us_unloaded_2,Z_800us_unloaded_2
0,5.6904e-16,1.3956e-16,2.3681e-14
0.97656,0.00017881,0.016267,8.2403e-05
1.9531,0.00010557,0.0076542,4.7342e-05
2.9297,4.2712e-05,0.0052372,3.3229e-05
3.9063,5.734e-05,0.0037476,2.2156e-05
4.8828,8.6592e-06,0.0029555,1.3839e-05
5.8594,4.189e-05,0.0024116,2.589e-05
6.8359,1.6644e-05,0.0019324,1.9491e-05
7.8125,3.106e-05,0.0016036,1.5545e-05
8.7891,2.0634e-05,0.0013484,1.2784e-05
9.7656,4.1362e-05,0.0011938,3.0748e-05
10.742,2.0886e-05,0.0010014,1.7944e-05
11.719,4.8491e-06,0.00082833,3.9748e-06
12.695,2.0269e-05,0.00067895,1.0585e-05
13.672,9.1066e-06,0.00062553,1.0641e-05
14.648,5.3177e-06,0.00047596,1.8861e-05
15.625,2.6515e-05,0.00039066,2.1505e-05
16.602,1.3994e-05,0.00032525,1.237e-05
17.578,2.242e-05,0.00023984,1.7881e-06
18.555,1.1257e-05,0.00016186,2.1857e-05
19.531,2.3529e-05,9.3259e-05,3.0195e-05
20.508,7.1367e-06,0.00011963,3.1268e-05
21.484,9.8068e-06,0.00011201,1.5989e-05
22.461,8.599e-06,9.0767e-05,2.3575e-05
23.438,2.9179e-05,9.6115e-05,8.0722e-06
24.414,2.3354e-05,0.00018917,1.4833e-05
25.391,1.999e-05,0.00017605,2.0524e-05
26.367,1.7808e-05,0.00025948,1.5961e-05
27.344,6.2379e-06,0.00027274,1.8891e-05
28.32,1.8632e-05,0.00029169,2.1864e-05
29.297,1.297e-05,0.00028982,2.0114e-05
30.273,3.1529e-06,0.00032206,1.3932e-05
31.25,3.4471e-05,0.00035404,1.7614e-05
32.227,1.9303e-05,0.00037661,1.9558e-05
33.203,2.3756e-05,0.00035598,1.8828e-05
34.18,2.5644e-05,0.00036501,4.5387e-06
35.156,1.2737e-05,0.0003781,2.042e-05
36.133,3.2569e-05,0.00037511,1.9268e-05
37.109,9.9882e-06,0.00035355,1.555e-05
38.086,1.5433e-05,0.00040556,4.7568e-07
39.063,5.7499e-06,0.00040352,2.5508e-05
40.039,8.226e-06,0.0003739,5.9405e-06
41.016,4.7657e-06,0.00035823,1.8726e-05
41.992,9.0778e-06,0.00034501,9.9901e-06
42.969,3.6325e-05,0.00032285,1.055e-05
43.945,2.4573e-05,0.00033172,2.8107e-05
44.922,1.329e-05,0.00031279,2.4907e-05
45.898,3.4279e-06,0.00031836,1.306e-05
46.875,3.4518e-05,0.00032555,6.3653e-06
47.852,1.485e-05,0.00027585,3.226e-05
48.828,4.2114e-06,0.00028663,1.9196e-05
49.805,1.1169e-05,0.00022583,2.1362e-05
50.781,2.7364e-05,0.00019857,1.2088e-05
51.758,1.5428e-05,0.00019986,1.7104e-05
52.734,1.0362e-05,0.00018347,1.9056e-05
53.711,2.3958e-05,0.00015632,2.5413e-05
54.688,2.528e-05,0.00018171,1.1931e-05
55.664,3.6502e-05,0.00012424,8.4105e-06
56.641,3.9754e-06,0.00011249,2.4634e-06
57.617,5.5249e-06,0.00012511,2.5885e-05
58.594,1.1441e-05,4.4443e-05,3.5141e-05
59.57,1.0391e-05,5.9529e-05,1.6281e-05
60.547,8.6285e-06,6.2905e-05,2.3897e-05
61.523,2.3229e-05,5.8306e-05,2.8842e-05
62.5,0.00013661,9.0579e-05,6.0991e-05
63.477,2.996e-05,4.9203e-05,1.9329e-05
64.453,1.1352e-05,6.2325e-05,1.4398e-05
65.43,1.0127e-05,4.8545e-05,9.8747e-06
66.406,2.6423e-05,0.00012021,3.567e-05
67.383,8.7514e-06,7.4797e-05,1.6984e-05
68.359,1.689e-05,8.5978e-05,3.0875e-05
69.336,3.1692e-05,0.00011645,2.3222e-05
70.313,1.732e-05,0.00011215,1.0678e-05
71.289,1.6376e-05,0.00013082,2.2241e-05
72.266,2.2984e-05,0.00012101,2.6594e-06
73.242,2.0266e-05,0.00016281,1e-05
74.219,6.1211e-06,0.00014698,4.6065e-06
75.195,6.7925e-06,0.00017725,1.0903e-05
76.172,2.1601e-05,0.00019417,1.3444e-05
77.148,1.9906e-05,0.00017186,7.55e-06
78.125,1.8912e-05,0.00020455,2.5724e-05
79.102,1.858e-05,0.00018651,8.7535e-06
80.078,8.6882e-06,0.0001846,1.2217e-05
81.055,1.3128e-05,0.00017381,2.3138e-05
82.031,1.8056e-05,0.00015751,2.4789e-05
83.008,3.3613e-05,0.00017557,1.5046e-05
83.984,2.0305e-05,0.00018853,6.8533e-06
84.961,5.3787e-06,0.00017527,1.1447e-05
85.938,3.4019e-05,0.00020338,1.0974e-05
86.914,6.5006e-06,0.00015344,1.7782e-05
87.891,6.9298e-06,0.00015148,1.0391e-05
88.867,8.1187e-06,0.00016153,1.0197e-05
89.844,3.2008e-05,0.00014303,1.5513e-05
90.82,2.8331e-05,0.00016381,2.0448e-05
91.797,6.7234e-06,0.00016074,1.9169e-05
92.773,1.8731e-05,0.0001137,1.6173e-05
93.75,1.4179e-05,0.00014863,3.019e-06
94.727,3.1341e-05,0.00010821,2.5631e-05
95.703,2.0495e-05,0.00011271,2.0175e-05
96.68,2.4943e-05,9.579e-05,1.1612e-05
97.656,9.792e-06,8.3114e-05,2.2048e-05
98.633,1.1926e-05,7.4812e-05,1.8753e-06
