freq,X_1600us_unloaded_loosepylon_1,Y_1600us_unloaded_loosepylon_1,Z_1600us_unloaded_loosepylon_1
0,4.9183e-17,3.6471e-17,1.3065e-15
0.97656,0.00042733,0.0010647,0.00049563
1.9531,0.00048821,0.0013488,0.00064969
2.9297,0.0012718,0.00032456,0.00098104
3.9063,0.00089006,0.0012283,0.00060635
4.8828,0.0029823,0.0018545,0.00080586
5.8594,0.0023689,0.00051579,0.00078381
6.8359,0.0039933,0.0016235,0.0016941
7.8125,0.0055474,0.00074327,0.0038775
8.7891,0.0077768,0.0014838,0.0058912
9.7656,0.042772,0.011389,0.033444
10.742,0.012288,0.0057773,0.010593
11.719,0.0064315,0.0036519,0.0063441
12.695,0.0020522,0.0013808,0.0037748
13.672,0.0020037,0.0020193,0.0029161
14.648,0.0017106,0.0020112,0.0034462
15.625,0.00011911,0.0012685,0.0024992
16.602,0.00062771,0.00093201,0.0028633
17.578,6.3707e-05,0.00043369,0.0031431
18.555,0.0057402,0.0038843,0.0052167
19.531,0.0062246,0.0042253,0.00078476
20.508,0.002623,0.0022677,0.0009545
21.484,0.0019514,0.00029529,0.0010081
22.461,0.001502,0.0013486,0.0014242
23.438,0.0016495,0.0011796,0.0016088
24.414,0.00099425,0.0002179,0.0012195
25.391,0.00091438,0.00096061,0.0011273
26.367,0.00033286,0.0012686,0.00027605
27.344,0.0014284,0.0011997,0.00090582
28.32,0.00099694,0.0020124,0.00011878
29.297,0.0016131,0.0024567,0.00081486
30.273,0.00091032,0.00043419,0.001151
31.25,0.0011908,0.0016489,0.0010009
32.227,0.00097802,0.001413,0.00032195
33.203,0.0005277,0.0013833,0.00016844
34.18,0.0022665,0.0026342,0.00048721
35.156,0.0011785,0.0005243,0.00017528
36.133,0.0021901,0.0016819,0.00095594
37.109,0.00166,0.002123,0.00021332
38.086,0.0097792,0.0082664,0.0010996
39.063,0.0036577,0.0029409,0.00048384
40.039,0.0021605,0.0015964,0.00054058
41.016,0.0021102,0.0020258,0.00036283
41.992,0.0013121,0.0007233,0.00039095
42.969,0.00048784,0.00037539,0.00048904
43.945,0.00073702,0.0003016,0.00046895
44.922,0.0015626,0.0011605,0.00059837
