freq,X_2300us_loaded_loosepylon_5,Y_2300us_loaded_loosepylon_5,Z_2300us_loaded_loosepylon_5
0,6.6724e-17,8.4832e-16,3.0864e-17
0.97656,0.0094283,0.0099875,0.016678
1.9531,0.009146,0.0028153,0.0021481
2.9297,0.0033844,0.0034922,0.0056153
3.9063,0.0076728,0.0072431,0.0066536
4.8828,0.0057582,0.0059842,0.0067039
5.8594,0.0026447,0.0043532,0.0011279
6.8359,0.0052997,0.0024,0.0018398
7.8125,0.0033884,0.0056865,0.012539
8.7891,0.0021932,0.0038658,0.0056497
9.7656,0.0015934,0.0022432,0.010704
10.742,0.003212,0.00099899,0.010935
11.719,0.0050208,0.0030661,0.0081281
12.695,0.0037266,0.0019406,0.0071567
13.672,0.0036712,0.004424,0.010659
14.648,0.0031972,0.0020803,0.0023181
15.625,0.0067539,0.0034705,0.0084389
16.602,0.0030473,0.0062573,0.0069925
17.578,0.0018317,0.0042534,0.0043436
18.555,0.0029258,0.00094769,0.0060534
19.531,0.0024608,0.0023109,0.0048458
20.508,0.0023881,0.0060126,0.0020257
21.484,0.00059581,0.004961,0.002509
22.461,0.003067,0.0017617,0.0030683
23.438,0.003708,0.0062779,0.0075544
24.414,0.00080114,0.001694,0.0032977
25.391,0.0087253,0.0046843,0.006536
26.367,0.0030654,0.0032892,0.0081778
27.344,0.0054108,0.0019074,0.0066104
28.32,0.0063554,0.0021502,0.001278
29.297,0.0017781,0.0014415,0.00081517
30.273,0.0025798,0.0018028,0.0097884
31.25,0.0026867,0.0016192,0.0013196
32.227,0.0043393,0.0023932,0.0050508
33.203,0.00058296,0.0016194,0.0029306
34.18,0.0021761,0.0019485,0.0051199
35.156,0.0033467,0.00092389,0.0050405
36.133,0.0025043,0.001997,0.0039546
37.109,0.001915,0.0028023,0.0046679
38.086,0.0012263,0.0032775,0.0054012
39.063,0.0022562,0.0022853,0.0075777
40.039,0.0037088,0.0012433,0.0044615
41.016,0.0020728,0.0036893,0.0054286
41.992,0.0019822,0.0012643,0.0049603
42.969,0.002007,0.002022,0.0059865
43.945,0.0022023,0.0015113,0.00063508
44.922,0.0027655,0.0024217,0.0021428
45.898,0.0019314,0.0018541,0.0010889
46.875,0.0012425,0.0007464,0.0022452
47.852,0.00019878,0.00044073,0.0066874
48.828,0.0025467,0.0010585,0.0012308
49.805,0.000934,0.0016699,0.0052553
50.781,0.0011916,0.00070401,0.0027085
51.758,0.0012507,0.00047066,0.0016261
52.734,0.0021521,0.0026198,0.0035728
53.711,0.00089488,0.0005947,0.0026321
54.688,0.0019551,0.0027921,0.0022011
55.664,0.00085693,0.00046134,0.0025251
56.641,0.0013573,0.0019796,0.00070703
57.617,0.0012828,0.00065877,0.0028168
58.594,0.0016126,0.001618,0.0025431
59.57,0.0006282,0.0027567,0.0054195
60.547,0.0018656,0.0017593,0.001416
61.523,0.00091139,0.0010881,0.0049506
62.5,0.0011811,0.00050458,0.00075222
63.477,0.0015164,0.0022165,0.0027019
64.453,0.0012053,0.0017236,0.0054798
65.43,0.0017224,0.0014539,0.0043195
66.406,0.0018516,0.0015828,0.0024177
67.383,0.00076544,0.0013242,0.004167
