freq,X_800us_unloaded_4,Y_800us_unloaded_4,Z_800us_unloaded_4
111.33,1.4606e-05,1.0566e-05,3.4776e-06
112.3,1.47e-05,6.8966e-06,3.5732e-06
113.28,5.253e-06,4.4652e-05,1.9132e-05
114.26,2.1671e-05,2.3615e-05,9.0492e-06
115.23,8.8133e-06,3.0202e-05,4.1237e-06
116.21,1.6495e-05,2.0908e-05,5.2327e-06
117.19,1.0952e-05,3.1949e-05,1.1656e-05
118.16,1.2865e-05,2.4939e-05,4.3445e-06
119.14,1.221e-05,3.1794e-05,8.8177e-06
120.12,2.7945e-05,3.2724e-05,9.7891e-06
121.09,9.7584e-06,3.8374e-05,2.3323e-05
122.07,5.9933e-06,3.1347e-05,7.6603e-06
123.05,3.3582e-06,8.4346e-06,1.3451e-06
124.02,2.729e-05,2.0018e-05,5.1244e-06
125,9.087e-05,7.8059e-05,1.3952e-05
125.98,2.4313e-05,3.5036e-05,2.1476e-06
126.95,1.064e-05,2.6886e-05,3.6308e-06
127.93,3.7439e-06,2.9034e-05,3.9598e-06
128.91,5.5413e-06,4.7296e-05,1.111e-05
129.88,1.4568e-05,4.1811e-05,6.9877e-06
130.86,7.1843e-06,1.0886e-05,6.4315e-06
131.84,1.8745e-05,2.5959e-05,2.5384e-06
132.81,2.1668e-06,5.0912e-05,1.5673e-05
133.79,2.1849e-05,2.2962e-05,3.6538e-06
134.77,2.4688e-05,2.8887e-05,4.4968e-06
135.74,1.051e-05,1.849e-05,5.0156e-06
136.72,1.2368e-05,2.2385e-05,1.2357e-05
137.7,2.0368e-05,3.035e-05,6.6891e-06
138.67,1.0111e-05,2.7176e-05,2.5634e-06
139.65,2.181e-05,3.0803e-05,7.1634e-06
140.63,1.1781e-05,5.4653e-05,1.669e-05
141.6,1.0068e-05,1.029e-05,5.4624e-06
142.58,8.8287e-06,1.6234e-05,3.5993e-06
143.55,2.0437e-05,1.2245e-05,4.9765e-06
144.53,4.2626e-06,5.6061e-05,5.2792e-06
145.51,1.6295e-05,4.839e-06,4.9163e-06
146.48,6.292e-06,2.0891e-05,6.3551e-06
147.46,1.8169e-05,1.0892e-05,8.7065e-06
148.44,2.9526e-05,4.8651e-05,1.1306e-05
149.41,8.8634e-06,1.1661e-05,2.4807e-06
150.39,9.2384e-06,2.8769e-05,2.2072e-06
151.37,6.6038e-06,4.2557e-06,2.7137e-06
152.34,4.6314e-06,3.7952e-05,1.1162e-05
153.32,2.2838e-05,3.9295e-06,4.7216e-06
154.3,1.7287e-05,1.4682e-05,7.905e-06
155.27,1.2265e-05,1.2803e-05,5.1824e-06
156.25,3.7501e-06,4.653e-05,1.3069e-05
157.23,2.0764e-05,2.225e-05,3.0863e-06
158.2,7.4775e-06,1.9821e-05,3.0743e-06
159.18,2.9487e-05,3.7075e-05,4.6371e-06
160.16,5.7891e-06,6.3488e-05,1.7431e-05
161.13,1.7863e-05,4.0128e-05,7.1494e-06
162.11,1.1311e-05,1.7616e-05,8.6771e-06
163.09,1.4428e-05,1.5451e-05,7.4483e-06
164.06,2.1711e-05,5.592e-06,1.4175e-05
165.04,4.2952e-06,1.7519e-05,1.0985e-05
166.02,1.4321e-05,1.8618e-05,8.1469e-06
166.99,1.897e-05,1.8113e-05,8.6284e-06
167.97,1.8567e-05,4.7503e-05,1.7861e-05
168.95,2.8699e-06,9.0368e-06,2.9758e-06
169.92,1.2944e-05,1.3408e-05,7.1582e-06
170.9,1.7932e-05,1.9902e-05,3.1613e-06
171.88,9.3964e-06,2.4108e-05,8.769e-06
172.85,2.3729e-05,9.4446e-06,7.469e-06
173.83,1.2091e-05,2.0152e-05,6.1196e-06
174.8,2.2854e-05,1.3976e-05,5.5039e-06
175.78,4.6119e-06,4.21e-05,1.0122e-05
176.76,2.2599e-05,4.5494e-05,6.3598e-06
177.73,1.4414e-05,2.6582e-05,4.9886e-06
178.71,1.7178e-05,9.6346e-06,2.8045e-06
179.69,1.8198e-05,2.0342e-05,1.5267e-05
180.66,1.7715e-05,2.3558e-05,8.2215e-06
181.64,7.7516e-06,2.6518e-05,1.0498e-05
182.62,1.1862e-05,2.6027e-05,6.3819e-06
183.59,4.4621e-06,3.5293e-05,1.7898e-05
184.57,6.1933e-06,1.3246e-05,7.0225e-06
185.55,1.8866e-05,1.4649e-05,4.6773e-06
186.52,8.309e-06,1.3206e-05,1.0673e-05
187.5,0.00012311,0.0001111,4.319e-06
188.48,2.8504e-05,8.5215e-06,5.8629e-06
189.45,1.2712e-05,3.0325e-05,4.1466e-06
190.43,1.217e-05,1.6708e-05,2.1475e-06
191.41,3.8522e-05,4.642e-05,1.8042e-05
192.38,4.1106e-05,3.8108e-05,2.3377e-06
193.36,1.0181e-05,8.0233e-06,4.7543e-06
194.34,3.0069e-05,3.5687e-05,6.7673e-06
195.31,1.3635e-05,3.524e-05,9.8308e-06
196.29,1.3767e-05,1.5996e-05,4.7525e-06
197.27,7.9252e-06,2.2095e-05,7.7734e-06
198.24,1.8703e-05,7.3053e-07,8.5212e-06
199.22,1.3875e-05,3.4775e-05,1.4131e-05
200.2,1.3766e-05,5.1391e-06,3.4728e-06
201.17,2.0759e-05,1.5193e-05,4.1456e-06
202.15,1.9923e-05,1.4152e-05,1.319e-06
203.13,4.5874e-06,5.1479e-05,1.4369e-05
204.1,1.3001e-05,3.2343e-05,9.5165e-07
205.08,1.5205e-05,2.2742e-05,2.0234e-06
206.05,2.0133e-05,1.4332e-05,3.5942e-06
207.03,2.4583e-05,5.7391e-05,5.299e-06
208.01,7.1411e-06,4.6705e-05,8.9747e-06
208.98,4.0867e-06,2.6127e-05,3.8765e-06
209.96,1.9862e-05,3.7426e-05,6.5141e-07
210.94,2.223e-05,3.716e-05,1.2308e-05
211.91,2.0182e-05,1.576e-06,2.1571e-06
212.89,2.4944e-05,5.4701e-06,2.498e-06
213.87,1.2353e-05,2.3935e-05,7.5059e-06
214.84,4.3505e-06,5.63e-05,3.2098e-06
215.82,1.5131e-05,2.6656e-05,7.5827e-06
216.8,6.5232e-06,2.5368e-05,3.8744e-06
217.77,2.2777e-05,2.1834e-05,4.5119e-06
218.75,2.24e-05,2.1265e-05,9.8096e-06
219.73,2.1311e-05,1.2306e-05,5.1644e-06
220.7,1.456e-05,2.8041e-05,4.0737e-06
221.68,9.1795e-06,8.6654e-06,4.8097e-06
222.66,1.6317e-05,6.1046e-05,1.2689e-05
223.63,1.1304e-05,1.2679e-05,6.5394e-06
224.61,6.6525e-06,1.7753e-05,8.1161e-06
225.59,6.595e-06,2.2882e-05,4.3524e-06
226.56,1.2055e-05,5.0971e-05,1.313e-05
227.54,2.3866e-05,1.9797e-05,6.714e-07
228.52,1.5026e-05,1.3009e-05,4.6349e-06
229.49,7.4695e-06,1.6373e-05,7.1679e-06
230.47,1.0405e-05,4.7507e-05,1.366e-05
231.45,2.5503e-05,2.9564e-05,3.9506e-06
232.42,1.0895e-05,1.8763e-05,9.0763e-06
233.4,2.0346e-05,2.8661e-05,8.4214e-06
234.38,2.0782e-05,1.4555e-05,1.1117e-05
235.35,7.2545e-06,1.0949e-05,7.0379e-06
236.33,3.6416e-05,6.8382e-06,1.902e-06
237.3,7.41e-06,1.1355e-05,6.2671e-06
238.28,2.346e-06,5.7853e-05,1.6831e-05
239.26,4.3299e-06,2.7086e-05,6.0348e-06
240.23,1.7164e-05,8.877e-06,8.6485e-06
241.21,8.9286e-06,3.0934e-05,5.2529e-06
242.19,1.1423e-05,4.4738e-05,1.6158e-05
243.16,1.3767e-05,2.2651e-05,5.5289e-06
244.14,3.4922e-05,8.79e-06,8.339e-06
245.12,1.829e-05,3.5865e-05,4.9826e-06
246.09,1.1752e-05,2.8594e-05,9.4565e-06
247.07,4.8581e-05,9.1623e-06,7.5636e-06
248.05,1.0747e-05,1.6662e-05,3.7207e-06
249.02,4.7623e-05,1.18e-05,5.2263e-06
250,0.00039733,0.00026836,1.7266e-05
250.98,2.537e-05,1.693e-05,1.0166e-05
251.95,2.7635e-05,1.252e-05,1.1296e-05
252.93,2.0814e-05,1.5894e-05,6.2156e-06
253.91,2.9042e-05,5.3721e-05,1.5351e-05
254.88,7.6967e-06,4.0631e-05,8.8698e-06
