freq,X_900us_unloaded_loosepylon_4,Y_900us_unloaded_loosepylon_4,Z_900us_unloaded_loosepylon_4
0,5.2869e-16,6.5015e-16,4.2411e-17
0.97656,0.00064221,0.0010312,0.0010296
1.9531,0.0001854,0.0017352,0.0015948
2.9297,0.00026373,0.0025951,0.0023372
3.9063,0.00047338,0.0026854,0.0021199
4.8828,0.00019143,0.0012268,0.0026806
5.8594,0.0015501,0.0018359,0.0030015
6.8359,0.00062665,0.0012986,0.0023916
7.8125,0.00020052,0.0032931,0.00098132
8.7891,0.00026624,0.0011585,0.0026367
9.7656,0.00061324,0.0017667,0.0034749
10.742,0.0023926,0.0072836,0.0059182
11.719,0.00018674,0.0020422,0.0026583
12.695,0.00027446,0.0012832,0.0017138
13.672,5.6099e-05,0.0033832,0.0020411
14.648,0.00046478,0.0017828,0.0018552
15.625,0.00082773,0.0016633,0.0031501
16.602,0.0031474,0.00083761,0.0017706
17.578,0.0020904,0.0023737,0.0024782
18.555,0.0011935,0.001184,0.00076528
19.531,0.0015382,0.0020508,0.0019918
20.508,0.00068637,0.0026464,0.002672
21.484,0.00043919,0.0024175,0.0019598
22.461,0.0010539,0.0020592,0.0017836
23.438,0.0008426,0.0038123,0.0037091
24.414,0.00078812,0.0040345,0.00079242
25.391,0.00095346,0.0040662,0.0021353
26.367,0.0005206,0.0041406,0.0018408
27.344,0.00057867,0.0022529,0.0016119
28.32,0.0012718,0.0078392,0.0049007
29.297,0.00058589,0.0011845,0.0024789
30.273,0.0015537,0.0060182,0.0038212
31.25,0.019935,0.078764,0.053021
32.227,0.00010909,0.00083056,0.00075275
33.203,0.001231,0.0035815,0.00083372
34.18,0.0005145,0.0021777,0.0012829
35.156,0.00099651,0.003774,0.0024207
36.133,0.00049708,0.00076075,0.00086942
37.109,0.001633,0.0041208,0.0013071
38.086,0.0004997,0.0034308,0.0026386
39.063,0.00053909,0.0014813,0.001504
40.039,0.0012332,0.0026148,0.0015922
41.016,0.000769,0.0022754,0.0017021
41.992,0.0010012,0.0014062,0.0048084
42.969,0.0011408,0.0012866,0.00066133
43.945,0.00046926,0.0013199,0.0015756
44.922,0.00070109,0.0020461,0.00023649
45.898,0.00083241,0.00099403,0.0011603
46.875,0.0008375,0.0052877,0.001043
47.852,0.0027756,0.02018,0.0062548
48.828,0.0012778,0.0097682,0.0040597
49.805,0.00075651,0.0049204,0.0031444
50.781,0.0006609,0.0039461,0.0030622
51.758,0.0011141,0.0030804,0.0023849
52.734,0.0010446,0.0037522,0.0023429
53.711,0.0014544,0.0041527,0.0027308
54.688,0.0012641,0.0018069,0.001827
55.664,0.00097344,0.0014974,0.0013494
56.641,0.0012705,0.0026116,0.0022213
57.617,0.00063561,0.0019707,0.0010202
58.594,0.0012225,0.0015819,0.0013318
59.57,0.0010993,0.0019347,0.0026363
60.547,0.001026,0.0014131,0.0025293
61.523,0.0010982,0.0021196,0.0022379
62.5,0.0033607,0.0019099,0.0021586
63.477,0.0011306,0.0018724,0.0030546
64.453,0.0022404,0.0015155,0.0020761
65.43,0.0033179,0.0014784,0.00034185
66.406,0.00038567,0.00021531,0.00092608
67.383,0.00073236,0.001292,0.00020127
68.359,0.0015292,0.0030753,0.0024499
69.336,0.00048787,0.0019702,0.002434
70.313,0.00026833,0.0018757,0.0015992
71.289,0.0010424,0.0011221,0.00073526
72.266,0.0005158,0.0010435,0.00070932
73.242,0.001175,0.003173,0.0011357
74.219,0.00099312,0.0020157,0.001256
75.195,0.0013528,0.00088533,0.002535
76.172,0.0015859,0.00046227,0.0031209
77.148,0.0029422,0.00030211,0.0054139
78.125,0.0055772,0.0024758,0.011852
79.102,0.032759,0.018773,0.067549
80.078,0.010316,0.0070107,0.021224
81.055,0.0047948,0.003255,0.010411
82.031,0.0031353,0.0021477,0.0057093
83.008,0.0020003,0.0026002,0.005325
83.984,0.0025987,0.00062476,0.0040255
84.961,0.0015842,0.0017033,0.0040468
85.938,0.0020302,0.001073,0.0039458
86.914,0.0017554,0.0011572,0.0035681
87.891,0.0016422,0.00039956,0.0031502
88.867,0.0007727,5.224e-05,0.0016208
89.844,0.00078226,0.0009765,0.0024523
90.82,0.0010092,0.0019898,0.0019777
91.797,0.00066194,0.0010518,0.0017033
92.773,0.0007693,0.00090953,0.0021899
93.75,0.0010553,0.0012904,0.0010909
94.727,0.0017449,0.0047031,0.0034461
95.703,0.0009597,0.0025479,0.00097688
96.68,0.0011136,0.0012855,0.0018854
97.656,0.00061781,0.0017468,0.0017479
98.633,0.00071389,0.0011715,0.0021168
99.609,0.00061245,0.0017885,0.0021575
100.59,0.00050847,0.00020437,0.00077554
