freq,X_900us_loaded_loosepylon_7,Y_900us_loaded_loosepylon_7,Z_900us_loaded_loosepylon_7
0,5.6755e-16,1.3189e-16,7.9692e-16
0.97656,0.00049377,0.0042312,0.00068033
1.9531,8.6398e-05,0.00038472,0.0014679
2.9297,0.00054407,0.0034372,0.001971
3.9063,0.00015699,0.0016781,0.0016019
4.8828,0.0001465,0.0010306,0.0012628
5.8594,0.00094368,0.0020939,0.00020946
6.8359,0.00015162,0.00084645,0.00047723
7.8125,0.00011977,0.0013572,0.0012984
8.7891,0.00026719,0.00091509,0.00059702
9.7656,0.00042253,0.0016124,0.001192
10.742,5.8093e-05,0.0017639,0.00090937
11.719,0.00011092,0.0007541,0.00020871
12.695,0.00035921,0.0012917,0.0012769
13.672,0.00037454,0.0021113,0.00049841
14.648,0.00015134,0.0011598,0.0011414
15.625,0.00019583,0.0011592,0.0011299
16.602,0.00018025,0.0010798,0.00072142
17.578,0.00022554,0.0018239,0.0012802
18.555,0.00014766,0.0019745,0.00029277
19.531,0.00011623,0.00054561,0.0010564
20.508,0.0001831,0.00085246,0.00014586
21.484,0.0002355,0.00071224,0.00014516
22.461,4.0979e-05,0.0013887,0.0002807
23.438,0.00010918,0.00048391,0.00037201
24.414,0.00031928,0.0018207,0.00062325
25.391,0.00032786,0.00070499,0.00063612
26.367,0.00015555,0.001235,0.00057946
27.344,0.00036067,0.00042935,0.00035265
28.32,0.00027253,0.002113,0.0016778
29.297,0.00029533,0.0015788,0.00034307
30.273,0.00015383,0.0058245,0.0037802
31.25,0.0008155,0.0034346,0.00047547
32.227,0.001298,0.0066309,0.0018552
33.203,0.0064215,0.029388,0.010059
34.18,0.002053,0.0092536,0.0024002
35.156,0.00055128,0.0056935,0.0016063
36.133,0.00068557,0.0015117,0.00108
37.109,0.00057553,0.0050828,0.00084389
38.086,0.00063171,0.0038046,0.0016291
39.063,0.0027588,0.0033838,0.0014173
40.039,0.0016111,0.0027058,0.00036292
41.016,0.0011707,0.0011639,0.00064688
41.992,0.0016224,0.0026751,0.00033213
42.969,0.00090173,0.0019136,0.00064546
43.945,0.00049533,0.00024486,0.0011227
44.922,0.00064371,0.0018408,0.00023513
45.898,0.00015407,0.00098998,0.00038435
46.875,0.00027379,0.0017789,0.00051198
47.852,0.00018356,0.0012644,0.0012377
48.828,0.00041388,0.00044252,0.0009697
49.805,0.00039417,0.0015257,0.00075188
50.781,0.00031119,0.001143,0.00047155
51.758,0.000222,0.0013564,0.00065142
52.734,0.00017174,0.0014504,0.00076002
53.711,1.3896e-05,0.0012529,0.0015837
54.688,0.00042189,0.00070993,0.0011943
55.664,0.00028207,0.0012519,0.0013607
56.641,0.00061993,0.00099659,0.0015323
57.617,0.00047746,0.00033065,0.00098138
58.594,0.00058678,0.00063056,0.00091808
59.57,0.00053534,0.0018808,0.00033734
60.547,0.00018683,0.00095096,0.0016245
61.523,0.00042474,0.0031663,0.001021
62.5,0.00029525,0.0039931,0.0028629
63.477,0.0014636,0.011023,0.0037267
64.453,0.0012141,0.0045932,0.0034071
65.43,0.002814,0.00024775,0.0049607
66.406,0.0071992,0.009597,0.020929
67.383,0.0083499,0.0079314,0.012608
68.359,0.0024364,0.0033945,0.0050782
69.336,0.0011277,0.0012384,0.0048397
70.313,0.0011871,0.0024636,0.0041888
71.289,0.001373,0.0010842,0.001962
72.266,0.00056669,0.0012228,0.0017742
73.242,0.0011375,0.0016802,0.0021011
74.219,0.00044309,0.0013773,0.0015626
75.195,0.00011678,0.001402,0.002392
76.172,0.00070352,0.001073,0.0017166
77.148,0.00099746,0.0021563,0.001805
78.125,0.00033661,0.0016562,0.0022683
79.102,0.00077684,0.00075888,0.0016584
80.078,0.00031661,0.0005763,0.00090913
81.055,0.00036447,0.00061858,0.00086252
82.031,0.0015477,0.0013278,0.0027634
83.008,0.0001091,0.00040601,0.00072149
83.984,0.00013808,0.0005686,0.0013508
84.961,0.00047973,0.00091228,0.0024318
85.938,0.00050844,0.00067953,0.0011977
86.914,0.00069567,0.00057647,0.0013767
87.891,0.00060971,0.00060786,0.0016405
88.867,0.00019575,0.00032269,0.0010788
89.844,0.00047761,0.00071507,0.0020912
90.82,0.0002101,0.0019172,0.00014106
91.797,4.065e-05,0.00088887,0.00084474
92.773,0.00048589,0.00055785,0.0024176
93.75,0.00040101,0.00076642,0.001649
94.727,0.00073607,0.0019151,0.002654
95.703,0.00052799,0.0025119,0.0021833
96.68,0.0013396,0.0018298,0.0052227
97.656,0.0011438,0.0034693,0.0048329
98.633,0.001211,0.0013957,0.0047802
99.609,0.00064463,0.0022973,0.0028384
100.59,0.0014238,0.0012958,0.0087821
101.56,0.00087461,0.00095699,0.0043559
102.54,0.00013172,0.0013398,0.0012711
103.52,0.00065932,0.0041272,0.00086604
104.49,0.00039013,0.001077,0.0021627
105.47,0.00022076,0.00055764,0.0014732
106.45,0.0012901,0.00075633,0.0028849
107.42,0.00022629,0.0015068,0.0019305
108.4,0.00088334,0.00034222,0.0031797
109.38,0.00042224,0.00091899,0.0013667
110.35,0.00061581,0.00054027,0.0028179
111.33,0.00032744,0.00056595,0.001864
112.3,0.00044229,0.00069366,0.0010141
113.28,0.00024272,0.00091837,0.0016851
114.26,0.0001814,0.00051144,0.00039994
115.23,0.0005903,0.00091232,0.0043054
116.21,0.00057864,0.0002023,0.0013428
117.19,0.00074459,0.00024616,0.0026323
118.16,0.00041156,0.00081359,0.0012834
119.14,0.00060398,0.00045871,0.0016081
120.12,0.00035859,0.00062092,0.0013064
121.09,0.00042382,0.00042598,0.0022684
122.07,0.0013925,0.00041187,0.0042721
123.05,0.00048759,0.00050289,0.00071357
124.02,0.0010781,0.00080558,0.0033969
125,0.0012868,0.001192,0.004105
125.98,0.00036802,0.0012307,0.002207
126.95,0.0010573,0.00034391,0.0013073
127.93,0.0034385,0.0017902,0.0012583
128.91,0.00085723,0.0014298,0.0039286
129.88,0.0012936,0.00076016,0.0075698
130.86,0.0011473,0.0010115,0.0038442
131.84,0.001463,0.002231,0.0066333
132.81,0.0029188,0.0034748,0.01601
133.79,0.0066777,0.015712,0.02423
134.77,0.0030238,0.0060067,0.009887
135.74,0.00096423,0.0029308,0.0061371
136.72,0.0010423,0.0019923,0.0041469
137.7,0.0010362,0.0010401,0.0043898
138.67,0.00045567,0.00096789,0.0021513
139.65,0.0011092,0.0015541,0.0034102
140.63,0.00080646,0.004181,0.0013253
141.6,0.0006298,0.00091287,0.0031103
142.58,0.00023237,0.00068068,0.0017504
143.55,0.00020133,0.00047608,0.00029208
144.53,0.0004583,0.002014,5.187e-05
145.51,3.1403e-05,0.0014353,0.0015175
146.48,0.00026771,0.0021355,0.00074156
147.46,0.00040509,0.0019777,0.0011872
148.44,0.00050084,0.0011627,0.0012597
149.41,0.00027842,0.0016537,0.001198
150.39,0.00028807,0.0011582,0.0010494
151.37,6.9089e-05,0.001833,0.00063894
152.34,0.00025783,0.00096891,0.0012021
153.32,0.00036202,0.0023342,0.00082294
154.3,0.00059338,0.00088577,0.00091994
155.27,0.00012424,0.0012068,0.0010063
156.25,0.00014351,0.00082801,0.00083907
157.23,9.7055e-05,0.00033241,0.0010311
158.2,0.00017963,0.00026082,0.00066902
159.18,0.00027162,0.00095299,0.00094748
160.16,0.000196,0.0019122,0.00010524
161.13,0.00067858,0.0015627,0.001287
162.11,0.00035546,0.00059187,0.00048349
163.09,0.00041901,0.00032951,0.00039026
164.06,0.00095672,0.0023663,0.001849
165.04,0.00064434,0.0010593,0.00077964
166.02,0.00022752,0.00092193,0.00037011
166.99,0.0006159,0.0031243,0.0071786
167.97,0.00057634,0.0025584,0.0016623
168.95,0.00023685,0.0018036,0.0016545
169.92,0.0015677,0.014911,0.0077815
170.9,0.00046159,0.0051273,0.0016038
171.88,0.00045898,0.0014672,0.0010884
