freq,X_2300us_unloaded_5,Y_2300us_unloaded_5,Z_2300us_unloaded_5
0,6.073e-15,5.5789e-16,3.924e-14
0.97656,0.00089162,0.00044628,0.00011601
1.9531,0.00046402,0.00038025,6.3711e-05
2.9297,0.00031372,0.00023393,4.5512e-05
3.9063,0.00020156,0.00014765,4.3905e-05
4.8828,0.0001502,0.00011252,2.0438e-05
5.8594,0.00014679,0.0001065,2.6312e-05
6.8359,0.00011011,8.3282e-05,2.8857e-05
7.8125,0.00010677,3.979e-05,2.3918e-05
8.7891,7.15e-05,5.8995e-05,1.2033e-05
9.7656,5.7371e-05,2.4728e-05,7.2382e-06
10.742,7.2434e-05,6.7915e-05,4.6744e-06
11.719,4.7906e-05,3.36e-05,3.3012e-05
12.695,6.1229e-05,2.2397e-05,3.1872e-05
13.672,2.4297e-05,6.1235e-05,1.7892e-05
14.648,4.936e-05,2.2223e-05,1.762e-05
15.625,2.4373e-05,3.2485e-05,1.7876e-05
16.602,2.2569e-05,2.8883e-06,7.3412e-06
17.578,2.6947e-05,2.638e-05,9.9192e-06
18.555,9.4181e-06,2.2521e-05,1.6004e-05
19.531,6.1815e-06,3.6621e-05,6.692e-06
20.508,1.1602e-05,1.4893e-05,1.3661e-05
21.484,7.0292e-06,1.5623e-05,1.1887e-05
22.461,8.3027e-06,1.2275e-05,1.016e-05
23.438,1.9061e-05,4.4681e-05,1.2754e-05
24.414,2.3045e-05,3.4693e-05,1.0247e-05
25.391,6.3989e-06,3.2399e-05,1.2557e-05
26.367,1.5817e-05,3.9213e-05,2.6242e-05
27.344,2.582e-05,1.2966e-05,1.4315e-05
28.32,2.266e-05,1.2931e-05,9.0427e-06
29.297,1.481e-05,2.0202e-05,3.9967e-06
30.273,2.2904e-05,1.6542e-05,3.0079e-06
31.25,4.831e-05,1.1406e-05,1.9714e-05
32.227,3.1165e-05,2.1575e-05,1.5418e-05
33.203,1.4273e-05,1.0188e-05,8.9848e-06
34.18,2.2189e-05,2.2227e-05,8.0665e-06
35.156,3.4276e-05,2.1035e-05,1.8953e-05
36.133,4.0698e-05,3.6649e-05,1.0451e-05
37.109,1.1922e-05,6.7353e-06,3.214e-06
38.086,3.6507e-05,3.3554e-05,1.0741e-05
39.063,2.8098e-05,5.2768e-05,8.2851e-06
40.039,2.1784e-05,3.6997e-05,5.7163e-06
41.016,2.848e-05,3.4558e-05,2.241e-05
41.992,1.3267e-05,1.2049e-05,1.9467e-05
42.969,3.8239e-05,3.7552e-05,2.9211e-05
43.945,2.3466e-05,1.9346e-05,1.8799e-05
44.922,3.043e-05,3.0984e-05,1.7247e-05
45.898,3.1824e-05,2.9296e-05,1.6706e-05
46.875,2.0148e-05,2.117e-05,2.365e-05
47.852,2.3625e-05,2.1433e-05,1.5886e-05
48.828,2.2135e-05,1.3842e-05,8.9971e-06
49.805,1.2073e-05,1.3166e-05,1.7928e-05
50.781,9.0481e-06,2.2789e-05,2.3026e-05
51.758,3.1205e-06,7.2039e-06,8.8333e-06
52.734,2.0378e-05,1.6249e-05,1.3843e-05
53.711,1.2162e-05,6.5171e-06,1.6572e-05
54.688,1.5821e-05,5.3233e-05,1.191e-05
55.664,2.865e-05,1.996e-05,8.3946e-06
56.641,2.77e-05,1.537e-05,3.819e-06
57.617,1.7936e-05,2.3781e-05,4.2635e-06
58.594,2.1557e-05,9.036e-06,8.4544e-06
59.57,1.2412e-06,2.6454e-05,4.7921e-06
60.547,2.5633e-05,6.9162e-06,9.6727e-06
61.523,1.263e-05,3.0869e-05,2.5345e-05
62.5,0.00012867,0.00016278,3.0174e-05
63.477,2.5449e-05,4.2373e-06,1.8282e-05
64.453,3.5562e-05,4.506e-05,9.4933e-06
65.43,1.6047e-05,1.0916e-05,5.6368e-06
66.406,9.8365e-06,4.8724e-05,1.3939e-05
67.383,9.8264e-06,2.7027e-06,1.4345e-05
68.359,2.0708e-05,3.5222e-05,2.2275e-05
69.336,1.5701e-05,1.789e-05,1.6362e-05
70.313,1.2484e-05,1.7799e-05,2.2974e-05
71.289,7.8912e-06,1.2975e-05,5.9155e-06
72.266,1.2525e-05,5.1734e-06,1.46e-05
73.242,2.3934e-05,3.1589e-05,2.5974e-05
74.219,1.41e-05,5.1854e-05,1.096e-05
75.195,1.2226e-05,1.1049e-05,6.0526e-06
76.172,1.8028e-05,2.733e-05,1.2896e-05
77.148,1.8359e-05,3.8188e-06,1.2713e-05
78.125,1.0228e-05,3.9074e-05,1.0205e-05
79.102,1.164e-05,2.3142e-05,9.6081e-06
80.078,1.3912e-05,2.0426e-05,1.3623e-05
81.055,1.5342e-05,9.6143e-06,3.2046e-06
82.031,1.952e-05,4.7318e-05,8.2439e-06
83.008,1.1884e-05,1.1614e-05,9.377e-06
83.984,2.9287e-05,2.3544e-05,7.4598e-06
84.961,2.6966e-05,5.6865e-06,1.4124e-05
85.938,1.2693e-05,3.2204e-05,1.43e-05
86.914,4.6848e-06,3.2782e-05,3.2552e-06
87.891,2.7963e-05,3.1544e-05,9.699e-06
88.867,1.8708e-06,7.5679e-06,1.6622e-05
89.844,3.0955e-05,2.3689e-05,8.3066e-06
